"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught"
"5+",13,"shelter_expenses >= 1536 & shelter_expenses < 1548",187,3.154,0.3209,0.268,0.1408,0.268,60
"5+",14,"rawben_rel_max >= 0.5959 & rawearn >= 1189 & rawben_rel_max >= 0.8929 & rawben_rel_max < 0.9026",204,3.4407,0.3137,0.2783,0.1502,0.2783,64
"5+",15,"shelter_expenses >= 1631 & shelter_expenses < 1636",211,3.5588,0.3081,0.2826,0.1526,0.2826,65
"5+",16,"months_since_cert_n >= 5.5 & shelter_expenses >= 1628 & rawgross < 2223 & shelter_expenses < 1678",222,3.7443,0.2973,0.2888,0.1549,0.2888,66
"5+",17,"months_since_cert_n >= 5.5 & rawunearn < 0.5 & rawben_rel_max >= 0.7781 & unc_rawben_rel_max < 0.8046",243,4.0985,0.2922,0.2983,0.1667,0.2983,71
"5+",18,"months_since_cert_n >= 5.5 & shelter_expenses >= 1337 & rawgross < 2569 & rawearn >= 1356",306,5.1611,0.2745,0.3249,0.1972,0.3249,84
"5+",19,"unc_rawben_rel_max >= 0.5271 & shelter_expenses >= 1378 & shelter_expenses < 1402 & months_since_cert_n >= 3.5",327,5.5153,0.263,0.3344,0.2019,0.3344,86
"5+",20,"total_deductions >= 964.4 & utilities >= 851 & months_since_cert_n >= 4.5 & rawben_rel_max < 0.8207",364,6.1393,0.2445,0.3462,0.2089,0.3462,89
"5+",21,"months_since_cert_n >= 7.5 & utilities >= 902 & rawearn >= 388",367,6.1899,0.248,0.3481,0.2136,0.3481,91
"5+",22,"shelter_expenses >= 1378 & rawben_rel_max >= 0.878 & rawben_rel_max < 0.9598 & rawgross < 1322",385,6.4935,0.2416,0.3536,0.2183,0.3536,93
"5+",23,"shelter_expenses >= 1378 & rawben_rel_max < 0.878 & shelter_expenses < 1417",446,7.5223,0.2309,0.3686,0.2418,0.3686,103
"5+",24,"utilities < 960.5 & rawgross < 2012 & rawearn >= 1310 & shelter_expenses >= 1633",487,8.2139,0.2197,0.3782,0.2512,0.3782,107
"5+",25,"rawearn >= 1046 & rawgross < 2039 & shelter_expenses < 2114",942,15.888,0.1688,0.4786,0.3732,0.4786,159
