"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"1","rule91","rawunearn < 499.5 & rawben_rel_max < 0.9777 & expedited_i %in% c(""TRUE"")",3,"INCLUDE",1.182,0.107,0.8,99,44,55,0.444,0.055,0.058,6.67,0.067
"1","rule95","unc_rawben_rel_max >= 1.78 & months_since_cert_n >= 3.5 & utilities < 465.5",3,"INCLUDE",14.523,1.621,1.3,150,66,84,0.44,0.083,0.1,6.6,0.067
"1","rule328","unc_rawben_rel_max < 1.813 & rawearn >= 320 & unc_rawben_rel_max < 0.968 & rawben_rel_max >= 0.6329",4,"INCLUDE",13.052,1.797,1.9,230,100,130,0.435,0.126,0.11,6.52,0.067
"1","rule32","rawunearn < 499.5 & total_deductions >= 63.1 & months_since_cert_n >= 4.5 & rawgross < 0.5",4,"INCLUDE",5.903,1.042,3.2,383,129,254,0.337,0.163,0.191,5.05,0.067
"1","rule239","unc_rawben_rel_max < 1.824 & rawearn >= 541 & utilities < 23",3,"INCLUDE",2.542,0.302,1.4,170,57,113,0.335,0.072,0.075,5.03,0.067
"1","rule248","rawunearn < 27.5 & cat_elig >= 0.5 & rawben_rel_max < 0.968",3,"INCLUDE",3.48,0.752,4.9,584,192,392,0.329,0.242,0.218,4.93,0.067
"1","rule118","rawunearn < 499.5 & shelter_expenses >= 1280",2,"INCLUDE",8.059,1.373,3,356,106,250,0.298,0.134,0.143,4.47,0.067
"1","rule103","rawunearn < 27.5 & total_deductions >= 18.5 & months_since_cert_n >= 4.5",3,"INCLUDE",4.195,1.062,6.9,819,243,576,0.297,0.306,0.325,4.45,0.067
"1","rule259","unc_rawben_rel_max < 1.769 & rawearn >= 320 & unc_rawben_rel_max < 0.968",3,"INCLUDE",11.239,2.752,6.4,762,222,540,0.291,0.28,0.246,4.37,0.067
"1","rule67","rawunearn < 499.5 & unc_rawben_rel_max < 1.832 & rawben_rel_max < 0.9777",3,"INCLUDE",3.351,0.811,6.3,744,214,530,0.288,0.27,0.239,4.31,0.067
"1","rule57","rawunearn < 499.5 & total_deductions >= 57.8 & months_since_cert_n >= 5.5",3,"INCLUDE",2.911,0.706,6.3,746,214,532,0.287,0.27,0.289,4.3,0.067
"1","rule79","rawunearn < 366 & total_deductions >= 57.8 & months_since_cert_n >= 4.5",3,"INCLUDE",1.651,0.433,7.4,884,252,632,0.285,0.318,0.342,4.28,0.067
