"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"2","rule5466","unc_rawben_rel_max >= 1.418 & utilities < 382 & utilities >= 12.5",3,"INCLUDE",1.831,0.219,1.4,113,33,80,0.292,0.063,0.09,4.38,0.067
"2","rule4218","unc_rawben_rel_max >= 1.487 & shelter_expenses >= 803 & utilities < 663.5",3,"INCLUDE",6.352,1.008,2.6,202,54,148,0.267,0.104,0.133,4.01,0.067
"2","rule2423","unc_rawben_rel_max < 1.487 & rawearn >= 3.5 & unc_rawben_rel_max < 0.9874 & unc_rawben_rel_max >= 0.884",4,"INCLUDE",2.753,0.429,2.5,195,50,145,0.256,0.096,0.11,3.85,0.067
"2","rule2326","unc_rawben_rel_max < 1.401 & rawearn >= 0.5 & rawben_rel_max < 0.9876 & rawgross < 1526",4,"INCLUDE",8.148,2.339,9.1,708,146,562,0.206,0.28,0.252,3.09,0.067
"2","rule1912","unc_rawben_rel_max < 1.397 & rawearn >= 350.5 & rawben_rel_max >= 0.4481 & rawben_rel_max < 0.9879",4,"INCLUDE",6.203,2.004,11.8,925,182,743,0.197,0.349,0.32,2.95,0.067
"2","rule5880","rawearn >= 3.5 & rawben_rel_max < 0.9874 & rawearn < 1226",3,"INCLUDE",12.489,3.4,8.1,630,123,507,0.195,0.236,0.22,2.93,0.067
"2","rule4788","rawunearn < 913.5 & shelter_expenses >= 1124 & utilities < 578.5",3,"INCLUDE",4.796,1.244,7.3,567,108,459,0.19,0.207,0.22,2.86,0.067
"2","rule4837","rawunearn < 599.5 & shelter_expenses >= 1350",2,"INCLUDE",0.645,0.179,8.4,655,124,531,0.189,0.238,0.255,2.84,0.067
"2","rule1077","total_deductions >= 876.3 & rawunearn < 787",2,"INCLUDE",2.168,0.593,8.2,637,119,518,0.187,0.228,0.226,2.8,0.067
"2","rule3850","unc_rawben_rel_max >= 1.397 & utilities < 623 & utilities >= 39",3,"INCLUDE",3.341,0.771,5.6,441,81,360,0.184,0.155,0.2,2.76,0.067
"2","rule5888","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 6.5 & shelter_expenses >= 744",3,"INCLUDE",3.652,0.888,6.3,493,90,403,0.183,0.173,0.185,2.74,0.067
"2","rule3411","shelter_expenses >= 1406 & rawunearn < 1212",2,"INCLUDE",2.628,0.751,9,701,125,576,0.178,0.24,0.26,2.67,0.067
"2","rule3767","total_deductions >= 591.5 & utilities < 363.5",2,"INCLUDE",2.263,0.497,5.1,397,70,327,0.176,0.134,0.153,2.64,0.067
"2","rule2024","elderly_disabled_i %in% c(""FALSE"") & shelter_expenses >= 1348",2,"INCLUDE",0.084,0.024,9.3,730,128,602,0.175,0.246,0.266,2.63,0.067
"2","rule2709","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 3.5 & shelter_expenses >= 993",3,"INCLUDE",1.326,0.385,9.3,728,127,601,0.174,0.244,0.266,2.62,0.067
"2","rule2206","rawunearn < 924.5 & months_since_cert_n >= 3.5 & shelter_expenses >= 993.5",3,"INCLUDE",4.199,1.268,10.1,793,134,659,0.169,0.257,0.28,2.53,0.067
"2","rule1213","unc_rawben_rel_max < 1.475 & rawearn >= 0.5 & rawben_rel_max < 0.9876",3,"INCLUDE",1.284,0.54,23,1796,285,1511,0.159,0.547,0.475,2.38,0.067
"2","rule1569","rawunearn < 901.5 & shelter_expenses >= 1118",2,"INCLUDE",0.229,0.082,14.9,1162,185,977,0.159,0.355,0.367,2.39,0.067
"2","rule4111","unc_rawben_rel_max < 1.418 & rawearn >= 0.5 & unc_rawben_rel_max < 0.9889",3,"INCLUDE",0.054,0.023,23,1800,285,1515,0.158,0.547,0.475,2.38,0.067
"2","rule4917","total_deductions >= 591.9 & utilities < 433",2,"INCLUDE",7.199,2.228,10.7,838,127,711,0.152,0.244,0.262,2.27,0.067
"2","rule5321","elderly_disabled_i %in% c(""FALSE"") & shelter_expenses >= 946.5",2,"INCLUDE",0.978,0.391,19.9,1557,220,1337,0.141,0.422,0.438,2.12,0.067
"2","rule5569","rawunearn < 0.5 & cat_elig >= 1.5",2,"INCLUDE",1.342,0.441,12.3,964,111,853,0.115,0.213,0.24,1.73,0.067
"2","rule2707","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 3.5",2,"INCLUDE",5.785,2.672,30.8,2410,255,2155,0.106,0.489,0.531,1.59,0.067
"2","rule5498","rawunearn < 1157 & months_since_cert_n >= 3.5",2,"INCLUDE",1.653,0.809,39.7,3100,291,2809,0.094,0.559,0.594,1.41,0.067
"2","rule2478","total_deductions >= 592.4 & utilities >= 339.5 & unc_rawben_rel_max < 1.662",3,"INCLUDE",-2.036,0.956,32.8,2563,237,2326,0.092,0.455,0.445,1.39,0.067
"2","rule3955","rawearn < 453 & rawgross < 0.5",2,"INCLUDE",1.361,0.571,22.8,1784,150,1634,0.084,0.288,0.36,1.26,0.067
"2","rule5724","cat_elig >= 1.5",1,"INCLUDE",0.196,0.084,24.7,1932,156,1776,0.081,0.299,0.324,1.21,0.067
"2","rule5204","utilities < 378",1,"INCLUDE",1.517,0.758,47.5,3714,248,3466,0.067,0.476,0.482,1,0.067
"2","rule5190","percent_abawd < 0.25 & rawgross < 3432",2,"SKIP",-0.629,0.187,90.2,7051,437,6614,0.062,0.839,0.819,0.93,0.067
"2","rule5215","unc_rawben_rel_max < 1.397 & rawgross < 3432",2,"SKIP",-6.342,1.878,90.3,7056,404,6652,0.057,0.775,0.709,0.86,0.067
"2","rule907","unc_rawben_rel_max < 1.397 & shelter_expenses < 2504",2,"SKIP",-0.027,0.008,90.6,7082,404,6678,0.057,0.775,0.713,0.86,0.067
"2","rule5619","percent_abawd < 0.25 & shelter_expenses < 1552",2,"SKIP",-0.293,0.112,82.4,6436,355,6081,0.055,0.681,0.651,0.83,0.067
"2","rule5031","percent_abawd < 0.25 & unc_rawben_rel_max < 1.418",2,"SKIP",-3.484,1.294,83.5,6525,354,6171,0.054,0.679,0.632,0.81,0.067
"2","rule859","unc_rawben_rel_max < 1.397 & shelter_expenses < 1784",2,"SKIP",-2.643,0.89,87,6797,364,6433,0.054,0.699,0.635,0.8,0.067
"2","rule2366","shelter_expenses < 1820 & unc_rawben_rel_max < 1.418",2,"SKIP",-2.396,0.784,87.8,6863,370,6493,0.054,0.71,0.649,0.81,0.067
"2","rule1092","shelter_expenses < 1539 & unc_rawben_rel_max < 1.487",2,"SKIP",-12.608,4.338,86.3,6743,353,6390,0.052,0.678,0.626,0.79,0.067
