"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"1","rule5617","percent_abawd >= 0.5 & total_deductions >= 486.5",2,"INCLUDE",1.47,0.287,4,473,128,345,0.271,0.161,0.169,4.06,0.067
"1","rule6448","unc_rawben_rel_max >= 1.217 & rawearn < 0.5 & utilities < 302.5",3,"INCLUDE",2.147,0.359,2.9,342,85,257,0.249,0.107,0.119,3.73,0.067
"1","rule3653","rawunearn < 25.5 & cat_elig >= 0.5 & total_deductions >= 58.5",3,"INCLUDE",0.785,0.272,14,1664,387,1277,0.233,0.488,0.504,3.49,0.067
"1","rule4621","rawunearn < 776 & shelter_expenses >= 949.5",2,"INCLUDE",0.126,0.033,7.3,866,198,668,0.229,0.25,0.259,3.43,0.067
"1","rule3902","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 10.5",2,"INCLUDE",2.291,0.347,2.3,279,63,216,0.226,0.079,0.091,3.39,0.067
"1","rule3143","rawunearn < 718 & total_deductions >= 29.5 & months_since_cert_n >= 3.5",3,"INCLUDE",1.025,0.336,12.3,1460,327,1133,0.224,0.412,0.443,3.36,0.067
"1","rule6164","unc_rawben_rel_max >= 1.217 & rawearn < 0.5 & months_since_cert_n >= 5.5",3,"INCLUDE",3.135,0.745,6,714,149,565,0.209,0.188,0.215,3.13,0.067
"1","rule215","rawunearn < 3.5 & total_deductions >= 66.4 & rawgross < 2614 & shelter_expenses >= 21",4,"INCLUDE",-6.629,2.293,13.9,1653,340,1313,0.206,0.429,0.427,3.09,0.067
"2","rule2439","shelter_expenses >= 1552 & rawearn >= 1091 & total_deductions < 1152",3,"INCLUDE",3.644,0.544,2.3,178,52,126,0.292,0.1,0.112,4.38,0.067
"2","rule5466","unc_rawben_rel_max >= 1.418 & utilities < 382 & utilities >= 12.5",3,"INCLUDE",1.831,0.219,1.4,113,33,80,0.292,0.063,0.09,4.38,0.067
"2","rule4218","unc_rawben_rel_max >= 1.487 & shelter_expenses >= 803 & utilities < 663.5",3,"INCLUDE",6.352,1.008,2.6,202,54,148,0.267,0.104,0.133,4.01,0.067
"2","rule2423","unc_rawben_rel_max < 1.487 & rawearn >= 3.5 & unc_rawben_rel_max < 0.9874 & unc_rawben_rel_max >= 0.884",4,"INCLUDE",2.753,0.429,2.5,195,50,145,0.256,0.096,0.11,3.85,0.067
"2","rule2326","unc_rawben_rel_max < 1.401 & rawearn >= 0.5 & rawben_rel_max < 0.9876 & rawgross < 1526",4,"INCLUDE",8.148,2.339,9.1,708,146,562,0.206,0.28,0.252,3.09,0.067
"3","rule1078","unc_rawben_rel_max >= 1.193 & utilities < 346 & months_since_cert_n >= 2.5 & rawgross < 2.5",4,"INCLUDE",12.763,1.301,1.1,72,22,50,0.306,0.048,0.088,4.58,0.067
"3","rule811","unc_rawben_rel_max >= 1.194 & utilities < 346 & months_since_cert_n >= 2.5 & rawgross < 252",4,"INCLUDE",9.561,1.076,1.3,88,24,64,0.273,0.053,0.094,4.09,0.067
"4","rule1833","shelter_expenses >= 1161 & rawgross < 86 & utilities >= 514 & utilities < 570",4,"INCLUDE",37.057,1.834,0.2,13,8,5,0.615,0.023,0.034,9.23,0.067
"4","rule4453","unc_rawben_rel_max >= 0.5962 & rawearn >= 1938 & total_deductions < 965.2 & months_since_cert_n >= 6.5",4,"INCLUDE",20.628,1.059,0.3,14,8,6,0.571,0.023,0.028,8.57,0.067
"4","rule5353","total_deductions < 584.3 & rawearn >= 184.5 & rawben_rel_max >= 0.7675 & rawben_rel_max < 0.7919",4,"INCLUDE",31.531,1.731,0.3,16,9,7,0.562,0.025,0.043,8.44,0.067
"4","rule2838","shelter_expenses >= 1688 & rawgross < 2008 & rawgross >= 1648 & rawgross < 1760",4,"INCLUDE",4.208,0.224,0.3,15,8,7,0.533,0.023,0.032,8,0.067
"4","rule5499","total_deductions >= 596.9 & rawben_rel_max >= 0.9092 & rawben_rel_max < 0.947 & rawgross < 1155",4,"INCLUDE",99.874,5.65,0.3,17,9,8,0.529,0.025,0.048,7.94,0.067
"4","rule1807","unc_rawben_rel_max >= 0.6409 & rawearn >= 1034 & rawgross < 1138 & utilities < 440.5",4,"INCLUDE",2.854,0.196,0.5,25,12,13,0.48,0.034,0.053,7.2,0.067
"4","rule3063","total_deductions < 570.9 & rawearn >= 151.5 & rawben_rel_max >= 0.7673 & rawben_rel_max < 0.8028",4,"INCLUDE",2.785,0.187,0.5,24,11,13,0.458,0.031,0.049,6.88,0.067
"4","rule5123","unc_rawben_rel_max < 1.187 & rawben_rel_max < 0.938 & rawben_rel_max >= 0.9313 & utilities >= 487",4,"INCLUDE",6.076,0.277,0.2,11,5,6,0.455,0.014,0.03,6.82,0.067
"4","rule5251","shelter_expenses >= 1780 & months_since_cert_n >= 5.5 & rawgross < 2014 & married >= 0.5",4,"INCLUDE",23.046,1.701,0.5,29,13,16,0.448,0.037,0.049,6.72,0.067
"4","rule6145","rawben_rel_max >= 0.6598 & rawearn >= 1034 & rawearn < 1136 & utilities < 422.5",4,"INCLUDE",5.212,0.385,0.5,29,13,16,0.448,0.037,0.051,6.72,0.067
"4","rule5748","months_since_cert_n < 13.5 & unc_rawben_rel_max < 0.947 & unc_rawben_rel_max >= 0.9313 & utilities >= 487",4,"INCLUDE",11.014,0.641,0.3,18,8,10,0.444,0.023,0.037,6.67,0.067
"4","rule4545","shelter_expenses >= 1764 & rawgross < 1996 & rawgross >= 1580 & rawgross < 1758",4,"INCLUDE",4.066,0.262,0.4,22,9,13,0.409,0.025,0.036,6.14,0.067
"4","rule3937","total_deductions >= 949.7 & rawgross < 1668 & rawben_rel_max < 0.9681 & utilities >= 465.5",4,"INCLUDE",6.391,0.392,0.4,20,8,12,0.4,0.023,0.032,6,0.067
"4","rule3572","total_deductions >= 931.1 & rawgross < 1660 & shelter_expenses >= 1818 & months_since_cert_n >= 2.5",4,"INCLUDE",6.175,0.423,0.5,25,10,15,0.4,0.028,0.041,6,0.067
"4","rule5044","rawben_rel_max >= 0.5547 & rawearn >= 644 & rawearn < 772 & rawunearn >= 469",4,"INCLUDE",2.112,0.112,0.3,15,6,9,0.4,0.017,0.028,6,0.067
"4","rule4822","rawunearn < 794.5 & rawben_rel_max < 0.9441 & rawearn < 1130 & rawearn >= 997.5",4,"INCLUDE",9.986,0.843,0.7,38,15,23,0.395,0.042,0.062,5.92,0.067
"4","rule988","shelter_expenses < 1484 & rawben_rel_max >= 0.7306 & rawgross >= 973.5 & shelter_expenses < 344",4,"INCLUDE",0.041,0.003,0.5,26,10,16,0.385,0.028,0.043,5.77,0.067
"4","rule4381","rawben_rel_max >= 0.6532 & rawgross >= 1100 & rawgross < 1154 & rawearn >= 201.5",4,"INCLUDE",7.226,0.577,0.6,34,13,21,0.382,0.037,0.063,5.74,0.067
