"f_min","budget","n_states","median_precision_diff","median_dollar_recall_unw_diff","median_dollar_recall_wtd_diff","median_fill_rate","median_walk_depth","median_errors_diff","n_used_completion","n_window_redone"
0.25,5,47,0,0,0,0.868516284680338,2842,0,0,0
0.25,10,47,0.00339366515837106,0,0,0.892018779342723,5900,0,0,0
0.4,5,47,0.00772200772200771,0,0,0.825806451612903,3239,0,0,0
0.4,10,47,0.0112948769665187,0,0,0.855106888361045,8155,0,0,2
0.5,5,47,0.00697906281156532,0,0,0.851612903225806,3451,0,0,0
0.5,10,47,0.0109697933227345,-0.00489895897121861,-0.00372912163601202,0.864197530864197,9176,0,0,8
0.6,5,47,0.0175115207373272,-0.00331858407079647,-0.00175090318545393,0.834181078331638,4000,0,0,0
0.6,10,47,0.0070733863837312,-0.00181428335807354,-0.00333307965478699,0.839080459770115,12773,-1,0,27
0.75,5,47,0.0145888594164456,0,0.00328828076462365,0.808080808080808,4941,0,0,0
0.75,10,47,0.0134008338296605,-0.00251214201976219,-0.00582878994525624,0.822857142857143,21170,-1,0,44
