"arm","state","budget","f_min","n_rules_core","n_rules_total","used_completion","window_redone","baseline_redone","walk_depth","base_precision","rewalk_precision","precision_diff","base_errors","rewalk_errors","base_dollar_recall_unw","rewalk_dollar_recall_unw","dollar_recall_unw_diff","base_dollar_recall_wtd","rewalk_dollar_recall_wtd","dollar_recall_wtd_diff","base_flagged_share","rewalk_flagged_share","fill_rate"
"era2","Alabama",5,0.25,58,128,FALSE,FALSE,FALSE,2843,0.178571428571429,0.2,0.0214285714285714,5,5,0.0671956609079952,0.0671956609079952,0,0.0711739949048192,0.0711739949048192,0,0.0290155440414508,0.0259067357512953,0.518134715025907
"era2","Alabama",5,0.4,54,119,FALSE,FALSE,FALSE,3488,0.178571428571429,0.2,0.0214285714285714,5,5,0.0671956609079952,0.0671956609079952,0,0.0711739949048192,0.0711739949048192,0,0.0290155440414508,0.0259067357512953,0.518134715025907
"era2","Alabama",5,0.5,53,124,FALSE,FALSE,FALSE,3772,0.178571428571429,0.2,0.0214285714285714,5,5,0.0671956609079952,0.0671956609079952,0,0.0711739949048192,0.0711739949048192,0,0.0290155440414508,0.0259067357512953,0.518134715025907
"era2","Alabama",5,0.55,47,116,FALSE,FALSE,FALSE,4247,0.178571428571429,0.173913043478261,-0.00465838509316771,5,4,0.0671956609079952,0.0400763358778626,-0.0271193250301326,0.0711739949048192,0.0348485578687007,-0.0363254370361186,0.0290155440414508,0.0238341968911917,0.476683937823834
"era2","Alabama",5,0.6,47,107,FALSE,FALSE,FALSE,4208,0.178571428571429,0.173913043478261,-0.00465838509316771,5,4,0.0671956609079952,0.0400763358778626,-0.0271193250301326,0.0711739949048192,0.0348485578687007,-0.0363254370361186,0.0290155440414508,0.0238341968911917,0.476683937823834
"era2","Alabama",5,0.65,48,99,FALSE,FALSE,FALSE,3684,0.178571428571429,0.166666666666667,-0.0119047619047619,5,4,0.0671956609079952,0.0400763358778626,-0.0271193250301326,0.0711739949048192,0.0348485578687007,-0.0363254370361186,0.0290155440414508,0.0248704663212435,0.49740932642487
"era2","Alabama",5,0.7,49,113,FALSE,FALSE,FALSE,4757,0.178571428571429,0.153846153846154,-0.0247252747252747,5,4,0.0671956609079952,0.0400763358778626,-0.0271193250301326,0.0711739949048192,0.0348485578687007,-0.0363254370361186,0.0290155440414508,0.0269430051813472,0.538860103626943
"era2","Alabama",5,0.75,48,115,FALSE,FALSE,FALSE,5374,0.178571428571429,0.2,0.0214285714285714,5,6,0.0671956609079952,0.0891924467657694,0.0219967858577742,0.0711739949048192,0.0752871091637342,0.00411311425891497,0.0290155440414508,0.0310880829015544,0.621761658031088
"era2","Alabama",10,0.25,101,219,FALSE,FALSE,FALSE,6886,0.206896551724138,0.210526315789474,0.00362976406533574,12,12,0.166030534351145,0.195962233828847,0.0299316994777019,0.158475471759085,0.187750723653342,0.0292752518942562,0.0601036269430052,0.0590673575129534,0.590673575129534
"era2","Alabama",10,0.4,89,204,FALSE,FALSE,FALSE,9192,0.206896551724138,0.203703703703704,-0.00319284802043424,12,11,0.166030534351145,0.153475291281639,-0.0125552430695058,0.158475471759085,0.144922738253477,-0.0135527335056086,0.0601036269430052,0.0559585492227979,0.559585492227979
"era2","Alabama",10,0.5,86,210,FALSE,TRUE,FALSE,12807,0.206896551724138,0.211538461538462,0.00464190981432361,12,11,0.166030534351145,0.153475291281639,-0.0125552430695058,0.158475471759085,0.144922738253477,-0.0135527335056086,0.0601036269430052,0.0538860103626943,0.538860103626943
"era2","Alabama",10,0.55,76,191,FALSE,TRUE,FALSE,13698,0.206896551724138,0.206896551724138,0,12,12,0.166030534351145,0.137304138208116,-0.0287263961430293,0.158475471759085,0.117659775976166,-0.0408156957829195,0.0601036269430052,0.0601036269430052,0.601036269430052
"era2","Alabama",10,0.6,84,191,FALSE,TRUE,FALSE,14545,0.206896551724138,0.196078431372549,-0.0108181203515889,12,10,0.166030534351145,0.126355966251507,-0.0396745680996384,0.158475471759085,0.108597301217358,-0.0498781705417272,0.0601036269430052,0.0528497409326425,0.528497409326425
"era2","Alabama",10,0.65,84,196,FALSE,TRUE,FALSE,19777,0.206896551724138,0.215686274509804,0.008789722785666,12,11,0.166030534351145,0.131076737645641,-0.0349537967055042,0.158475471759085,0.113376262133197,-0.0450992096258887,0.0601036269430052,0.0528497409326425,0.528497409326425
"era2","Alabama",10,0.7,82,206,FALSE,TRUE,FALSE,22188,0.206896551724138,0.220338983050847,0.0134424313267095,12,13,0.166030534351145,0.153575733226195,-0.0124548011249498,0.158475471759085,0.13991339994078,-0.0185620718183056,0.0601036269430052,0.061139896373057,0.61139896373057
"era2","Alabama",10,0.75,74,215,FALSE,TRUE,FALSE,25718,0.206896551724138,0.245283018867925,0.0383864671437866,12,13,0.166030534351145,0.199979911611089,0.0339493772599438,0.158475471759085,0.189399768125427,0.0309242963663413,0.0601036269430052,0.0549222797927461,0.549222797927461
"era2","Arizona",5,0.25,45,100,FALSE,FALSE,FALSE,2792,0.233333333333333,0.233333333333333,0,7,7,0.156510244547257,0.156510244547257,0,0.154086071756111,0.154086071756111,0,0.0391134289439374,0.0391134289439374,0.782268578878748
"era2","Arizona",5,0.4,41,93,FALSE,FALSE,FALSE,3337,0.233333333333333,0.275862068965517,0.0425287356321839,7,8,0.156510244547257,0.152676801057502,-0.00383344348975545,0.154086071756111,0.148358317374528,-0.00572775438158316,0.0391134289439374,0.0378096479791395,0.75619295958279
"era2","Arizona",5,0.5,40,95,FALSE,FALSE,FALSE,3466,0.233333333333333,0.296296296296296,0.0629629629629629,7,8,0.156510244547257,0.162326503635162,0.00581625908790484,0.154086071756111,0.159858111255176,0.00577203949906527,0.0391134289439374,0.0352020860495437,0.704041720990873
"era2","Arizona",5,0.55,38,78,FALSE,FALSE,FALSE,3684,0.233333333333333,0.241379310344828,0.00804597701149426,7,7,0.156510244547257,0.119233311302049,-0.0372769332452082,0.154086071756111,0.110289195104127,-0.0437968766519834,0.0391134289439374,0.0378096479791395,0.75619295958279
"era2","Arizona",5,0.6,38,80,FALSE,FALSE,FALSE,3748,0.233333333333333,0.233333333333333,0,7,7,0.156510244547257,0.119233311302049,-0.0372769332452082,0.154086071756111,0.110289195104127,-0.0437968766519834,0.0391134289439374,0.0391134289439374,0.782268578878748
"era2","Arizona",5,0.65,43,81,FALSE,FALSE,FALSE,4000,0.233333333333333,0.205882352941176,-0.0274509803921569,7,7,0.156510244547257,0.128883013879709,-0.0276272306675479,0.154086071756111,0.121788988984776,-0.032297082771335,0.0391134289439374,0.0443285528031291,0.886571056062581
"era2","Arizona",5,0.7,39,86,FALSE,FALSE,FALSE,4767,0.233333333333333,0.269230769230769,0.0358974358974359,7,7,0.156510244547257,0.128883013879709,-0.0276272306675479,0.154086071756111,0.121788988984776,-0.032297082771335,0.0391134289439374,0.0338983050847458,0.677966101694915
"era2","Arizona",5,0.75,39,87,FALSE,FALSE,FALSE,4941,0.233333333333333,0.269230769230769,0.0358974358974359,7,7,0.156510244547257,0.128883013879709,-0.0276272306675479,0.154086071756111,0.121788988984776,-0.032297082771335,0.0391134289439374,0.0338983050847458,0.677966101694915
"era2","Arizona",10,0.25,76,173,FALSE,FALSE,FALSE,6193,0.173076923076923,0.176470588235294,0.00339366515837106,9,9,0.178982154659617,0.178982154659617,0,0.177002619284148,0.177002619284148,0,0.0677966101694915,0.0664928292046936,0.664928292046936
"era2","Arizona",10,0.4,72,156,FALSE,FALSE,FALSE,8155,0.173076923076923,0.185185185185185,0.0121082621082621,9,10,0.178982154659617,0.197752808988764,0.0187706543291474,0.177002619284148,0.185646345837406,0.00864372655325887,0.0677966101694915,0.0704041720990874,0.704041720990873
"era2","Arizona",10,0.5,73,159,FALSE,FALSE,FALSE,8522,0.173076923076923,0.226415094339623,0.0533381712626996,9,12,0.178982154659617,0.22207534699273,0.043093192333113,0.177002619284148,0.211684501097628,0.0346818818134804,0.0677966101694915,0.0691003911342894,0.691003911342894
"era2","Arizona",10,0.55,56,142,FALSE,FALSE,FALSE,11511,0.173076923076923,0.155172413793103,-0.0179045092838196,9,9,0.178982154659617,0.146860541969597,-0.0321216126900198,0.177002619284148,0.139111937327468,-0.037890681956679,0.0677966101694915,0.075619295958279,0.75619295958279
"era2","Arizona",10,0.6,58,154,FALSE,TRUE,FALSE,13478,0.173076923076923,0.180327868852459,0.00725094577553595,9,11,0.178982154659617,0.161533377395902,-0.0174487772637145,0.177002619284148,0.153650298707042,-0.0233523205771059,0.0677966101694915,0.0795306388526728,0.795306388526728
"era2","Arizona",10,0.65,61,154,FALSE,TRUE,FALSE,16231,0.173076923076923,0.183333333333333,0.0102564102564102,9,11,0.178982154659617,0.171183079973562,-0.00779907468605417,0.177002619284148,0.16515009258769,-0.0118525266964575,0.0677966101694915,0.0782268578878748,0.782268578878748
"era2","Arizona",10,0.7,58,159,FALSE,TRUE,FALSE,18740,0.173076923076923,0.192982456140351,0.0199055330634278,9,11,0.178982154659617,0.171183079973562,-0.00779907468605417,0.177002619284148,0.16515009258769,-0.0118525266964575,0.0677966101694915,0.0743155149934811,0.743155149934811
"era2","Arizona",10,0.75,61,188,FALSE,TRUE,FALSE,22099,0.173076923076923,0.206896551724138,0.0338196286472149,9,12,0.178982154659617,0.177131526768011,-0.00185062789160606,0.177002619284148,0.171173829338891,-0.00582878994525624,0.0677966101694915,0.075619295958279,0.75619295958279
"era2","Arkansas",5,0.25,49,113,FALSE,FALSE,FALSE,3319,0.0967741935483871,0.0967741935483871,0,3,3,0.0463812436289501,0.0463812436289501,0,0.0368898243979364,0.0368898243979364,0,0.035632183908046,0.035632183908046,0.712643678160919
"era2","Arkansas",5,0.4,45,102,FALSE,FALSE,FALSE,3428,0.0967741935483871,0.09375,-0.00302419354838709,3,3,0.0463812436289501,0.0463812436289501,0,0.0368898243979364,0.0368898243979364,0,0.035632183908046,0.0367816091954023,0.735632183908046
"era2","Arkansas",5,0.5,45,103,FALSE,FALSE,FALSE,3457,0.0967741935483871,0.09375,-0.00302419354838709,3,3,0.0463812436289501,0.0463812436289501,0,0.0368898243979364,0.0368898243979364,0,0.035632183908046,0.0367816091954023,0.735632183908046
