"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","unearned_income","1","medical_deductions <= 148.00 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 340.00","medical_deductions <= 133.200 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.755 & utilities <= 340.000",FALSE,11,6,0.545,0.36,7,0.429,1,0
"Arizona","unearned_income","1","months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 302.00","months_since_cert_n >   7.150 & unc_rawben_rel_max >   1.462 & utilities <= 302.000",FALSE,10,6,0.6,0.401,2,0,1,0
"Arizona","unearned_income","1","months_since_cert_n >   6.50 & months_since_cert_n <=  24.50 & unc_rawben_rel_max >   1.95 & utilities <= 288.00","months_since_cert_n >   5.850 & months_since_cert_n <=  24.500 & unc_rawben_rel_max >   1.755 & utilities <= 288.000",FALSE,7,4,0.571,0.342,1,0,1,0
"Arizona","unearned_income","1","elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 874.00 & unc_rawben_rel_max >   1.81 & utilities <= 364.00","elderly_disabled_i >   0.450 & shelter_expenses_by_hh_size <= 874.000 & unc_rawben_rel_max >   1.629 & utilities <= 327.600",FALSE,6,3,0.5,0.268,3,0.333,2,0.5
"Arizona","unearned_income","1","elderly_disabled_i >    0.50 & shelter_expenses_by_hh_size <= 1570.00 & unc_rawben_rel_max >    1.93 & utilities <=  301.00","elderly_disabled_i >    0.450 & shelter_expenses_by_hh_size <= 1413.000 & unc_rawben_rel_max >    1.737 & utilities <=  331.100",FALSE,8,2,0.25,0.109,3,0.667,1,0
"Arizona","unearned_income","1","count_divisible_by_100 <=   0.50 & shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","count_divisible_by_100 <=   0.450 & shelter_expenses_by_hh_size <= 706.200 & total_deductions_by_hh_size <= 682.200 & unc_rawben_rel_max >   1.737",FALSE,7,3,0.429,0.226,4,0.5,0,NA
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 785.00 & unc_rawben_rel_max >   1.95 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 863.500 & unc_rawben_rel_max >   1.755 & unc_rawben_rel_max <=   2.475",FALSE,14,6,0.429,0.276,6,0.333,1,0
"Arizona","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities <= 364.00","expedited_i <=   0.450 & months_since_cert_n >   2.250 & unc_rawben_rel_max >   1.737 & utilities <= 327.600",FALSE,16,8,0.5,0.347,7,0.286,1,0
"Arizona","unearned_income","1","total_deductions_by_hh_size <= 780.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   1.98","total_deductions_by_hh_size <= 858.000 & unc_rawben_rel_max >   1.470 & unc_rawben_rel_max <=   2.475",FALSE,54,14,0.259,0.191,24,0.167,0,NA
"Arizona","unearned_income","1","unc_rawben_rel_max >   1.95 & utilities >  55.50 & utilities <= 288.00","unc_rawben_rel_max >   1.462 & utilities >  41.620 & utilities <= 216.000",FALSE,6,2,0.333,0.148,5,0,1,0
"Arizona","unearned_income","2-3","expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 668.0 & unc_rawben_rel_max >   1.8","expedited_i <=   0.375 & shelter_expenses_by_hh_size <= 734.800 & unc_rawben_rel_max >   1.350",FALSE,17,7,0.412,0.273,10,0.3,2,0.5
"Arizona","unearned_income","1","elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.79 & utilities >  67.00 & utilities <= 364.00","elderly_disabled_i >   0.450 & unc_rawben_rel_max >   1.969 & utilities >  60.300 & utilities <= 327.600",FALSE,5,1,0.2,0.062,2,0.5,4,0.5
