"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Virginia","unearned_income","1","shelter_expenses_by_hh_size <= 785.00 & unc_rawben_rel_max >   1.95 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 981.200 & unc_rawben_rel_max >   1.462 & unc_rawben_rel_max <=   1.980",FALSE,26,2,0.077,0.032,13,0.154,0,NA
"Virginia","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities <= 364.00","expedited_i <=   0.450 & months_since_cert_n >   2.250 & unc_rawben_rel_max >   1.737 & utilities <= 327.600",FALSE,5,0,0,0,2,0.5,0,NA
"Virginia","unearned_income","1","total_deductions_by_hh_size <= 780.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   1.98","total_deductions_by_hh_size <= 858.000 & unc_rawben_rel_max >   1.764 & unc_rawben_rel_max <=   1.980",FALSE,18,2,0.111,0.047,9,0.222,0,NA
"Virginia","unearned_income","1","unc_rawben_rel_max >   1.95 & utilities >  55.50 & utilities <= 288.00","unc_rawben_rel_max >   1.462 & utilities >  41.620 & utilities <= 216.000",FALSE,8,1,0.125,0.038,4,0.25,0,NA
"Virginia","unearned_income","2-3","expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 668.0 & unc_rawben_rel_max >   1.8","expedited_i <=   0.375 & shelter_expenses_by_hh_size <= 668.000 & unc_rawben_rel_max >   1.350",FALSE,9,0,0,0,7,0.143,0,NA
"Virginia","unearned_income","1","shelter_expenses_by_hh_size <= 2190.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.26 & utilities <=  301.00","shelter_expenses_by_hh_size <= 1971.000 & unc_rawben_rel_max >    1.737 & unc_rawben_rel_max <=    2.034 & utilities <=  331.100",FALSE,11,1,0.091,0.028,3,0.333,0,NA
"Virginia","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 481.500 & unc_rawben_rel_max >   1.448 & unc_rawben_rel_max <=   1.782",FALSE,14,1,0.071,0.022,8,0,0,NA
"Virginia","unearned_income","1","shelter_expenses_by_hh_size <= 1170.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.98 & utilities <=  286.00","shelter_expenses_by_hh_size <= 1053.000 & unc_rawben_rel_max >    1.737 & unc_rawben_rel_max <=    2.682 & utilities <=  257.400",FALSE,7,0,0,0,2,0.5,0,NA
"Virginia","unearned_income","1","months_since_cert_n >   7.50 & percent_abawd <=   0.25 & unc_rawben_rel_max >   1.93 & utilities <= 430.00","months_since_cert_n >   6.750 & percent_abawd <=   0.225 & unc_rawben_rel_max >   1.737 & utilities <= 430.000",FALSE,5,1,0.2,0.062,1,1,0,NA
"Virginia","unearned_income","1","homeless <=   0.50 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.96 & utilities <= 302.00","homeless <=   0.450 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.664 & utilities <= 332.200",FALSE,15,1,0.067,0.02,3,0.333,0,NA
"Virginia","unearned_income","1","months_since_cert_n >   6.50 & percent_abawd <=   0.50 & unc_rawben_rel_max >   1.95 & utilities <= 606.00","months_since_cert_n >   6.500 & percent_abawd <=   0.450 & unc_rawben_rel_max >   1.755 & utilities <= 545.400",FALSE,5,1,0.2,0.062,1,1,0,NA
"Virginia","unearned_income","1","months_since_cert_n >    7.50 & shelter_expenses_by_hh_size <= 1330.00 & unc_rawben_rel_max >    1.93 & utilities <=  678.00","months_since_cert_n >    6.750 & shelter_expenses_by_hh_size <= 1463.000 & unc_rawben_rel_max >    1.737 & utilities <=  610.200",FALSE,5,1,0.2,0.062,2,1,0,NA
"Virginia","unearned_income","1","married <=   0.50 & unc_rawben_rel_max >   1.93 & utilities >  14.50 & utilities <= 302.00","married <=   0.450 & unc_rawben_rel_max >   1.737 & utilities >  13.050 & utilities <= 332.200",FALSE,13,1,0.077,0.023,3,0.333,0,NA
"Virginia","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","shelter_expenses_by_hh_size <= 481.500 & total_deductions_by_hh_size <= 568.500 & unc_rawben_rel_max >   1.448",FALSE,14,1,0.071,0.022,8,0,0,NA
"Virginia","unearned_income","2-3","months_since_cert_n > 5.5 & unc_rawben_rel_max > 1.8","months_since_cert_n > 4.125 & unc_rawben_rel_max > 1.350",FALSE,10,0,0,0,4,0.25,0,NA
"Virginia","unearned_income","1","count_divisible_by_100 <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 664.00","count_divisible_by_100 <=   0.450 & months_since_cert_n >   7.150 & unc_rawben_rel_max >   1.737 & utilities <= 597.600",FALSE,6,1,0.167,0.051,1,1,0,NA
"Virginia","unearned_income","1","expedited_i <=   0.50 & total_deductions_by_hh_size <= 639.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   3.19","expedited_i <=   0.450 & total_deductions_by_hh_size <= 639.000 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.871",FALSE,5,0,0,0,4,0.5,0,NA
"Virginia","other_error","2-3","medical_deductions <= 747.000 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000 & unc_rawben_rel_max >   0.993","medical_deductions <= 672.3000 & rawben_rel_max <=   1.0960 & total_deductions_by_hh_size > 419.4000 & unc_rawben_rel_max >   0.8937",FALSE,5,0,0,0,5,0,1,0
"Virginia","other_error","2-3","months_since_cert_n <=  36.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 468.000","months_since_cert_n <=  32.8500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   1.0960 & total_deductions_by_hh_size > 421.2000",FALSE,5,0,0,0,4,0,1,0
"Virginia","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 524.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8955 & total_deductions_by_hh_size > 393.0000",FALSE,5,2,0.4,0.18,3,0.333,0,NA
