"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame"
"1","elderly_disabled_i > 0.50 & months_since_cert_n > 6.50 & unc_rawben_rel_max > 1.97 & unc_rawben_rel_max <= 3.05","ranger_mtry1",200,51,0.255,0.2078,106,21,0.1981,0.1077,0.1022,0.513,111,26,0.2342,0.0201,0.0238,0.51,"unearned_income"
"1","months_since_cert_n >=  10.00 & unc_rawben_rel_max >=   2.45 & utilities >= 503.00","xgboost",38,12,0.3158,0.2076,15,2,0.1333,0.0103,0.0047,0.073,16,3,0.1875,0.0023,0.0022,0.074,"unearned_income"
"1","months_since_cert_n >    6.50 & total_deductions_by_hh_size <= 1430.00 & unc_rawben_rel_max >    1.99","ranger_mtry1",150,39,0.26,0.2057,83,20,0.241,0.1026,0.0996,0.402,85,22,0.2588,0.017,0.0194,0.39,"unearned_income"
"1","shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93","ranger_mtry1",27,9,0.3333,0.2054,8,0,0,0,0,0.039,8,0,0,0,0,0.037,"unearned_income"
"1","months_since_cert_n > 6.50 & unc_rawben_rel_max > 1.97 & unc_rawben_rel_max <= 3.05","ranger_mtry1",203,51,0.2512,0.2047,107,21,0.1963,0.1077,0.1022,0.518,112,26,0.2321,0.0201,0.0238,0.515,"unearned_income"
"1","homeless <=    0.5 & married <=    0.5 & shelter_expenses_by_hh_size > 1410.0 & unc_rawben_rel_max >    2.6","ranger_mtry1",83,23,0.2771,0.2043,42,7,0.1667,0.0359,0.0483,0.203,45,10,0.2222,0.0077,0.0124,0.207,"unearned_income"
"1","months_since_cert_n <   22.00 & total_deductions_by_hh_size >= 1300.00 & unc_rawben_rel_max >=    2.15 & utilities >=  651.00","xgboost",63,18,0.2857,0.2024,33,3,0.0909,0.0154,0.0149,0.16,36,6,0.1667,0.0046,0.0067,0.165,"unearned_income"
"1","cat_elig <= 2.50 & elderly_disabled_i > 0.50 & unc_rawben_rel_max > 1.96 & unc_rawben_rel_max <= 1.98","ranger_mtry1",20,7,0.35,0.2022,9,0,0,0,0,0.044,9,0,0,0,0,0.041,"unearned_income"
"1","homeless <=    0.5 & shelter_expenses_by_hh_size > 1410.0 & unc_rawben_rel_max >    2.6","ranger_mtry1",84,23,0.2738,0.2018,42,7,0.1667,0.0359,0.0483,0.203,45,10,0.2222,0.0077,0.0124,0.207,"unearned_income"
"1","expedited_i > 0.50 & months_since_cert_n > 8.50 & unc_rawben_rel_max > 2.43","ranger_mtry1",13,5,0.3846,0.2016,2,0,0,0,0,0.01,3,1,0.3333,8e-04,0.0014,0.014,"unearned_income"
"1","homeless <=  0.500 & rawben_rel_max >  0.998 & unc_rawben_rel_max >  2.540 & utilities > 38.500","ranger_mtry1",127,33,0.2598,0.2013,62,9,0.1452,0.0462,0.064,0.3,66,13,0.197,0.0101,0.0157,0.303,"unearned_income"
"1","shelter_expenses_by_hh_size >= 240.00 & unc_rawben_rel_max >=   2.45 & utilities >= 612.00","xgboost",72,20,0.2778,0.2002,37,4,0.1081,0.0205,0.0181,0.179,39,6,0.1538,0.0046,0.0059,0.179,"unearned_income"
"2-3","percent_abawd <=   0.167 & total_deductions_by_hh_size > 636.000 & unc_rawben_rel_max >   1.980 & utilities > 590.000","ranger_mtry1",11,7,0.6364,0.394,6,1,0.1667,0.0077,0.0195,0.072,7,2,0.2857,0.002,0.0031,0.076,"unearned_income"
"2-3","expedited_i <=   0.50 & shelter_expenses_by_hh_size <= 682.00 & total_deductions_by_hh_size <= 872.00 & unc_rawben_rel_max >   1.77","ranger_mtry1",13,7,0.5385,0.3248,9,3,0.3333,0.0231,0.0248,0.108,9,3,0.3333,0.003,0.0034,0.098,"unearned_income"
"2-3","expedited_i <= 0.50 & unc_rawben_rel_max > 2.02","ranger_mtry1",18,9,0.5,0.3192,10,2,0.2,0.0154,0.0223,0.12,12,4,0.3333,0.0041,0.0054,0.131,"unearned_income"
"2-3","cat_elig <= 2.50 & elderly_disabled_i > 0.50 & expedited_i <= 0.50 & unc_rawben_rel_max > 1.77","ranger_mtry1",36,16,0.4444,0.3169,21,6,0.2857,0.0462,0.0582,0.252,24,9,0.375,0.0091,0.0114,0.261,"unearned_income"
"2-3","cat_elig <= 2.50 & expedited_i <= 0.50 & unc_rawben_rel_max > 2.23","ranger_mtry1",11,6,0.5455,0.3151,6,1,0.1667,0.0077,0.0195,0.072,6,1,0.1667,0.001,0.0027,0.065,"unearned_income"
"2-3","children_i <= 0.50 & expedited_i <= 0.50 & months_since_cert_n > 2.50 & unc_rawben_rel_max > 1.77","ranger_mtry1",21,10,0.4762,0.3101,16,5,0.3125,0.0385,0.056,0.192,17,6,0.3529,0.0061,0.008,0.185,"unearned_income"
"2-3","unc_rawben_rel_max >   1.78 & utilities > 590.00","ranger_mtry1",21,10,0.4762,0.3101,12,3,0.25,0.0231,0.038,0.144,14,5,0.3571,0.0051,0.006,0.152,"unearned_income"
"2-3","expedited_i <=   0.50 & total_deductions_by_hh_size > 872.00 & unc_rawben_rel_max >   1.77","ranger_mtry1",16,8,0.5,0.3098,10,1,0.1,0.0077,0.0195,0.12,12,3,0.25,0.003,0.0035,0.131,"unearned_income"
"2-3","expedited_i <= 0.50 & months_since_cert_n > 2.50 & unc_rawben_rel_max > 1.77","ranger_mtry1",32,14,0.4375,0.3038,18,5,0.2778,0.0385,0.056,0.216,22,9,0.4091,0.0091,0.013,0.24,"unearned_income"
"2-3","elderly_disabled_i > 0.50 & unc_rawben_rel_max > 2.02","ranger_mtry1",19,9,0.4737,0.3006,10,3,0.3,0.0231,0.0288,0.12,12,5,0.4167,0.0051,0.0064,0.131,"unearned_income"
"2-3","medical_deductions <= 218.000 & percent_abawd <=   0.167 & unc_rawben_rel_max >   1.690 & utilities > 628.000","ranger_mtry1",19,9,0.4737,0.3006,14,4,0.2857,0.0308,0.0457,0.168,17,7,0.4118,0.0071,0.0104,0.185,"unearned_income"
"2-3","children_i <=   0.50 & unc_rawben_rel_max >   1.77 & utilities > 422.00","ranger_mtry1",27,12,0.4444,0.2994,17,6,0.3529,0.0462,0.0671,0.204,19,8,0.4211,0.0081,0.0122,0.207,"unearned_income"
"2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.656 & total_deductions_by_hh_size > 602.000 & unc_rawben_rel_max >   1.980","ranger_mtry1",22,10,0.4545,0.2947,12,4,0.3333,0.0308,0.0399,0.144,15,7,0.4667,0.0071,0.0106,0.163,"unearned_income"
"2-3","percent_abawd <=   0.833 & unc_rawben_rel_max >   1.730 & utilities > 600.000","ranger_mtry1",22,10,0.4545,0.2947,13,4,0.3077,0.0308,0.0457,0.156,16,7,0.4375,0.0071,0.0077,0.174,"unearned_income"
"2-3","elderly_disabled_i >=   1.00 & married <   1.00 & total_deductions_by_hh_size < 464.00 & unc_rawben_rel_max >=   1.39","xgboost",25,11,0.44,0.2906,8,2,0.25,0.0154,0.0223,0.096,9,3,0.3333,0.003,0.0039,0.098,"unearned_income"
"2-3","homeless <=   0.50 & unc_rawben_rel_max >   1.73 & utilities > 590.00","ranger_mtry1",25,11,0.44,0.2906,13,4,0.3077,0.0308,0.0457,0.156,16,7,0.4375,0.0071,0.0077,0.174,"unearned_income"
"2-3","married >=   1.000 & rawben_rel_max >=   0.926 & shelter_expenses_by_hh_size < 665.000 & unc_rawben_rel_max >=   1.680","xgboost",12,6,0.5,0.2855,7,2,0.2857,0.0154,0.0228,0.084,8,3,0.375,0.003,0.0058,0.087,"unearned_income"
"2-3","married >= 1.00 & months_since_cert_n >= 7.00 & rawben_rel_max >= 0.45 & unc_rawben_rel_max >= 1.68","xgboost",12,6,0.5,0.2855,11,3,0.2727,0.0231,0.0178,0.132,14,6,0.4286,0.0061,0.0061,0.152,"unearned_income"
"2-3","unc_rawben_rel_max > 2.23","ranger_mtry1",12,6,0.5,0.2855,7,2,0.2857,0.0154,0.026,0.084,7,2,0.2857,0.002,0.0035,0.076,"unearned_income"
"2-3","HH_size_n <=    2.500 & rawben_rel_max >    0.987 & shelter_expenses_by_hh_size <= 1430.000 & unc_rawben_rel_max >    1.980","ranger_mtry1",20,9,0.45,0.2841,10,4,0.4,0.0308,0.0399,0.12,12,6,0.5,0.0061,0.01,0.131,"unearned_income"
"2-3","cat_elig > 0.500 & rawben_rel_max > 0.152 & unc_rawben_rel_max > 2.020","ranger_mtry1",20,9,0.45,0.2841,10,3,0.3,0.0231,0.0288,0.12,13,6,0.4615,0.0061,0.0083,0.142,"unearned_income"
"2-3","cat_elig >   0.50 & total_deductions_by_hh_size > 353.00 & unc_rawben_rel_max >   1.98","ranger_mtry1",23,10,0.4348,0.2807,12,4,0.3333,0.0308,0.0399,0.144,16,8,0.5,0.0081,0.0125,0.174,"unearned_income"
"2-3","expedited_i <=   0.50 & shelter_expenses_by_hh_size > 515.00 & unc_rawben_rel_max >   1.77 & utilities <= 902.00","ranger_mtry1",35,14,0.4,0.2757,15,3,0.2,0.0231,0.0162,0.18,19,7,0.3684,0.0071,0.0076,0.207,"unearned_income"
"2-3","cat_elig > 0.50 & unc_rawben_rel_max > 2.24","ranger_mtry1",10,5,0.5,0.2693,7,2,0.2857,0.0154,0.026,0.084,7,2,0.2857,0.002,0.0035,0.076,"unearned_income"
"2-3","count_divisible_by_100 < 1.000 & months_since_cert_n >= 6.000 & rawben_rel_max >= 0.806 & unc_rawben_rel_max >= 1.680","xgboost",21,9,0.4286,0.2693,13,4,0.3077,0.0308,0.0289,0.156,18,9,0.5,0.0091,0.0086,0.196,"unearned_income"
"2-3","married >   0.500 & percent_abawd <=   0.167 & total_deductions_by_hh_size <= 636.000 & unc_rawben_rel_max >   1.680","ranger_mtry1",10,5,0.5,0.2693,6,2,0.3333,0.0154,0.0228,0.072,7,3,0.4286,0.003,0.0058,0.076,"unearned_income"
"2-3","medical_deductions <= 109.000 & percent_abawd <=   0.167 & unc_rawben_rel_max >   1.770 & unc_rawben_rel_max <=   1.880","ranger_mtry1",10,5,0.5,0.2693,6,0,0,0,0,0.072,8,2,0.25,0.002,0.0031,0.087,"unearned_income"
"2-3","percent_abawd <=   0.167 & total_deductions_by_hh_size > 636.000 & unc_rawben_rel_max >   1.980","ranger_mtry1",21,9,0.4286,0.2693,13,4,0.3077,0.0308,0.0399,0.156,17,8,0.4706,0.0081,0.0125,0.185,"unearned_income"
"2-3","elderly_disabled_i >   0.50 & medical_deductions <= 314.00 & unc_rawben_rel_max >   1.76","ranger_mtry1",42,16,0.381,0.2685,26,9,0.3462,0.0692,0.0835,0.312,31,14,0.4516,0.0142,0.0196,0.338,"unearned_income"
"2-3","expedited_i <= 0.50 & unc_rawben_rel_max > 1.77","ranger_mtry1",42,16,0.381,0.2685,24,6,0.25,0.0462,0.0582,0.288,28,10,0.3571,0.0101,0.0133,0.305,"unearned_income"
"2-3","cat_elig <= 2.5 & elderly_disabled_i > 0.5 & unc_rawben_rel_max > 1.8","ranger_mtry1",39,15,0.3846,0.268,22,7,0.3182,0.0538,0.0607,0.264,27,12,0.4444,0.0122,0.0165,0.294,"unearned_income"
"2-3","expedited_i <=  0.5 & months_since_cert_n <= 28.5 & unc_rawben_rel_max >  1.8","ranger_mtry1",39,15,0.3846,0.268,20,4,0.2,0.0308,0.0403,0.24,24,8,0.3333,0.0081,0.0109,0.261,"unearned_income"
"2-3","children_i >=   1.0 & elderly_disabled_i >=   1.0 & shelter_expenses_by_hh_size < 458.0 & unc_rawben_rel_max >=   1.3","xgboost",27,11,0.4074,0.2673,12,1,0.0833,0.0077,0.0029,0.144,12,1,0.0833,0.001,4e-04,0.131,"unearned_income"
"2-3","unc_rawben_rel_max > 1.93 & unc_rawben_rel_max <= 2.54","ranger_mtry1",27,11,0.4074,0.2673,12,5,0.4167,0.0385,0.0511,0.144,16,9,0.5625,0.0091,0.014,0.174,"unearned_income"
"2-3","months_since_cert_n > 2.50 & unc_rawben_rel_max > 1.77","ranger_mtry1",37,14,0.3784,0.2598,22,7,0.3182,0.0538,0.0736,0.264,28,13,0.4643,0.0132,0.0202,0.305,"unearned_income"
"2-3","unc_rawben_rel_max >=   1.68 & utilities >= 478.00 & utilities < 875.00","xgboost",37,14,0.3784,0.2598,12,5,0.4167,0.0385,0.0563,0.144,17,10,0.5882,0.0101,0.0122,0.185,"unearned_income"
"2-3","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 553.00 & unc_rawben_rel_max >=   1.51 & utilities < 723.00","xgboost",31,12,0.3871,0.2579,9,3,0.3333,0.0231,0.0466,0.108,9,3,0.3333,0.003,0.0063,0.098,"unearned_income"
"2-3","months_since_cert_n <=  25.50 & unc_rawben_rel_max >   1.73 & utilities > 568.00","ranger_mtry1",31,12,0.3871,0.2579,14,3,0.2143,0.0231,0.0345,0.168,17,6,0.3529,0.0061,0.0062,0.185,"unearned_income"
"2-3","months_since_cert_n >=   3.00 & shelter_expenses_by_hh_size < 586.00 & unc_rawben_rel_max >=   1.68","xgboost",16,7,0.4375,0.2576,8,3,0.375,0.0231,0.0424,0.096,10,5,0.5,0.0051,0.0105,0.109,"unearned_income"
"2-3","children_i <=   0.500 & percent_abawd <=   0.833 & unc_rawben_rel_max >   1.820 & utilities > 422.000","ranger_mtry1",25,10,0.4,0.2564,14,5,0.3571,0.0385,0.0519,0.168,15,6,0.4,0.0061,0.0075,0.163,"unearned_income"
"2-3","HH_size_n <=   2.5 & homeless <=   0.5 & total_deductions_by_hh_size > 602.0 & unc_rawben_rel_max >   2.0","ranger_mtry1",19,8,0.4211,0.2563,12,3,0.25,0.0231,0.0288,0.144,13,4,0.3077,0.0041,0.0058,0.142,"unearned_income"
"2-3","homeless <=   0.50 & married <=   0.50 & total_deductions_by_hh_size <= 485.00 & unc_rawben_rel_max >   1.54","ranger_mtry1",19,8,0.4211,0.2563,9,2,0.2222,0.0154,0.0223,0.108,12,5,0.4167,0.0051,0.0055,0.131,"unearned_income"
"2-3","married <=   0.50 & shelter_expenses_by_hh_size <= 492.00 & total_deductions_by_hh_size <= 626.00 & unc_rawben_rel_max >   1.54","ranger_mtry1",19,8,0.4211,0.2563,8,2,0.25,0.0154,0.0223,0.096,11,5,0.4545,0.0051,0.0077,0.12,"unearned_income"
"2-3","shelter_expenses_by_hh_size >= 800.00 & unc_rawben_rel_max >=   1.68 & utilities >= 511.00","xgboost",19,8,0.4211,0.2563,7,2,0.2857,0.0154,0.0223,0.084,13,8,0.6154,0.0081,0.0109,0.142,"unearned_income"
"2-3","months_since_cert_n >= 6.00 & unc_rawben_rel_max >= 1.68","xgboost",22,9,0.4091,0.256,14,4,0.2857,0.0308,0.0289,0.168,19,9,0.4737,0.0091,0.0086,0.207,"unearned_income"
"2-3","children_i >=   1.00 & elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 485.00 & unc_rawben_rel_max >=   1.27","xgboost",35,13,0.3714,0.2509,12,1,0.0833,0.0077,0.0029,0.144,13,2,0.1538,0.002,0.0013,0.142,"unearned_income"
"2-3","unc_rawben_rel_max >=   1.68 & utilities >= 478.00","xgboost",45,16,0.3556,0.2494,20,7,0.35,0.0538,0.0832,0.24,27,14,0.5185,0.0142,0.0198,0.294,"unearned_income"
"2-3","children_i <= 0.50 & unc_rawben_rel_max > 1.77","ranger_mtry1",32,12,0.375,0.2492,22,7,0.3182,0.0538,0.0736,0.264,24,9,0.375,0.0091,0.0131,0.261,"unearned_income"
"2-3","shelter_expenses_by_hh_size < 942.00 & unc_rawben_rel_max >=   1.68 & utilities >= 478.00","xgboost",32,12,0.375,0.2492,14,6,0.4286,0.0462,0.0636,0.168,17,9,0.5294,0.0091,0.0124,0.185,"unearned_income"
"2-3","unc_rawben_rel_max > 1.93","ranger_mtry1",29,11,0.3793,0.2475,15,5,0.3333,0.0385,0.0511,0.18,19,9,0.4737,0.0091,0.014,0.207,"unearned_income"
"2-3","children_i <=   0.50 & expedited_i <=   0.50 & medical_deductions <= 148.00 & unc_rawben_rel_max >   1.77","ranger_mtry1",26,10,0.3846,0.2457,18,5,0.2778,0.0385,0.056,0.216,19,6,0.3158,0.0061,0.008,0.207,"unearned_income"
"2-3","elderly_disabled_i > 0.500 & percent_abawd <= 0.167 & unc_rawben_rel_max > 1.770 & unc_rawben_rel_max <= 2.230","ranger_mtry1",26,10,0.3846,0.2457,18,6,0.3333,0.0462,0.0498,0.216,23,11,0.4783,0.0112,0.015,0.25,"unearned_income"
"2-3","married > 0.50 & unc_rawben_rel_max > 1.76","ranger_mtry1",26,10,0.3846,0.2457,18,6,0.3333,0.0462,0.0636,0.216,20,8,0.4,0.0081,0.0117,0.218,"unearned_income"
"2-3","HH_size_n >  2.50 & medical_deductions <= 22.00 & unc_rawben_rel_max >  1.54","ranger_mtry1",23,9,0.3913,0.244,9,1,0.1111,0.0077,0.0029,0.108,16,8,0.5,0.0081,0.0092,0.174,"unearned_income"
"2-3","count_divisible_by_100 <= 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.54","ranger_mtry1",20,8,0.4,0.2424,9,1,0.1111,0.0077,0.0029,0.108,15,7,0.4667,0.0071,0.0082,0.163,"unearned_income"
"2-3","count_divisible_by_100 <= 0.50 & homeless <= 0.50 & unc_rawben_rel_max > 2.02","ranger_mtry1",17,7,0.4118,0.2411,10,3,0.3,0.0231,0.0288,0.12,13,6,0.4615,0.0061,0.0083,0.142,"unearned_income"
"2-3","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size >= 458.00 & unc_rawben_rel_max >=   1.68","xgboost",50,17,0.34,0.2406,32,10,0.3125,0.0769,0.1031,0.384,40,18,0.45,0.0183,0.0272,0.435,"unearned_income"
"2-3","expedited_i <= 0.500 & percent_abawd <= 0.583 & unc_rawben_rel_max > 2.090","ranger_mtry1",14,6,0.4286,0.2406,7,1,0.1429,0.0077,0.0195,0.084,9,3,0.3333,0.003,0.005,0.098,"unearned_income"
"2-3","total_deductions_by_hh_size >= 934.00 & unc_rawben_rel_max >=   1.51 & utilities < 839.00","xgboost",14,6,0.4286,0.2406,8,2,0.25,0.0154,0.026,0.096,10,4,0.4,0.0041,0.0066,0.109,"unearned_income"
"2-3","shelter_expenses_by_hh_size > 515.00 & unc_rawben_rel_max >   1.77 & utilities <= 902.00","ranger_mtry1",40,14,0.35,0.2391,20,5,0.25,0.0385,0.0338,0.24,26,11,0.4231,0.0112,0.0147,0.283,"unearned_income"
"2-3","unc_rawben_rel_max > 1.77","ranger_mtry1",47,16,0.3404,0.2382,29,8,0.2759,0.0615,0.0759,0.348,35,14,0.4,0.0142,0.0205,0.381,"unearned_income"
"2-3","cat_elig > 0.50 & expedited_i <= 0.50 & unc_rawben_rel_max > 1.68","ranger_mtry1",54,18,0.3333,0.238,28,7,0.25,0.0538,0.0778,0.336,38,17,0.4474,0.0172,0.0262,0.414,"unearned_income"
"2-3","count_divisible_by_100 <= 0.50 & expedited_i <= 0.50 & unc_rawben_rel_max > 1.77","ranger_mtry1",37,13,0.3514,0.2364,22,5,0.2273,0.0385,0.056,0.264,26,9,0.3462,0.0091,0.013,0.283,"unearned_income"
"2-3","count_divisible_by_100 <   1.00 & unc_rawben_rel_max >=   1.68 & utilities >= 596.00","xgboost",27,10,0.3704,0.236,15,4,0.2667,0.0308,0.0457,0.18,21,10,0.4762,0.0101,0.0126,0.229,"unearned_income"
"2-3","cat_elig <= 2.5 & unc_rawben_rel_max > 1.8","ranger_mtry1",44,15,0.3409,0.2357,25,7,0.28,0.0538,0.0607,0.3,31,13,0.4194,0.0132,0.0184,0.338,"unearned_income"
"2-3","medical_deductions <= 314.00 & unc_rawben_rel_max >   1.87","ranger_mtry1",34,12,0.3529,0.2336,20,7,0.35,0.0538,0.0607,0.24,24,11,0.4583,0.0112,0.0153,0.261,"unearned_income"
"2-3","HH_size_n >= 3.00 & unc_rawben_rel_max >= 1.52","xgboost",24,9,0.375,0.233,12,1,0.0833,0.0077,0.0029,0.144,19,8,0.4211,0.0081,0.0092,0.207,"unearned_income"
"2-3","months_since_cert_n >= 3.00 & unc_rawben_rel_max >= 1.68","xgboost",48,16,0.3333,0.233,28,9,0.3214,0.0692,0.1008,0.336,40,21,0.525,0.0213,0.0341,0.435,"unearned_income"
"2-3","elderly_disabled_i >= 1.00 & married >= 1.00 & unc_rawben_rel_max >= 1.68","xgboost",31,11,0.3548,0.2304,22,6,0.2727,0.0462,0.0636,0.264,25,9,0.36,0.0091,0.0124,0.272,"unearned_income"
"2-3","rawben_rel_max > 0.20 & unc_rawben_rel_max > 1.78","ranger_mtry1",45,15,0.3333,0.2301,28,7,0.25,0.0538,0.0607,0.336,34,13,0.3824,0.0132,0.0184,0.37,"unearned_income"
"2-3","HH_size_n <   3.00 & shelter_expenses_by_hh_size >= 800.00 & unc_rawben_rel_max >=   1.68","xgboost",21,8,0.381,0.2299,11,3,0.2727,0.0231,0.0288,0.132,15,7,0.4667,0.0071,0.008,0.163,"unearned_income"
"2-3","total_deductions_by_hh_size > 732.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.54","ranger_mtry1",21,8,0.381,0.2299,12,5,0.4167,0.0385,0.0511,0.144,16,9,0.5625,0.0091,0.014,0.174,"unearned_income"
"2-3","total_deductions_by_hh_size >= 477.00 & unc_rawben_rel_max >=   1.68 & utilities >= 488.00","xgboost",42,14,0.3333,0.227,20,7,0.35,0.0538,0.0832,0.24,27,14,0.5185,0.0142,0.0198,0.294,"unearned_income"
"2-3","unc_rawben_rel_max >   1.77 & utilities <= 902.00","ranger_mtry1",42,14,0.3333,0.227,22,6,0.2727,0.0462,0.049,0.264,28,12,0.4286,0.0122,0.0168,0.305,"unearned_income"
"2-3","HH_size_n > 2.50 & married <= 0.50 & unc_rawben_rel_max > 1.55","ranger_mtry1",18,7,0.3889,0.2266,7,1,0.1429,0.0077,0.0029,0.084,13,7,0.5385,0.0071,0.0087,0.142,"unearned_income"
"2-3","cat_elig <=   1.5 & count_divisible_by_100 >   0.5 & shelter_expenses_by_hh_size > 845.0 & utilities <= 786.0","ranger_mtry1",18,7,0.3889,0.2266,25,2,0.08,0.0154,0.0196,0.3,26,3,0.1154,0.003,0.005,0.283,"unearned_income"
"2-3","children_i <=   0.50 & shelter_expenses_by_hh_size > 756.00 & unc_rawben_rel_max >   2.01","ranger_mtry1",15,6,0.4,0.2232,11,3,0.2727,0.0231,0.0288,0.132,11,3,0.2727,0.003,0.0039,0.12,"unearned_income"
"2-3","children_i <= 0.50 & count_divisible_by_100 <= 0.50 & unc_rawben_rel_max > 1.98","ranger_mtry1",15,6,0.4,0.2232,12,4,0.3333,0.0308,0.0399,0.144,12,4,0.3333,0.0041,0.0054,0.131,"unearned_income"
"2-3","count_divisible_by_100 <= 0.50 & HH_size_n > 2.50 & married <= 0.50 & unc_rawben_rel_max > 1.54","ranger_mtry1",15,6,0.4,0.2232,6,1,0.1667,0.0077,0.0029,0.072,12,7,0.5833,0.0071,0.0082,0.131,"unearned_income"
"2-3","months_since_cert_n >   4.50 & months_since_cert_n <=  25.50 & shelter_expenses_by_hh_size <= 853.00 & unc_rawben_rel_max >   1.79","ranger_mtry1",15,6,0.4,0.2232,7,1,0.1429,0.0077,0.0074,0.084,8,2,0.25,0.002,0.0037,0.087,"unearned_income"
"2-3","expedited_i <=    0.50 & months_since_cert_n >    2.50 & shelter_expenses_by_hh_size <= 1430.00 & unc_rawben_rel_max >    1.62","ranger_mtry1",50,16,0.32,0.2231,21,6,0.2857,0.0462,0.0755,0.252,32,17,0.5312,0.0172,0.028,0.348,"unearned_income"
"2-3","homeless <=   0.50 & unc_rawben_rel_max >   1.74 & utilities > 230.00","ranger_mtry1",50,16,0.32,0.2231,30,9,0.3,0.0692,0.0835,0.36,38,17,0.4474,0.0172,0.0242,0.414,"unearned_income"
"2-3","medical_deductions <= 314.00 & unc_rawben_rel_max >   1.76","ranger_mtry1",50,16,0.32,0.2231,31,9,0.2903,0.0692,0.0835,0.372,38,16,0.4211,0.0162,0.0236,0.414,"unearned_income"
"2-3","married > 0.50 & rawben_rel_max > 0.20 & unc_rawben_rel_max > 1.78","ranger_mtry1",25,9,0.36,0.223,16,4,0.25,0.0308,0.0408,0.192,18,6,0.3333,0.0061,0.0086,0.196,"unearned_income"
"2-3","married >= 1.000 & rawben_rel_max >= 0.926 & unc_rawben_rel_max >= 1.680","xgboost",32,11,0.3438,0.2228,22,6,0.2727,0.0462,0.0636,0.264,25,9,0.36,0.0091,0.0124,0.272,"unearned_income"
"2-3","HH_size_n > 2.50 & unc_rawben_rel_max > 1.66","ranger_mtry1",12,5,0.4167,0.22,4,0,0,0,0,0.048,8,4,0.5,0.0041,0.0063,0.087,"unearned_income"
"2-3","medical_deductions <= 109.000 & percent_abawd <=   0.167 & unc_rawben_rel_max >   1.770","ranger_mtry1",36,12,0.3333,0.2198,24,7,0.2917,0.0538,0.0607,0.288,30,13,0.4333,0.0132,0.0184,0.327,"unearned_income"
"2-3","children_i <= 0.500 & percent_abawd <= 0.833 & unc_rawben_rel_max > 1.820","ranger_mtry1",29,10,0.3448,0.2186,19,6,0.3158,0.0462,0.0584,0.228,20,7,0.35,0.0071,0.0084,0.218,"unearned_income"
"2-3","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 665.00 & unc_rawben_rel_max >=   1.51","xgboost",55,17,0.3091,0.2176,23,7,0.3043,0.0538,0.0746,0.276,26,10,0.3846,0.0101,0.0175,0.283,"unearned_income"
"2-3","medical_deductions <= 218.000 & percent_abawd <=   0.167 & unc_rawben_rel_max >   1.690","ranger_mtry1",55,17,0.3091,0.2176,36,10,0.2778,0.0769,0.1031,0.432,47,21,0.4468,0.0213,0.0338,0.512,"unearned_income"
"2-3","count_divisible_by_100 <   1.00 & unc_rawben_rel_max >=   1.68 & utilities >= 545.00","xgboost",33,11,0.3333,0.2156,18,5,0.2778,0.0385,0.0485,0.216,25,12,0.48,0.0122,0.015,0.272,"unearned_income"
"2-3","children_i <   1.00 & shelter_expenses_by_hh_size < 942.00 & unc_rawben_rel_max >=   1.68","xgboost",26,9,0.3462,0.2139,17,6,0.3529,0.0462,0.0552,0.204,18,7,0.3889,0.0071,0.0102,0.196,"unearned_income"
"2-3","children_i <   1.00 & total_deductions_by_hh_size >= 790.00 & unc_rawben_rel_max >=   1.68","xgboost",19,7,0.3684,0.2137,11,3,0.2727,0.0231,0.0288,0.132,13,5,0.3846,0.0051,0.005,0.142,"unearned_income"
"2-3","count_divisible_by_100 <   1.00 & total_deductions_by_hh_size < 934.00 & unc_rawben_rel_max >=   1.68 & utilities >= 545.00","xgboost",19,7,0.3684,0.2137,12,4,0.3333,0.0308,0.0289,0.144,17,9,0.5294,0.0091,0.0113,0.185,"unearned_income"
"2-3","rawben_rel_max >=   0.235 & total_deductions_by_hh_size >= 449.000 & unc_rawben_rel_max >=   1.680 & utilities >= 688.000","xgboost",19,7,0.3684,0.2137,12,2,0.1667,0.0154,0.0269,0.144,15,5,0.3333,0.0051,0.008,0.163,"unearned_income"
"2-3","cat_elig <= 1.50 & unc_rawben_rel_max > 1.69 & unc_rawben_rel_max <= 2.12","ranger_mtry1",37,12,0.3243,0.2135,29,8,0.2759,0.0615,0.077,0.348,41,20,0.4878,0.0203,0.0309,0.446,"unearned_income"
"2-3","cat_elig > 0.500 & married > 0.500 & rawben_rel_max > 0.252 & unc_rawben_rel_max > 1.610","ranger_mtry1",37,12,0.3243,0.2135,22,6,0.2727,0.0462,0.0636,0.264,27,11,0.4074,0.0112,0.017,0.294,"unearned_income"
