"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,8145,16641,0.496375838926174,0.0442882038339042,0.855981416957027,0.880180245307116,"frame only (mined error type)",0.855981416957027
0.1,917,6265,0.186875466070097,0.0718276137270551,0.522648083623693,0.550581941733536,"frame only (mined error type)",0.522648083623693
0.15,153,1306,0.0389560029828486,0.105666156202144,0.160278745644599,0.194881804380828,"frame only (mined error type)",0.160278745644599
0.2,29,331,0.00987322893363162,0.11178247734139,0.0429732868757259,0.048097544519145,"frame only (mined error type)",0.0429732868757259
0.25,6,35,0.00104399701715138,0.171428571428571,0.00696864111498258,0.00529651316899202,"frame only (mined error type)",0.00696864111498258
0.05,8145,18026,0.505524706938134,0.117718850549207,0.70875083500334,0.784800248202719,"any error type",0.70875083500334
0.1,917,6952,0.194963262101071,0.163550057537399,0.379759519038076,0.444931925074756,"any error type",0.379759519038076
0.15,153,1479,0.041477368332492,0.210277214334009,0.103874415497662,0.132200305685251,"any error type",0.103874415497662
0.2,29,368,0.0103202647372259,0.201086956521739,0.0247160988643955,0.0298623655013447,"any error type",0.0247160988643955
0.25,6,39,0.0010937237085647,0.256410256410256,0.00334001336005344,0.00338042967240667,"any error type",0.00334001336005344
