"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"2-3","shelter_expenses_by_hh_size < 942.00 & unc_rawben_rel_max >=   1.68 & utilities >= 478.00","xgboost",32,12,0.375,0.2492,14,6,0.4286,0.0462,0.0636,0.168,17,9,0.5294,0.0091,0.0124,0.185
"2-3","unc_rawben_rel_max > 1.93","ranger_mtry1",29,11,0.3793,0.2475,15,5,0.3333,0.0385,0.0511,0.18,19,9,0.4737,0.0091,0.014,0.207
"2-3","children_i <=   0.50 & expedited_i <=   0.50 & medical_deductions <= 148.00 & unc_rawben_rel_max >   1.77","ranger_mtry1",26,10,0.3846,0.2457,18,5,0.2778,0.0385,0.056,0.216,19,6,0.3158,0.0061,0.008,0.207
"2-3","elderly_disabled_i > 0.500 & percent_abawd <= 0.167 & unc_rawben_rel_max > 1.770 & unc_rawben_rel_max <= 2.230","ranger_mtry1",26,10,0.3846,0.2457,18,6,0.3333,0.0462,0.0498,0.216,23,11,0.4783,0.0112,0.015,0.25
"2-3","married > 0.50 & unc_rawben_rel_max > 1.76","ranger_mtry1",26,10,0.3846,0.2457,18,6,0.3333,0.0462,0.0636,0.216,20,8,0.4,0.0081,0.0117,0.218
"2-3","HH_size_n >  2.50 & medical_deductions <= 22.00 & unc_rawben_rel_max >  1.54","ranger_mtry1",23,9,0.3913,0.244,9,1,0.1111,0.0077,0.0029,0.108,16,8,0.5,0.0081,0.0092,0.174
"2-3","count_divisible_by_100 <= 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.54","ranger_mtry1",20,8,0.4,0.2424,9,1,0.1111,0.0077,0.0029,0.108,15,7,0.4667,0.0071,0.0082,0.163
"2-3","count_divisible_by_100 <= 0.50 & homeless <= 0.50 & unc_rawben_rel_max > 2.02","ranger_mtry1",17,7,0.4118,0.2411,10,3,0.3,0.0231,0.0288,0.12,13,6,0.4615,0.0061,0.0083,0.142
"2-3","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size >= 458.00 & unc_rawben_rel_max >=   1.68","xgboost",50,17,0.34,0.2406,32,10,0.3125,0.0769,0.1031,0.384,40,18,0.45,0.0183,0.0272,0.435
"2-3","expedited_i <= 0.500 & percent_abawd <= 0.583 & unc_rawben_rel_max > 2.090","ranger_mtry1",14,6,0.4286,0.2406,7,1,0.1429,0.0077,0.0195,0.084,9,3,0.3333,0.003,0.005,0.098
"2-3","total_deductions_by_hh_size >= 934.00 & unc_rawben_rel_max >=   1.51 & utilities < 839.00","xgboost",14,6,0.4286,0.2406,8,2,0.25,0.0154,0.026,0.096,10,4,0.4,0.0041,0.0066,0.109
"2-3","shelter_expenses_by_hh_size > 515.00 & unc_rawben_rel_max >   1.77 & utilities <= 902.00","ranger_mtry1",40,14,0.35,0.2391,20,5,0.25,0.0385,0.0338,0.24,26,11,0.4231,0.0112,0.0147,0.283
