"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,2030,8252,0.249448323811251,0.0310227823557925,0.613908872901679,0.683042187859979,"frame only (mined error type)",0.613908872901679
0.1,843,1465,0.0442852392612073,0.0880546075085324,0.309352517985612,0.346176259334047,"frame only (mined error type)",0.309352517985612
0.15,530,821,0.0248178712856322,0.137637028014616,0.270983213429257,0.296887069888466,"frame only (mined error type)",0.270983213429257
0.2,214,527,0.0159305946011306,0.189753320683112,0.239808153477218,0.263508110965049,"frame only (mined error type)",0.239808153477218
0.25,76,291,0.00879659018772105,0.25085910652921,0.175059952038369,0.185230860968437,"frame only (mined error type)",0.175059952038369
0.3,22,91,0.00275082373567909,0.340659340659341,0.0743405275779376,0.0798357478756996,"frame only (mined error type)",0.0743405275779376
0.35,5,10,0.000302288322602098,0.2,0.00479616306954436,0.010177668758216,"frame only (mined error type)",0.00479616306954436
0.4,1,1,3.02288322602098e-05,1,0.00239808153477218,0.00349645611134451,"frame only (mined error type)",0.00239808153477218
0.05,2030,9071,0.254388916933087,0.118509535883585,0.359051436205745,0.399284704126751,"any error type",0.359051436205745
0.1,843,1596,0.0447585394581861,0.162907268170426,0.0868403473613894,0.106700521720593,"any error type",0.0868403473613894
0.15,530,890,0.0249593359133995,0.204494382022472,0.0607882431529726,0.0739792568003548,"any error type",0.0607882431529726
0.2,214,571,0.0160132368612934,0.252189141856392,0.0480961923847695,0.058354286540903,"any error type",0.0480961923847695
0.25,76,317,0.00889001065679511,0.312302839116719,0.0330661322645291,0.0386427270322073,"any error type",0.0330661322645291
0.3,22,103,0.00288855235851702,0.41747572815534,0.0143620574482298,0.017357059787543,"any error type",0.0143620574482298
0.35,5,12,0.000336530371866061,0.333333333333333,0.00133600534402138,0.00175873705929266,"any error type",0.00133600534402138
0.4,1,1,2.80441976555051e-05,1,0.000334001336005344,0.000491075932140158,"any error type",0.000334001336005344
