"hh","rule","source","n_flagged_train","clean_rate_train","clean_rate_train_lcb","n_flagged_holdout","clean_flagged_holdout","clean_rate_holdout","clean_cut_holdout","err_dollars_lost_holdout","workload_pct_holdout"
"1","medical_deductions > 112.00000 & unc_rawben_rel_max <=  -0.00915","ranger_mtry1",868,1,0.99689,386,382,0.9896,0.0187,0.0026,1.773
"1","children_i <  1.000 & count_divisible_by_100 <  1.000 & total_deductions_by_hh_size <  8.400 & unc_rawben_rel_max < -0.052","xgboost",1176,0.99915,0.9962,545,542,0.9945,0.0265,0.0014,2.504
"1","children_i <  1.000 & count_divisible_by_100 <  1.000 & total_deductions_by_hh_size <  8.400 & unc_rawben_rel_max < -0.004","xgboost",1319,0.99848,0.99543,609,606,0.9951,0.0296,0.0014,2.798
"1","medical_deductions >  0.50000 & unc_rawben_rel_max <= -0.00915","ranger_mtry1",979,0.99898,0.99543,425,421,0.9906,0.0206,0.0026,1.952
"1","children_i <   1.000 & shelter_expenses_by_hh_size < 749.000 & total_deductions_by_hh_size <   5.000 & unc_rawben_rel_max <  -0.004","xgboost",1278,0.99844,0.99528,600,598,0.9967,0.0292,9e-04,2.756
"1","cat_elig >=  1.000 & children_i <  1.000 & total_deductions_by_hh_size <  8.400 & unc_rawben_rel_max < -0.127","xgboost",899,0.99889,0.99503,428,428,1,0.0209,0,1.966
"1","children_i <  1.000 & total_deductions_by_hh_size <  5.000 & unc_rawben_rel_max < -0.052","xgboost",1182,0.99831,0.9949,553,551,0.9964,0.0269,9e-04,2.541
"1","total_deductions_by_hh_size <=   7.8000 & unc_rawben_rel_max <=  -0.0389 & utilities <= 327.0000","ranger_mtry1",850,0.99882,0.99474,358,355,0.9916,0.0173,0.0014,1.645
"1","children_i <   1.00 & unc_rawben_rel_max >=   1.02 & unc_rawben_rel_max <   1.20 & utilities < 287.00","xgboost",1091,0.99817,0.99448,611,609,0.9967,0.0297,0.0018,2.807
"1","children_i <  1.000 & total_deductions_by_hh_size <  8.400 & unc_rawben_rel_max < -0.004","xgboost",1343,0.99777,0.99442,628,625,0.9952,0.0305,0.0014,2.885
"1","total_deductions_by_hh_size <=  8.80000 & unc_rawben_rel_max > -2.63000 & unc_rawben_rel_max <= -0.00544","ranger_mtry1",1341,0.99776,0.99442,626,623,0.9952,0.0304,0.0014,2.876
"1","count_divisible_by_100 <=    1.50000 & shelter_expenses_by_hh_size <= 1140.00000 & total_deductions_by_hh_size <=    8.90000 & unc_rawben_rel_max <=   -0.00544","ranger_mtry1",1340,0.99776,0.99441,626,623,0.9952,0.0304,0.0014,2.876
"1","medical_deductions <=  0.50000 & total_deductions_by_hh_size <=  8.80000 & unc_rawben_rel_max > -2.63000 & unc_rawben_rel_max <= -0.00544","ranger_mtry1",1336,0.99775,0.99439,626,623,0.9952,0.0304,0.0014,2.876
"1","children_i <  1.000 & married <  1.000 & total_deductions_by_hh_size <  5.000 & unc_rawben_rel_max < -0.004","xgboost",1320,0.99773,0.99433,617,615,0.9968,0.03,9e-04,2.835
"1","cat_elig >= 2.00 & elderly_disabled_i < 1.00 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.20","xgboost",474,1,0.99432,61,60,0.9836,0.0029,4e-04,0.28
"1","medical_deductions >= 113.000 & total_deductions_by_hh_size >= 261.000 & unc_rawben_rel_max <  -0.032","xgboost",460,1,0.99415,183,181,0.9891,0.0088,0.0015,0.841
"1","total_deductions_by_hh_size <=  7.8000 & unc_rawben_rel_max <= -0.0389","ranger_mtry1",1239,0.99758,0.99396,580,577,0.9948,0.0282,0.0014,2.665
"1","rawben_rel_max <   0.113 & shelter_expenses_by_hh_size < 639.000 & total_deductions_by_hh_size <   5.000 & unc_rawben_rel_max <  -0.004","xgboost",1235,0.99757,0.99394,573,571,0.9965,0.0279,9e-04,2.632
"1","married <=  0.5000 & total_deductions_by_hh_size <=  0.1000 & unc_rawben_rel_max <= -0.0389","ranger_mtry1",1204,0.99751,0.99378,566,564,0.9965,0.0275,9e-04,2.6
"1","total_deductions_by_hh_size <  8.400 & unc_rawben_rel_max < -0.052","xgboost",1201,0.9975,0.99377,564,561,0.9947,0.0274,0.0014,2.591
"1","homeless <  1.000 & total_deductions_by_hh_size < 13.000 & unc_rawben_rel_max < -0.052","xgboost",1181,0.99746,0.99366,541,538,0.9945,0.0263,0.0014,2.485
"1","cat_elig >=  1.000 & children_i <  1.000 & total_deductions_by_hh_size <  8.400 & unc_rawben_rel_max < -0.004","xgboost",1166,0.99743,0.99358,562,560,0.9964,0.0274,9e-04,2.582
"1","total_deductions_by_hh_size <=  2.80000 & unc_rawben_rel_max <= -0.00544 & utilities <= 55.50000","ranger_mtry1",686,0.99854,0.99349,329,327,0.9939,0.016,9e-04,1.511
"1","total_deductions_by_hh_size < 13.000 & unc_rawben_rel_max < -0.004","xgboost",1361,0.99706,0.99347,630,627,0.9952,0.0306,0.0014,2.894
"1","cat_elig >=  1.000 & total_deductions_by_hh_size <  8.400 & unc_rawben_rel_max < -0.127","xgboost",900,0.99778,0.99331,428,428,1,0.0209,0,1.966
"1","total_deductions_by_hh_size < 1010.000 & unc_rawben_rel_max >=   -0.924 & unc_rawben_rel_max <   -0.032 & utilities >=  366.000","xgboost",1727,0.99653,0.9933,850,844,0.9929,0.0412,0.0057,3.905
"1","homeless <  1.000 & months_since_cert_n >= 15.000 & unc_rawben_rel_max < -0.072","xgboost",658,0.99848,0.99322,313,313,1,0.0153,0,1.438
"1","elderly_disabled_i >=   1.0000 & total_deductions_by_hh_size >=   8.4000 & unc_rawben_rel_max <  -0.0137 & utilities >= 366.0000","xgboost",1474,0.99661,0.99305,751,747,0.9947,0.0365,0.0045,3.45
"1","cat_elig >  0.5000 & total_deductions_by_hh_size <=  2.8000 & unc_rawben_rel_max <= -0.0389","ranger_mtry1",1067,0.99719,0.99299,514,513,0.9981,0.0251,4e-04,2.361
"1","unc_rawben_rel_max >=  -1.2000 & unc_rawben_rel_max <  -0.0137 & utilities >= 426.0000 & utilities < 912.0000","xgboost",1456,0.99657,0.99296,651,646,0.9923,0.0316,0.0053,2.991
"1","total_deductions_by_hh_size <  13.000 & unc_rawben_rel_max <  -0.004 & utilities < 386.000","xgboost",1054,0.99715,0.9929,500,497,0.994,0.0243,0.0014,2.297
"1","cat_elig >  0.5000 & elderly_disabled_i >  0.5000 & total_deductions_by_hh_size <=  2.8000 & unc_rawben_rel_max <= -0.0389","ranger_mtry1",1030,0.99709,0.99273,498,497,0.998,0.0243,4e-04,2.288
"1","total_deductions_by_hh_size < 846.0000 & unc_rawben_rel_max <  -0.0137 & utilities >= 392.0000","xgboost",1756,0.99601,0.99266,785,777,0.9898,0.038,0.0084,3.606
"1","cat_elig <   1.0 & months_since_cert_n <  13.0 & rawben_rel_max <   0.6 & total_deductions_by_hh_size < 103.0","xgboost",364,1,0.99262,191,183,0.9581,0.0089,0.0068,0.877
"1","total_deductions_by_hh_size < 206.000 & unc_rawben_rel_max <  -0.216","xgboost",1372,0.99636,0.99253,637,635,0.9969,0.031,0.0016,2.926
"1","total_deductions_by_hh_size < 1010.000 & unc_rawben_rel_max <   -0.032 & utilities >=  366.000","xgboost",1895,0.99578,0.99252,933,925,0.9914,0.0452,0.0084,4.286
"1","shelter_expenses_by_hh_size < 1560.000 & unc_rawben_rel_max <   -0.072 & utilities >=  366.000","xgboost",1707,0.9959,0.99245,809,802,0.9913,0.0392,0.0088,3.717
"1","cat_elig <= 0.50 & count_divisible_by_100 <= 0.50 & rawben_rel_max <= 0.35 & total_deductions_by_hh_size <= 7.80","ranger_mtry1",355,1,0.99244,184,180,0.9783,0.0088,0.0035,0.845
"1","elderly_disabled_i >=   1.000 & shelter_expenses_by_hh_size < 688.000 & unc_rawben_rel_max <  -0.004","xgboost",2039,0.99559,0.99243,914,909,0.9945,0.0444,0.0028,4.199
"1","unc_rawben_rel_max >=  -1.2000 & unc_rawben_rel_max <  -0.0137 & utilities >= 426.0000","xgboost",1525,0.99607,0.99241,712,703,0.9874,0.0343,0.01,3.271
"1","cat_elig >  0.50000 & total_deductions_by_hh_size <=  7.80000 & unc_rawben_rel_max <= -0.00544","ranger_mtry1",1164,0.99656,0.99237,559,557,0.9964,0.0272,9e-04,2.568
