"n_deduction_types","rawben_rel_max","earned_by_hh_size","n_excluded","workload_cut_pct","clean_excluded","errors_lost","exclusion_purity","err_dollars_lost","dollar_recall_retained","recall_retained","retained_precision"
1,0.45,700,67,12.6177,58,9,0.8657,787,0.9551,0.8989,0.1724
2,0.45,700,62,11.6761,54,8,0.871,721,0.9589,0.9101,0.1727
1,0.45,650,56,10.5461,47,9,0.8393,787,0.9551,0.8989,0.1684
1,0.4,700,53,9.9812,46,7,0.8679,664,0.9621,0.9213,0.1715
2,0.45,650,51,9.6045,43,8,0.8431,721,0.9589,0.9101,0.1688
3,0.45,750,51,9.6045,45,6,0.8824,818,0.9533,0.9326,0.1729
1,0.3,950,51,9.6045,43,8,0.8431,837,0.9522,0.9101,0.1688
1,0.45,600,50,9.4162,41,9,0.82,787,0.9551,0.8989,0.1663
2,0.4,700,50,9.4162,43,7,0.86,664,0.9621,0.9213,0.1705
2,0.3,950,49,9.2279,41,8,0.8367,837,0.9522,0.9101,0.168
1,0.3,900,48,9.0395,42,6,0.875,680,0.9612,0.9326,0.1718
1,0.3,850,47,8.8512,41,6,0.8723,680,0.9612,0.9326,0.1715
4,0.85,800,46,8.6629,40,6,0.8696,838,0.9522,0.9326,0.1711
2,0.3,900,46,8.6629,40,6,0.8696,680,0.9612,0.9326,0.1711
4,0.8,1050,46,8.6629,41,5,0.8913,803,0.9542,0.9438,0.1732
2,0.45,600,45,8.4746,37,8,0.8222,721,0.9589,0.9101,0.1667
2,0.3,850,45,8.4746,39,6,0.8667,680,0.9612,0.9326,0.1708
4,0.8,1000,45,8.4746,40,5,0.8889,803,0.9542,0.9438,0.1728
1,0.4,650,44,8.2863,37,7,0.8409,664,0.9621,0.9213,0.1684
4,0.8,950,43,8.0979,38,5,0.8837,803,0.9542,0.9438,0.1721
1,0.25,1050,43,8.0979,35,8,0.814,681,0.9611,0.9101,0.166
4,0.75,1050,43,8.0979,38,5,0.8837,803,0.9542,0.9438,0.1721
3,0.45,700,42,7.9096,37,5,0.881,548,0.9687,0.9438,0.1718
4,0.85,750,42,7.9096,37,5,0.881,728,0.9585,0.9438,0.1718
4,0.8,850,42,7.9096,38,4,0.9048,724,0.9587,0.9551,0.1738
3,0.35,900,42,7.9096,36,6,0.8571,840,0.9521,0.9326,0.1697
4,0.8,900,42,7.9096,38,4,0.9048,724,0.9587,0.9551,0.1738
4,0.75,1000,42,7.9096,37,5,0.881,803,0.9542,0.9438,0.1718
2,0.4,650,41,7.7213,34,7,0.8293,664,0.9621,0.9213,0.1673
1,0.35,700,41,7.7213,35,6,0.8537,566,0.9677,0.9326,0.1694
3,0.4,750,41,7.7213,35,6,0.8537,818,0.9533,0.9326,0.1694
2,0.25,1050,41,7.7213,33,8,0.8049,681,0.9611,0.9101,0.1653
1,0.4,600,40,7.533,33,7,0.825,664,0.9621,0.9213,0.167
4,0.8,800,40,7.533,37,3,0.925,409,0.9767,0.9663,0.1752
3,0.35,850,40,7.533,34,6,0.85,840,0.9521,0.9326,0.169
4,0.75,950,40,7.533,35,5,0.875,803,0.9542,0.9438,0.1711
1,0.25,1000,40,7.533,32,8,0.8,681,0.9611,0.9101,0.165
3,0.3,1050,40,7.533,34,6,0.85,778,0.9556,0.9326,0.169
4,0.7,1050,40,7.533,35,5,0.875,803,0.9542,0.9438,0.1711
1,0.45,550,39,7.3446,32,7,0.8205,630,0.9641,0.9213,0.1667
2,0.35,700,39,7.3446,33,6,0.8462,566,0.9677,0.9326,0.1687
4,0.75,850,39,7.3446,35,4,0.8974,724,0.9587,0.9551,0.1728
4,0.75,900,39,7.3446,35,4,0.8974,724,0.9587,0.9551,0.1728
4,0.7,1000,39,7.3446,34,5,0.8718,803,0.9542,0.9438,0.1707
1,0.3,800,38,7.1563,32,6,0.8421,680,0.9612,0.9326,0.1684
2,0.25,1000,38,7.1563,30,8,0.7895,681,0.9611,0.9101,0.1643
2,0.4,600,37,6.968,30,7,0.8108,664,0.9621,0.9213,0.166
4,0.85,700,37,6.968,32,5,0.8649,728,0.9585,0.9438,0.17
4,0.75,800,37,6.968,34,3,0.9189,409,0.9767,0.9663,0.1741
4,0.7,950,37,6.968,32,5,0.8649,803,0.9542,0.9438,0.17
3,0.3,1000,37,6.968,31,6,0.8378,778,0.9556,0.9326,0.168
1,0.3,750,36,6.7797,30,6,0.8333,680,0.9612,0.9326,0.1677
4,0.8,750,36,6.7797,34,2,0.9444,299,0.9829,0.9775,0.1758
2,0.3,800,36,6.7797,30,6,0.8333,680,0.9612,0.9326,0.1677
4,0.7,850,36,6.7797,32,4,0.8889,724,0.9587,0.9551,0.1717
4,0.7,900,36,6.7797,32,4,0.8889,724,0.9587,0.9551,0.1717
1,0.25,950,36,6.7797,29,7,0.8056,567,0.9676,0.9213,0.1657
4,0.6,1050,36,6.7797,31,5,0.8611,803,0.9542,0.9438,0.1697
4,0.65,1050,36,6.7797,31,5,0.8611,803,0.9542,0.9438,0.1697
1,0.35,650,35,6.5913,29,6,0.8286,566,0.9677,0.9326,0.1673
4,0.85,650,35,6.5913,31,4,0.8857,567,0.9676,0.9551,0.1714
3,0.4,700,35,6.5913,30,5,0.8571,548,0.9687,0.9438,0.1694
3,0.35,800,35,6.5913,29,6,0.8286,840,0.9521,0.9326,0.1673
4,0.6,1000,35,6.5913,30,5,0.8571,803,0.9542,0.9438,0.1694
4,0.65,1000,35,6.5913,30,5,0.8571,803,0.9542,0.9438,0.1694
2,0.45,550,34,6.403,28,6,0.8235,564,0.9678,0.9326,0.167
3,0.45,650,34,6.403,29,5,0.8529,548,0.9687,0.9438,0.169
2,0.3,750,34,6.403,28,6,0.8235,680,0.9612,0.9326,0.167
4,0.7,800,34,6.403,31,3,0.9118,409,0.9767,0.9663,0.173
1,0.25,850,34,6.403,29,5,0.8529,410,0.9766,0.9438,0.169
1,0.25,900,34,6.403,29,5,0.8529,410,0.9766,0.9438,0.169
2,0.25,950,34,6.403,27,7,0.7941,567,0.9676,0.9213,0.165
1,0.45,500,33,6.2147,27,6,0.8182,532,0.9696,0.9326,0.1667
2,0.35,650,33,6.2147,27,6,0.8182,566,0.9677,0.9326,0.1667
4,0.75,750,33,6.2147,31,2,0.9394,299,0.9829,0.9775,0.1747
4,0.6,950,33,6.2147,28,5,0.8485,803,0.9542,0.9438,0.1687
4,0.65,950,33,6.2147,28,5,0.8485,803,0.9542,0.9438,0.1687
4,0.55,1050,33,6.2147,28,5,0.8485,803,0.9542,0.9438,0.1687
4,0.85,600,32,6.0264,28,4,0.875,567,0.9676,0.9551,0.1703
2,0.25,850,32,6.0264,27,5,0.8438,410,0.9766,0.9438,0.1683
4,0.6,850,32,6.0264,28,4,0.875,724,0.9587,0.9551,0.1703
4,0.65,850,32,6.0264,28,4,0.875,724,0.9587,0.9551,0.1703
2,0.25,900,32,6.0264,27,5,0.8438,410,0.9766,0.9438,0.1683
4,0.6,900,32,6.0264,28,4,0.875,724,0.9587,0.9551,0.1703
4,0.65,900,32,6.0264,28,4,0.875,724,0.9587,0.9551,0.1703
3,0.3,950,32,6.0264,28,4,0.875,578,0.967,0.9551,0.1703
4,0.55,1000,32,6.0264,27,5,0.8438,803,0.9542,0.9438,0.1683
1,0.35,600,31,5.838,25,6,0.8065,566,0.9677,0.9326,0.166
1,0.3,700,31,5.838,27,4,0.871,345,0.9803,0.9551,0.17
4,0.8,700,31,5.838,29,2,0.9355,299,0.9829,0.9775,0.174
3,0.35,750,31,5.838,26,5,0.8387,720,0.9589,0.9438,0.168
4,0.7,750,31,5.838,29,2,0.9355,299,0.9829,0.9775,0.174
4,0.8,650,30,5.6497,28,2,0.9333,299,0.9829,0.9775,0.1737
4,0.6,800,30,5.6497,27,3,0.9,409,0.9767,0.9663,0.1717
4,0.65,800,30,5.6497,27,3,0.9,409,0.9767,0.9663,0.1717
3,0.3,900,30,5.6497,27,3,0.9,499,0.9715,0.9663,0.1717
4,0.55,950,30,5.6497,25,5,0.8333,803,0.9542,0.9438,0.1677
1,0.4,550,29,5.4614,24,5,0.8276,507,0.9711,0.9438,0.1673
2,0.35,600,29,5.4614,23,6,0.7931,566,0.9677,0.9326,0.1653
3,0.45,600,29,5.4614,24,5,0.8276,548,0.9687,0.9438,0.1673
3,0.4,650,29,5.4614,24,5,0.8276,548,0.9687,0.9438,0.1673
2,0.3,700,29,5.4614,25,4,0.8621,345,0.9803,0.9551,0.1693
3,0.3,850,29,5.4614,26,3,0.8966,499,0.9715,0.9663,0.1713
