"n_deduction_types","rawben_rel_max","earned_by_hh_size","n_excluded","workload_cut_pct","clean_excluded","errors_lost","exclusion_purity","err_dollars_lost","dollar_recall_retained","recall_retained","retained_precision"
4,0.3,50,0,0,0,0,NA,0,1,1,0.1676
1,0.35,50,6,1.1299,3,3,0.5,270,0.9846,0.9663,0.1638
2,0.35,50,4,0.7533,1,3,0.25,270,0.9846,0.9663,0.1632
3,0.35,50,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.35,50,0,0,0,0,NA,0,1,1,0.1676
1,0.4,50,8,1.5066,5,3,0.625,270,0.9846,0.9663,0.1644
2,0.4,50,5,0.9416,2,3,0.4,270,0.9846,0.9663,0.1635
3,0.4,50,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.4,50,0,0,0,0,NA,0,1,1,0.1676
1,0.45,50,12,2.2599,8,4,0.6667,336,0.9808,0.9551,0.1638
2,0.45,50,7,1.3183,4,3,0.5714,270,0.9846,0.9663,0.1641
3,0.45,50,1,0.1883,0,1,0,154,0.9912,0.9888,0.166
4,0.45,50,0,0,0,0,NA,0,1,1,0.1676
1,0.5,50,18,3.3898,13,5,0.7222,458,0.9739,0.9438,0.1637
2,0.5,50,13,2.4482,9,4,0.6923,392,0.9776,0.9551,0.1641
3,0.5,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.5,50,0,0,0,0,NA,0,1,1,0.1676
1,0.55,50,20,3.7665,15,5,0.75,458,0.9739,0.9438,0.1644
2,0.55,50,15,2.8249,11,4,0.7333,392,0.9776,0.9551,0.1647
3,0.55,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.55,50,0,0,0,0,NA,0,1,1,0.1676
1,0.6,50,25,4.7081,20,5,0.8,458,0.9739,0.9438,0.166
2,0.6,50,19,3.5782,15,4,0.7895,392,0.9776,0.9551,0.166
3,0.6,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.6,50,0,0,0,0,NA,0,1,1,0.1676
1,0.65,50,31,5.838,23,8,0.7419,993,0.9433,0.9101,0.162
2,0.65,50,24,4.5198,17,7,0.7083,927,0.9471,0.9213,0.1617
3,0.65,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.65,50,0,0,0,0,NA,0,1,1,0.1676
1,0.7,50,33,6.2147,25,8,0.7576,993,0.9433,0.9101,0.1627
2,0.7,50,25,4.7081,18,7,0.72,927,0.9471,0.9213,0.1621
3,0.7,50,3,0.565,2,1,0.6667,154,0.9912,0.9888,0.1667
4,0.7,50,0,0,0,0,NA,0,1,1,0.1676
1,0.75,50,38,7.1563,30,8,0.7895,993,0.9433,0.9101,0.1643
