"state","cosine_sqrt","cosine_idf","cosine_raw","n_rows","rank_sqrt","rank_idf","rank_raw"
"Oklahoma",0.958019501995979,0.471564879136361,0.944088860878921,2762,1,6,1
"Indiana",0.94686679543879,0.485853785588964,0.919915384886832,2551,2,4,2
"New Mexico",0.945976742413373,0.625036997430504,0.907926532975025,2845,3,1,3
"Texas",0.94113931132379,0.484754470444709,0.900172579411403,2412,4,5,6
"Alabama",0.933032687441424,0.234553926584393,0.900739252013713,3038,5,27,5
"Kentucky",0.931894761346463,0.340345140221241,0.88310936173312,2811,6,15,11
"Arizona",0.931395348524317,0.522354067321352,0.884412134443827,2527,7,3,10
"Maryland",0.93098437392862,0.389171356836737,0.901482390407575,1771,8,13,4
"Wisconsin",0.927856907710265,0.443142902897089,0.879256294018175,2963,9,8,13
"Ohio",0.924806291056255,0.270773363746606,0.894024686359355,2668,10,20,7
"Illinois",0.92202335631151,0.26955036768639,0.88760732624473,2448,11,21,8
"Virginia",0.918603310570619,0.390138032090832,0.887243642786618,2168,12,11,9
"Georgia",0.916221871825953,0.318003103954864,0.870866552754293,2913,13,17,15
"Montana",0.915709504503291,0.20257857049121,0.876235032303542,1707,14,29,14
"South Carolina",0.912203118619235,0.444137553409056,0.882914266599068,2538,15,7,12
"Minnesota",0.907099380107005,0.324807742747521,0.856125689445245,2769,16,16,18
"Delaware",0.905227752244758,0.247327421868832,0.860963538853637,1226,17,24,16
"District of Columbia",0.897989466881797,0.256663908378694,0.85342351670038,2201,18,23,19
"Florida",0.896160948739929,0.389683267272477,0.845455711725749,2695,19,12,20
"Oregon",0.893112649546202,0.416015787008668,0.824769137895145,2288,20,9,27
"North Carolina",0.892487904568054,0.235016539015536,0.834260826303165,2830,21,26,22
"Michigan",0.891225299415681,0.17647097878495,0.839785533113549,2586,22,31,21
"Idaho",0.88916376682222,0.356063994818094,0.858535755858372,2575,23,14,17
"Nevada",0.88549382970547,0.53629570142788,0.820432147550691,2832,24,2,29
"Pennsylvania",0.883153669652478,0.159068753389386,0.825255593699869,2336,25,36,26
"Nebraska",0.881127130076094,0.174028465830218,0.828311156645468,2603,26,32,24
"California",0.881044501376733,0.260794493663898,0.827878420782535,2331,27,22,25
"Iowa",0.877451766147909,0.201122313285655,0.829651369555383,2838,28,30,23
"Maine",0.876148124557102,0.100506228590489,0.812026295605629,2727,29,44,31
"West Virginia",0.865690305358351,0.409387275487826,0.819874000804764,2107,30,10,30
"Missouri",0.862408786848646,0.277768529261567,0.789999734441589,2140,31,19,35
"North Dakota",0.860316943521046,0.113450437725753,0.820523197641509,1246,32,42,28
"Rhode Island",0.858153383457668,0.125576690307676,0.799517787704952,2515,33,39,33
"Tennessee",0.855323319012191,0.160344836715307,0.779075049988794,2771,34,35,39
"Connecticut",0.853768342603779,0.115301594352914,0.790917711780857,2769,35,40,34
"Kansas",0.851169439933322,0.242315599621081,0.778486389242339,2600,36,25,40
"Colorado",0.850538011818253,0.214849786512109,0.783267153230839,2605,37,28,37
"Massachusetts",0.848197870907606,0.167796039344057,0.782439715074141,2669,38,33,38
"Washington",0.847918628655758,0.284542720490236,0.801089167132032,2356,39,18,32
"New York",0.845779522934496,0.126573938114031,0.786162879785644,2452,40,38,36
"New Hampshire",0.844321935186527,0.0956870700698632,0.767298551436171,1727,41,45,41
"New Jersey",0.836691530271086,0.160662965544693,0.757104764475748,1784,42,34,42
"South Dakota",0.835547521568642,0.0517204424978619,0.750837379699373,1784,43,47,44
"Vermont",0.827246062919175,0.104612487933102,0.75153805299091,1996,44,43,43
"Arkansas",0.806787953188039,0.0656995619311844,0.731493773458546,2367,45,46,46
"Wyoming",0.805813544912657,0.113596973658929,0.736477959148428,806,46,41,45
"Utah",0.794185794713609,0.154287109661407,0.720617032805705,2880,47,37,47
"Mississippi",0.762374199465967,0.0494573007971534,0.702657116837682,3198,48,48,48
