"state","n_cases","rep_change","rep_quarterly","rep_simplified","smd_demo","ssi_cap_share","catelig_any","catelig_expanded","sua_code1","sua_code3","sua_code4","cert_median","cert_ge24","cert_ge24_elddis","csded_share","homeless_ded_share","medded_share_ed","expedited_share","tanf_share","pure_pa_share","abawd_share"
"Alabama",3038,0.00625411454904542,0.128373930217248,0.864384463462805,0.0493745885450955,0,1,0.281435154707044,0.289005924950625,0.0131665569453588,0.644502962475313,12,0.23798551678736,0.47503285151117,0.00888742593811718,0.00131665569453588,0.0985545335085414,0.115207373271889,0.010533245556287,0.19980250164582,0.0417489576475752
"Arizona",2527,0.115552037989711,0.073209339137317,0.805302730510487,0.0324495449149189,0.00277008310249307,1,0.301147605856747,0.386507936507937,0,0.358333333333333,12,0.299564701226751,0.769865841073271,0.00910170162247725,0.00237435694499406,0.0846233230134159,0.19192718638702,0.00989315393747527,0.110011871784725,0.0672150300563439
"Arkansas",2367,0.15758343895226,0.155471060414026,0.342627798901563,0.0283058724123363,0,0.303760033798057,0.0139416983523447,0.371356147021546,0.0198563582594001,0.55766793409379,12,0.474862695395015,0.772442588726514,0.00844951415293621,0,0.046624913013222,0.0853400929446557,0.00675961132234896,0.280946345585129,0.0338473454443036
"California",2331,0.00686400686400686,0.108966108966109,0.544401544401544,0.0437580437580438,0,0.999570999571,0.215358215358215,0.208065208065208,0.245388245388245,0.425139425139425,12,0.439296439296439,0.888400702987698,0.00943800943800944,0.00214500214500214,0.0896309314586995,0.147147147147147,0.0647790647790648,0.312312312312312,0.199980082122939
"Colorado",2605,0.0111324376199616,0.20383877159309,0.776967370441459,0.0610364683301344,0,1,0.221880998080614,0.299808061420345,0.189251439539347,0.322840690978887,6,0.336660268714012,0.81404174573055,0.0126679462571977,0.0138195777351248,0.150853889943074,0.137811900191939,0.0387715930902111,0.177735124760077,0.105048441641532
"Connecticut",2769,0.00830624774286746,0.00722282412423257,0.547851209823041,0,0,0.999277717587577,0.228241242325749,0.169736366919466,0.388226796677501,0.418562657999278,36,0.516793066088841,0.877940241576605,0.022390754785121,0,0.0267005721551176,0.12639942217407,0.0213073311664861,0.240881184543156,0.096614301191766
"Delaware",1226,0.00244698205546493,0.380097879282219,0.51141924959217,0,0,1,0.341761827079935,0.49021207177814,0.0383360522022839,0.423327895595432,12,0.0766721044045677,0.167259786476868,0.0146818923327896,0,0.110320284697509,0.099510603588907,0.0367047308319739,0.199021207177814,0.076563349646547
"District of Columbia",2201,0.0985915492957746,0.163107678328033,0.690140845070423,0,0,1,0.314402544298046,0.418446160835984,0.481144934120854,0.0831440254429805,18,0.426624261699228,0.878974358974359,0.00272603362108133,0.00136301681054066,0.038974358974359,0.216265333939119,0.153112221717401,0.304407087687415,0.215884194053208
"Florida",2695,0.0230055658627087,0.331354359925788,0.000742115027829314,0,0.0133580705009276,1,0.263450834879406,0.331354359925788,0.00667903525046382,0.493506493506494,6,0.0204081632653061,0.0351692103516921,0.00408163265306122,0,0.0504313205043132,0.106533036377134,0.0374768089053803,0.229313543599258,0.0240197897340754
"Georgia",2913,0.00652248541023,0.245108135942327,0.739787161002403,0.0755235152763474,0,1,0.2825266048747,0.370065224854102,0.0288362512873326,0.466529351184346,6,0.123583934088568,0.255138199858257,0.00858221764503948,0.000686577411603158,0.155917788802268,0.189495365602472,0.00686577411603158,0.161002403020941,0.0966929854674448
"Idaho",2575,0.00116504854368932,0.294757281553398,0.352621359223301,0.0333980582524272,0,1,0.358446601941748,0.224854368932039,0.311456310679612,0.333980582524272,6,0.047008547008547,0.086366880799429,0.0124271844660194,0.00271844660194175,0.0613409415121255,0.072621359223301,0.00970873786407767,0.230679611650485,0.0415016181229773
"Illinois",2448,0.393790849673203,0.00245098039215686,0.584558823529412,0.0612745098039216,0,1,0.28921568627451,0.348856209150327,0.0841503267973856,0.434640522875817,12,0.200980392156863,0.438914027149321,0.00571895424836601,0,0.135746606334842,0.152369281045752,0.0253267973856209,0.160947712418301,0.201188044662309
"Indiana",2551,0.00156801254410035,0,0.994511956095649,0,0,1,0.286554292434339,0.410427283418267,0.0199921599372795,0.540572324578597,12,0.257154057232458,0.516129032258065,0.0109760878087025,0,0.0225806451612903,0.169345354762838,0.0180321442571541,0.210505684045472,0.0358715536390958
"Iowa",2838,0.00105708245243129,0.328047921071177,0.669133192389006,0.0472163495419309,0,0.999647639182523,0.269556025369979,0.30338266384778,0.00493305144467935,0.621916842847075,6,0,0,0.0303030303030303,0,0.0930555555555556,0.107822410147992,0.0250176180408739,0.194855532064834,0.0418428470754052
"Kansas",2600,0.00153846153846154,0.00269230769230769,0.990384615384615,0.0630769230769231,0,0.271923076923077,0.0138461538461538,0.228461538461538,0.305384615384615,0.373846153846154,12,0.471538461538462,0.830376153300213,0.0307692307692308,0.000384615384615385,0.115684882895671,0.162692307692308,0.0211538461538462,0.248461538461538,0.044275641025641
