"state","cosine_sqrt","cosine_raw","n_rows","rank_sqrt","rank_raw"
"Indiana",0.937889970761084,0.928332536844134,4578,1,3
"Oklahoma",0.936578322436742,0.934741927108572,4835,2,2
"Alabama",0.926696700941714,0.935941387229122,5781,3,1
"New Mexico",0.926695508564307,0.90252512256751,4589,4,5
"Kentucky",0.926373555930977,0.89863643577975,5166,5,6
"Virginia",0.917114077149807,0.909428216695778,3742,6,4
"Texas",0.913676400322119,0.82580317522807,3910,7,9
"Arizona",0.888722212268449,0.794105060591566,4813,8,17
"Wisconsin",0.884179293391762,0.819942638510884,5280,9,12
"Illinois",0.875568984238408,0.852429909808585,4265,10,7
"Ohio",0.871885880622435,0.845729714349961,4506,11,8
"Delaware",0.867624798570542,0.821290017137179,2856,12,11
"Georgia",0.864110227202681,0.738685859057531,4646,13,23
"Tennessee",0.85807796594568,0.825392009570586,5479,14,10
"Montana",0.84851315247468,0.814312402713173,3338,15,13
"District of Columbia",0.847618429928183,0.813932215727039,4157,16,14
"Maryland",0.845234408559143,0.767608933908966,3534,17,20
"California",0.84486968783598,0.799449954913341,4456,18,16
"Minnesota",0.83909991405713,0.730867084934844,3991,19,24
"Kansas",0.836402279237669,0.809350037439813,4639,20,15
"South Carolina",0.834669241039636,0.694022869396889,4962,21,29
"Oregon",0.833174960828015,0.754270129232219,4078,22,22
"Michigan",0.831024889018812,0.766546096228296,4115,23,21
"Nebraska",0.830628198610497,0.690300266359625,4728,24,30
"Idaho",0.817607507078497,0.700497432811809,5252,25,28
"Pennsylvania",0.81497846529624,0.727537180558153,4581,26,25
"Florida",0.81437360342257,0.662889703097708,5230,27,34
"Missouri",0.814157293503785,0.790073841905478,4084,28,18
"Iowa",0.810487404211137,0.680835678120605,5461,29,32
"Nevada",0.808351488873517,0.637877774221641,5404,30,38
"North Carolina",0.802880782312625,0.689681223608047,4873,31,31
"New Jersey",0.783463098926368,0.722133676189434,3799,32,27
"Colorado",0.767807341504261,0.599176216644003,4240,33,41
"Washington",0.764628966676012,0.726873762641392,3727,34,26
"Mississippi",0.763479296146131,0.625105111830535,5224,35,39
"Arkansas",0.76286053731563,0.664457415251161,5256,36,33
"Rhode Island",0.759299923008846,0.643128859750917,3483,37,36
"Maine",0.754016487566912,0.641399823118501,5349,38,37
"West Virginia",0.753514134440785,0.779380221385889,3582,39,19
"South Dakota",0.749032743997356,0.660161507637591,3302,40,35
"North Dakota",0.72823059744192,0.56527663589159,2367,41,46
"Utah",0.724495688862264,0.572582452573436,4943,42,45
"Connecticut",0.719818033659172,0.598915394401418,4883,43,42
"Massachusetts",0.711219525234696,0.586198033593359,4604,44,44
"New Hampshire",0.70920615900734,0.528550182569253,3353,45,48
"New York",0.697654506715188,0.605679927302376,4150,46,40
"Wyoming",0.693113587987823,0.59069956324143,1683,47,43
"Vermont",0.691244726978368,0.556867819934237,3553,48,47
