"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.5301,0.0978,0.252,0.1044,0.0884,0.1681,0.337,0.5813,0.6283,0.3868,0.2112,0.4368,0.5617,0.4272,0.4911,0.4283,0.0633,0.1111,0.0744,0.0857,0.0915,0.2982,0.2047,0.157,0.202,0.1333,0.1081,0.247,0.5613,0.087,0.1217,0.0819,0.1296,0.5682,0.2001,0.0687,0.0786,0.3208,0.1177,0.2932,0.596,0.3514,0.0445,0.2784,0.1567,0.2046,0.2106,0.0917
"Arizona",0.5301,1,0.0921,0.2166,0.1439,0.0816,0.2947,0.257,0.4526,0.587,0.6025,0.2086,0.4132,0.3987,0.3114,0.4025,0.2564,0.0691,0.2146,0.089,0.1588,0.0906,0.3071,0.1772,0.2037,0.2127,0.2359,0.1503,0.2155,0.4499,0.0981,0.2341,0.1649,0.1048,0.4385,0.1955,0.0608,0.0677,0.3511,0.0936,0.3169,0.4773,0.2706,0.0472,0.2344,0.1454,0.1334,0.3336,0.1327
"Arkansas",0.0978,0.0921,1,0.0813,0.0763,0.0474,0.0989,0.138,0.0726,0.0798,0.0748,0.1078,0.3526,0.0696,0.645,0.1329,0.6257,0.0439,0.0528,0.0478,0.0618,0.0642,0.3862,0.658,0.0612,0.069,0.0892,0.0308,0.0644,0.1229,0.0287,0.0332,0.0265,0.0648,0.1173,0.0842,0.0564,0.0521,0.0924,0.2831,0.7362,0.0909,0.5279,0.024,0.4984,0.0742,0.1174,0.0804,0.5376
"California",0.252,0.2166,0.0813,1,0.261,0.2371,0.5168,0.4286,0.2435,0.2461,0.3502,0.58,0.4371,0.1692,0.2053,0.3308,0.1063,0.1453,0.5289,0.2483,0.2402,0.2158,0.2346,0.2013,0.2107,0.2909,0.2092,0.1541,0.4001,0.3608,0.1756,0.1877,0.1021,0.1717,0.338,0.5078,0.2243,0.2332,0.182,0.185,0.1515,0.1257,0.092,0.1178,0.4014,0.5662,0.4809,0.3515,0.2724
"Colorado",0.1044,0.1439,0.0763,0.261,1,0.2978,0.3596,0.1546,0.1807,0.224,0.2827,0.4181,0.161,0.2352,0.1196,0.1264,0.0617,0.3022,0.3575,0.3184,0.3971,0.4703,0.1246,0.1703,0.39,0.6742,0.2919,0.2961,0.4251,0.1869,0.2369,0.3657,0.3015,0.421,0.0964,0.5091,0.3798,0.3117,0.2561,0.2599,0.1082,0.1648,0.0852,0.194,0.152,0.4183,0.4529,0.4972,0.1835
"Connecticut",0.0884,0.0816,0.0474,0.2371,0.2978,1,0.218,0.1883,0.1117,0.0902,0.1144,0.2962,0.1289,0.0827,0.0699,0.1422,0.0563,0.8679,0.167,0.7859,0.5292,0.5002,0.0878,0.0859,0.4564,0.3318,0.1242,0.8049,0.4445,0.1738,0.6927,0.6248,0.6843,0.4734,0.103,0.319,0.6151,0.7798,0.0596,0.8687,0.056,0.0597,0.0305,0.6173,0.2454,0.2382,0.269,0.248,0.1014
"Delaware",0.1681,0.2947,0.0989,0.5168,0.3596,0.218,1,0.2822,0.216,0.3174,0.3869,0.4906,0.3063,0.1896,0.2231,0.217,0.1052,0.2147,0.6133,0.2847,0.2938,0.2705,0.3218,0.3058,0.2492,0.3064,0.4205,0.1751,0.2647,0.2987,0.1561,0.2657,0.2006,0.2098,0.21,0.5246,0.2231,0.2121,0.1546,0.1614,0.1699,0.1924,0.0895,0.1315,0.2115,0.5633,0.4729,0.5484,0.2362
"District of Columbia",0.337,0.257,0.138,0.4286,0.1546,0.1883,0.2822,1,0.2622,0.1849,0.2806,0.4346,0.3579,0.137,0.1534,0.5662,0.1984,0.0976,0.1488,0.16,0.229,0.102,0.338,0.168,0.153,0.1904,0.2622,0.0968,0.2619,0.6046,0.1208,0.1157,0.0571,0.1172,0.488,0.348,0.1851,0.2057,0.2782,0.1724,0.1535,0.1942,0.0971,0.0587,0.5374,0.2131,0.3127,0.217,0.0895
"Florida",0.5813,0.4526,0.0726,0.2435,0.1807,0.1117,0.216,0.2622,1,0.7552,0.2548,0.2605,0.1163,0.803,0.4898,0.1979,0.5199,0.0771,0.244,0.1464,0.1088,0.1121,0.1962,0.1495,0.0877,0.1352,0.272,0.1005,0.1806,0.4093,0.0973,0.1022,0.0804,0.1004,0.224,0.2662,0.1094,0.123,0.2253,0.0756,0.2675,0.8193,0.4756,0.0881,0.2961,0.2248,0.1447,0.2009,0.1261
"Georgia",0.6283,0.587,0.0798,0.2461,0.224,0.0902,0.3174,0.1849,0.7552,1,0.4349,0.2959,0.225,0.7507,0.5294,0.2497,0.4745,0.0861,0.2388,0.1373,0.1593,0.1438,0.2597,0.2213,0.1782,0.2216,0.221,0.1206,0.209,0.3499,0.1098,0.1927,0.1372,0.1472,0.2947,0.2677,0.0945,0.1161,0.2504,0.0912,0.3105,0.7548,0.4455,0.0801,0.251,0.2904,0.1821,0.3462,0.2196
