"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.6648,0.5383,0.3647,0.481,0.4261,0.6067,0.2061,0.5701,0.72,0.5235,0.4937,0.8232,0.7401,0.4321,0.5786,0.7311,0.5015,0.4391,0.3781,0.4122,0.3761,0.3672,0.5207,0.2804,0.3815,0.5866,0.4473,0.2456,0.4322,0.1754,0.7277,0.4155,0.6973,0.6471,0.5374,0.2396,0.3927,0.6799,0.29,0.5287,0.8628,0.4173,0.2505,0.3823,0.3256,0.4523,0.4623,0.3545
"Arizona",0.6648,1,0.3862,0.3119,0.6369,0.4185,0.5453,0.4101,0.4298,0.7459,0.3399,0.6761,0.7883,0.4624,0.4274,0.5131,0.6693,0.3031,0.4999,0.3545,0.4652,0.276,0.3833,0.5448,0.5557,0.3842,0.7463,0.3058,0.2915,0.6597,0.2086,0.5022,0.3277,0.5339,0.8369,0.6361,0.377,0.3198,0.5548,0.3798,0.5538,0.7057,0.5248,0.2649,0.5798,0.2572,0.4189,0.5525,0.3303
"Arkansas",0.5383,0.3862,1,0.4089,0.2644,0.4171,0.4336,0.3327,0.5592,0.3406,0.4285,0.3413,0.5209,0.4268,0.6232,0.5316,0.3154,0.294,0.4443,0.3708,0.356,0.4547,0.7925,0.536,0.3564,0.1367,0.4063,0.4543,0.4079,0.4291,0.3519,0.3738,0.2159,0.5627,0.3279,0.3061,0.338,0.3931,0.4866,0.3713,0.8211,0.5225,0.5307,0.2221,0.2483,0.374,0.6813,0.1067,0.5369
"California",0.3647,0.3119,0.4089,1,0.5504,0.6064,0.3465,0.7539,0.3788,0.3228,0.3103,0.5566,0.3929,0.2745,0.4484,0.3788,0.4689,0.4874,0.6808,0.5717,0.5528,0.6484,0.3111,0.4175,0.456,0.3145,0.1578,0.3321,0.5469,0.58,0.5445,0.1872,0.2969,0.5039,0.3556,0.7461,0.5695,0.6832,0.2443,0.3646,0.5058,0.289,0.2276,0.5735,0.763,0.6392,0.5529,0.2348,0.2546
"Colorado",0.481,0.6369,0.2644,0.5504,1,0.2484,0.5018,0.4884,0.3659,0.6689,0.4111,0.5052,0.4205,0.4712,0.442,0.4216,0.455,0.367,0.4498,0.5584,0.5723,0.2893,0.2058,0.5742,0.4475,0.4948,0.4637,0.281,0.4207,0.4408,0.3511,0.4459,0.5481,0.4851,0.4829,0.717,0.4145,0.3659,0.381,0.4542,0.4659,0.5163,0.5588,0.4287,0.6821,0.3519,0.3858,0.5192,0.4669
"Connecticut",0.4261,0.4185,0.4171,0.6064,0.2484,1,0.3089,0.4852,0.2847,0.1428,0.2953,0.3826,0.4938,0.2614,0.5167,0.5521,0.5427,0.5116,0.5449,0.5775,0.49,0.4605,0.2518,0.3707,0.47,0.377,0.2284,0.3539,0.6224,0.6205,0.6161,0.3582,0.3058,0.6274,0.5177,0.4622,0.6017,0.7241,0.1961,0.2964,0.4249,0.4716,0.2215,0.7349,0.4938,0.5064,0.5943,0.3687,0.1469
"Delaware",0.6067,0.5453,0.4336,0.3465,0.5018,0.3089,1,0.4398,0.8147,0.7041,0.7061,0.4787,0.5896,0.7911,0.1763,0.4631,0.4967,0.6093,0.422,0.2972,0.5018,0.4371,0.438,0.2104,0.3824,0.4813,0.8146,0.5075,0.1921,0.484,0.2517,0.7713,0.5766,0.5737,0.4498,0.3032,0.1963,0.1355,0.6947,0.3742,0.518,0.5956,0.5706,0.1864,0.3829,0.3553,0.3195,0.5493,0.5337
"District of Columbia",0.2061,0.4101,0.3327,0.7539,0.4884,0.4852,0.4398,1,0.3611,0.3162,0.2849,0.5061,0.4347,0.1985,0.3816,0.3835,0.4042,0.464,0.6575,0.4463,0.4016,0.6171,0.3334,0.335,0.5812,0.3887,0.3224,0.2707,0.4319,0.5694,0.4584,0.1385,0.2526,0.4113,0.479,0.5738,0.4753,0.4564,0.2765,0.4834,0.5027,0.1514,0.3463,0.4939,0.674,0.5287,0.4154,0.297,0.2519
"Florida",0.5701,0.4298,0.5592,0.3788,0.3659,0.2847,0.8147,0.3611,1,0.6097,0.835,0.4057,0.5148,0.7365,0.1427,0.4527,0.3448,0.6344,0.5007,0.3405,0.447,0.5348,0.5889,0.1779,0.3143,0.3919,0.7937,0.6323,0.2844,0.5194,0.3311,0.7017,0.4514,0.4318,0.3721,0.3046,0.2657,0.2594,0.7731,0.3192,0.4233,0.5846,0.5802,0.1868,0.2054,0.4376,0.4812,0.3901,0.5734
"Georgia",0.72,0.7459,0.3406,0.3228,0.6689,0.1428,0.7041,0.3162,0.6097,1,0.5636,0.6343,0.6252,0.7272,0.3287,0.2952,0.5565,0.3847,0.3351,0.2672,0.5962,0.2769,0.3744,0.5664,0.3394,0.435,0.7737,0.4327,0.1314,0.3964,0.1124,0.6525,0.5912,0.366,0.5965,0.5919,0.1881,0.2415,0.6676,0.5145,0.4902,0.6619,0.6123,0.2069,0.5255,0.2884,0.2461,0.6508,0.65
