"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",1,0.9637,0.8682,0.9479,0.9308,0.9211,0.961,0.9081,0.9295,0.9496,0.9247,0.9757,0.9809,0.9496,0.9197,0.9607,0.933,0.9389,0.9744,0.9204,0.9703,0.9758,0.8293,0.9312,0.983,0.961,0.9225,0.9224,0.92,0.9592,0.9228,0.9576,0.9447,0.9833,0.9608,0.9412,0.9598,0.927,0.9316,0.9301,0.922,0.9681,0.883,0.9026,0.9444,0.9318,0.9403,0.9711,0.8877
"Arizona",0.9637,1,0.8674,0.953,0.9452,0.9169,0.96,0.8953,0.9608,0.9616,0.9408,0.9697,0.9767,0.9419,0.9253,0.9575,0.9314,0.9382,0.9746,0.9173,0.9518,0.9666,0.8219,0.9385,0.9549,0.9481,0.9604,0.9217,0.9257,0.975,0.9126,0.9489,0.919,0.9548,0.9658,0.9691,0.9413,0.9146,0.9301,0.9066,0.9205,0.9838,0.9001,0.8946,0.9573,0.9531,0.9293,0.9833,0.8895
"Arkansas",0.8682,0.8674,1,0.8091,0.826,0.759,0.8376,0.8875,0.8451,0.8846,0.8721,0.8388,0.8782,0.8599,0.9442,0.9171,0.8068,0.7995,0.8536,0.767,0.8223,0.8462,0.9698,0.9217,0.8544,0.8426,0.8525,0.7946,0.7813,0.8719,0.7751,0.815,0.8224,0.8468,0.8742,0.8163,0.8042,0.7556,0.8886,0.8814,0.9617,0.8853,0.9267,0.7436,0.8439,0.8531,0.9113,0.8608,0.9379
"California",0.9479,0.953,0.8091,1,0.9354,0.9518,0.9503,0.853,0.921,0.9128,0.8809,0.979,0.9409,0.913,0.891,0.9002,0.881,0.9508,0.9666,0.9578,0.9749,0.9656,0.7611,0.9081,0.958,0.9388,0.9157,0.9329,0.967,0.9382,0.9549,0.956,0.9092,0.954,0.9119,0.97,0.9662,0.9538,0.8606,0.9088,0.8824,0.9351,0.8602,0.9333,0.9484,0.949,0.899,0.9638,0.8452
"Colorado",0.9308,0.9452,0.826,0.9354,1,0.9042,0.9734,0.8145,0.9672,0.9508,0.9517,0.9433,0.9282,0.9736,0.871,0.898,0.8505,0.922,0.9462,0.913,0.935,0.9442,0.8185,0.8937,0.9304,0.9798,0.9686,0.9525,0.9186,0.9026,0.9079,0.9353,0.962,0.9203,0.8995,0.9386,0.9363,0.9104,0.9205,0.8798,0.8865,0.9484,0.9216,0.893,0.9159,0.9258,0.8711,0.9447,0.9028
"Connecticut",0.9211,0.9169,0.759,0.9518,0.9042,1,0.926,0.8033,0.8943,0.8764,0.845,0.9504,0.9046,0.8771,0.8433,0.8589,0.8538,0.9806,0.9343,0.981,0.9539,0.9377,0.7135,0.8676,0.9393,0.9066,0.8847,0.9593,0.9733,0.8982,0.976,0.9715,0.9023,0.9428,0.8734,0.9315,0.9687,0.9815,0.8272,0.9266,0.8406,0.9017,0.8176,0.9795,0.8897,0.9126,0.8443,0.9292,0.801
"Delaware",0.961,0.96,0.8376,0.9503,0.9734,0.926,1,0.8569,0.9652,0.9595,0.9446,0.9662,0.9577,0.9682,0.8855,0.9259,0.9052,0.9382,0.9734,0.9301,0.9562,0.9627,0.8218,0.9076,0.9592,0.9756,0.9641,0.9523,0.9282,0.9305,0.9226,0.9531,0.9599,0.9543,0.9299,0.9462,0.9527,0.9306,0.9338,0.896,0.8986,0.9655,0.902,0.9066,0.9338,0.9236,0.8881,0.9627,0.8922
"District of Columbia",0.9081,0.8953,0.8875,0.853,0.8145,0.8033,0.8569,1,0.8479,0.9001,0.8629,0.8852,0.9189,0.8482,0.8771,0.9507,0.898,0.8348,0.901,0.8022,0.8609,0.8809,0.8443,0.8687,0.8937,0.8459,0.8461,0.803,0.8089,0.9255,0.8113,0.8464,0.819,0.8932,0.9279,0.8524,0.8374,0.8,0.9004,0.8459,0.8898,0.9067,0.8171,0.7756,0.9041,0.8595,0.9215,0.897,0.8287
"Florida",0.9295,0.9608,0.8451,0.921,0.9672,0.8943,0.9652,0.8479,1,0.9758,0.9677,0.9395,0.943,0.9545,0.8789,0.9202,0.8962,0.9176,0.952,0.9033,0.9221,0.9324,0.8338,0.9026,0.9278,0.9521,0.9851,0.9391,0.9021,0.9312,0.8925,0.9232,0.9392,0.9173,0.9313,0.9429,0.9214,0.8982,0.9479,0.8662,0.8941,0.9718,0.9167,0.8812,0.921,0.9156,0.8703,0.9502,0.8982
"Georgia",0.9496,0.9616,0.8846,0.9128,0.9508,0.8764,0.9595,0.9001,0.9758,1,0.9737,0.9381,0.9615,0.962,0.9025,0.95,0.9162,0.9025,0.9574,0.8813,0.9252,0.935,0.8797,0.9188,0.939,0.9548,0.9745,0.9205,0.8829,0.9428,0.8786,0.9162,0.9405,0.9283,0.9519,0.9267,0.913,0.882,0.9723,0.8802,0.9198,0.9767,0.9277,0.8585,0.9388,0.9123,0.9068,0.9531,0.9195
