"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","approach","x"
0.05,204402,35658,1,0.0839643277805822,1,1,"Typed (4 frames)",1
0.1,154701,30754,0.862471254697403,0.0944267412369123,0.969939879759519,0.967828816259562,"Typed (4 frames)",0.969939879759519
0.15,84722,22208,0.622805541533457,0.117255043227666,0.869739478957916,0.882490097587066,"Typed (4 frames)",0.869739478957916
0.2,24198,14430,0.404677772168938,0.142688842688843,0.687708750835003,0.712254247901983,"Typed (4 frames)",0.687708750835003
0.25,7722,7964,0.223343990128442,0.174158714213963,0.463259853039412,0.495023573548138,"Typed (4 frames)",0.463259853039412
0.3,3180,4381,0.122861629928768,0.20269344898425,0.296593186372746,0.31130597647023,"Typed (4 frames)",0.296593186372746
0.35,1300,2101,0.0589208592742162,0.234650166587339,0.164662658650635,0.177765680644566,"Typed (4 frames)",0.164662658650635
0.4,617,1264,0.0354478658365584,0.251582278481013,0.106212424849699,0.114944125837256,"Typed (4 frames)",0.106212424849699
0.45,248,526,0.0147512479667957,0.277566539923954,0.0487641950567802,0.0540259661157607,"Typed (4 frames)",0.0487641950567802
0.5,105,300,0.00841325929665152,0.3,0.030060120240481,0.0346322735863961,"Typed (4 frames)",0.030060120240481
0.55,36,136,0.00381401088114869,0.242647058823529,0.0110220440881764,0.0131943347348666,"Typed (4 frames)",0.0110220440881764
0.6,27,108,0.00302877334679455,0.212962962962963,0.00768203072812291,0.0107294380987367,"Typed (4 frames)",0.00768203072812291
0.65,12,58,0.00162656346401929,0.172413793103448,0.00334001336005344,0.0056321460589253,"Typed (4 frames)",0.00334001336005344
0.7,7,25,0.000701104941387627,0.32,0.00267201068804275,0.00420840653473601,"Typed (4 frames)",0.00267201068804275
0.75,2,12,0.000336530371866061,0.416666666666667,0.00167000668002672,0.00257529355110711,"Typed (4 frames)",0.00167000668002672
0.05,72072,35658,1,0.0839643277805822,1,1,"Any-error (1 model)",1
0.1,55319,30619,0.85868528801391,0.0948430712956008,0.969939879759519,0.96766131749201,"Any-error (1 model)",0.969939879759519
0.15,32086,21410,0.600426271804364,0.119383465670248,0.853707414829659,0.872049975541373,"Any-error (1 model)",0.853707414829659
0.2,11384,13982,0.392113971619272,0.143255614361322,0.669004676018704,0.69710702980907,"Any-error (1 model)",0.669004676018704
0.25,4166,8356,0.2343373156094,0.171852561033988,0.479625918503674,0.507056837280658,"Any-error (1 model)",0.479625918503674
0.3,1827,4584,0.128554602052835,0.19022687609075,0.29124916499666,0.304071171749049,"Any-error (1 model)",0.29124916499666
0.35,868,2636,0.0739245050199114,0.203338391502276,0.179024716098864,0.18937829406312,"Any-error (1 model)",0.179024716098864
0.4,449,1515,0.0424869594480902,0.221782178217822,0.112224448897796,0.115568439425403,"Any-error (1 model)",0.112224448897796
0.45,192,578,0.0162095462448819,0.243944636678201,0.0470941883767535,0.0526022265915714,"Any-error (1 model)",0.0470941883767535
0.5,98,318,0.00891805485445061,0.261006289308176,0.0277221108884436,0.0322473195438704,"Any-error (1 model)",0.0277221108884436
0.55,43,156,0.00437489483425879,0.224358974358974,0.011690046760187,0.0131943347348666,"Any-error (1 model)",0.011690046760187
0.6,21,92,0.00258006618430647,0.260869565217391,0.00801603206412826,0.00955504333078913,"Any-error (1 model)",0.00801603206412826
0.65,9,49,0.00137416568511975,0.204081632653061,0.00334001336005344,0.00542467599457152,"Any-error (1 model)",0.00334001336005344
0.7,3,11,0.000308486174210556,0.363636363636364,0.00133600534402138,0.00206137687793718,"Any-error (1 model)",0.00133600534402138
0.75,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,"Any-error (1 model)",0.00100200400801603
0.8,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,"Any-error (1 model)",0.00100200400801603
0.85,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,"Any-error (1 model)",0.00100200400801603
0.05,245934,35658,1,0.0839643277805822,1,1,"Combined",1
0.1,188139,30956,0.868136182623815,0.0938751776715338,0.97060788243153,0.968053416879688,"Combined",0.97060788243153
0.15,106203,23281,0.652896965617814,0.113697865211975,0.884101536406146,0.89245246746622,"Combined",0.884101536406146
0.2,33256,16088,0.451175051881766,0.135629040278468,0.728790915163661,0.753135367555108,"Combined",0.728790915163661
0.25,11157,9829,0.275646418755959,0.162783599552345,0.53440213760855,0.558282909225185,"Combined",0.53440213760855
0.3,4679,5848,0.164002467889394,0.184165526675787,0.359719438877756,0.37668759766796,"Combined",0.359719438877756
0.35,2016,3243,0.090947332996803,0.198889916743756,0.215430861723447,0.225790242054753,"Combined",0.215430861723447
0.4,990,1974,0.055359246171967,0.2193515704154,0.144622578490314,0.149012994478251,"Combined",0.144622578490314
0.45,402,810,0.0227158001009591,0.254320987654321,0.0688042752171009,0.0752031398405336,"Combined",0.0688042752171009
0.5,190,446,0.0125077121543553,0.289237668161435,0.0430861723446894,0.0511537429312665,"Combined",0.0430861723446894
0.55,75,211,0.00591732570531157,0.232227488151659,0.0163660654642619,0.0180137310921491,"Combined",0.0163660654642619
0.6,46,143,0.00401032026473723,0.244755244755245,0.011690046760187,0.0143458887617844,"Combined",0.011690046760187
0.65,20,70,0.00196309383588536,0.185714285714286,0.00434201736806947,0.00702162447156994,"Combined",0.00434201736806947
0.7,9,27,0.000757193336698637,0.296296296296296,0.00267201068804275,0.00420840653473601,"Combined",0.00267201068804275
0.75,4,14,0.000392618767177071,0.357142857142857,0.00167000668002672,0.00257529355110711,"Combined",0.00167000668002672
0.8,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,"Combined",0.00100200400801603
0.85,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,"Combined",0.00100200400801603
