"hh_size","rule_a","rule_b","error_jaccard","flag_jaccard","n_err_a","n_err_b"
"1","rule1301","rule7333",0.826,0.505,21,21
"1","rule11193","rule4261",0.571,0.379,49,39
"1","rule11193","rule7740",0.569,0.326,49,64
"1","rule11193","rule127",0.554,0.349,49,66
"1","rule11193","rule11363",0.521,0.298,49,94
"1","rule4261","rule2575",0.51,0.245,39,35
"1","rule4261","rule5134",0.642,0.261,39,48
"1","rule4261","rule7932",0.679,0.329,39,50
"1","rule4261","rule7740",0.609,0.307,39,64
"1","rule4261","rule127",0.591,0.356,39,66
"1","rule580","rule5000",0.509,0.535,118,146
"1","rule3612","rule5520",0.539,0.453,53,64
"1","rule121","rule5288",0.722,0.558,127,145
"1","rule121","rule6842",0.562,0.421,127,215
"1","rule121","rule1259",0.578,0.426,127,206
"1","rule121","rule19623",0.658,0.437,127,130
"1","rule7539","rule10125",0.701,0.591,103,142
"1","rule2575","rule5134",0.694,0.252,35,48
"1","rule2575","rule7932",0.635,0.58,35,50
"1","rule5000","rule9488",0.637,0.65,146,93
"1","rule2982","rule2762",0.519,0.336,71,93
"1","rule5288","rule6842",0.674,0.666,145,215
"1","rule5288","rule19623",0.667,0.576,145,130
"1","rule11199","rule7740",0.641,0.508,41,64
"1","rule11199","rule127",0.551,0.425,41,66
"1","rule6842","rule1259",0.613,0.496,215,206
"1","rule6842","rule10025",0.536,0.455,215,192
"1","rule6842","rule19623",0.575,0.522,215,130
"1","rule1259","rule12227",0.63,0.544,206,177
"1","rule5134","rule7932",0.885,0.344,48,50
"1","rule5134","rule11363",0.511,0.192,48,94
"1","rule7932","rule1821",0.531,0.421,50,74
"1","rule7932","rule11363",0.532,0.44,50,94
"1","rule10025","rule7241",0.503,0.378,192,259
"1","rule10025","rule5867",0.51,0.343,192,267
"1","rule3966","rule3852",0.656,0.652,160,163
"1","rule3966","rule2687",0.669,0.664,160,137
"1","rule3966","rule7241",0.593,0.515,160,259
"1","rule3966","rule5867",0.564,0.429,160,267
"1","rule3966","rule10125",0.624,0.483,160,142
"1","rule737","rule524",0.573,0.377,276,199
"1","rule737","rule2571",0.723,0.642,276,382
"1","rule737","rule735",0.723,0.645,276,382
"1","rule737","rule5737",0.706,0.627,276,374
"1","rule737","rule956",0.56,0.464,276,234
"1","rule737","rule4313",0.589,0.559,276,288
"1","rule10820","rule4073",0.948,0.89,110,114
"1","rule10820","rule11930",0.583,0.529,110,99
"1","rule10820","rule20902",0.505,0.147,110,167
"1","rule1821","rule7740",0.533,0.274,74,64
"1","rule1821","rule127",0.522,0.242,74,66
"1","rule1821","rule11363",0.585,0.535,74,94
"1","rule4073","rule11930",0.602,0.519,114,99
"1","rule7740","rule127",0.857,0.76,64,66
"1","rule524","rule956",0.685,0.571,199,234
"1","rule9752","rule11363",0.625,0.678,114,94
"1","rule3852","rule2687",0.508,0.508,163,137
"1","rule3852","rule7241",0.592,0.517,163,259
"1","rule3852","rule5867",0.564,0.424,163,267
"1","rule6400","rule4302",0.716,0.533,60,55
"1","rule6400","rule7015",0.699,0.571,60,81
"1","rule2571","rule735",1,0.996,382,382
"1","rule2571","rule5737",0.979,0.976,382,374
"1","rule2571","rule956",0.563,0.501,382,234
"1","rule2571","rule4313",0.754,0.87,382,288
"1","rule2571","rule4765",0.585,0.514,382,233
"1","rule735","rule5737",0.979,0.972,382,374
"1","rule735","rule956",0.563,0.501,382,234
"1","rule735","rule4313",0.754,0.867,382,288
"1","rule735","rule4765",0.585,0.512,382,233
"1","rule5737","rule956",0.551,0.495,374,234
"1","rule5737","rule4313",0.742,0.852,374,288
"1","rule5737","rule4765",0.577,0.502,374,233
"1","rule660","rule19623",0.513,0.483,97,130
"1","rule660","rule4426",0.602,0.462,97,68
"1","rule7602","rule4313",0.522,0.499,190,288
"1","rule7602","rule4765",0.555,0.492,190,233
"1","rule2687","rule7241",0.517,0.529,137,259
"1","rule2687","rule10125",0.525,0.412,137,142
"1","rule7786","rule1797",0.63,0.564,93,83
"1","rule7241","rule5867",0.885,0.718,259,267
"1","rule7241","rule5941",0.526,0.41,259,246
"1","rule7241","rule10125",0.508,0.401,259,142
"1","rule956","rule2936",0.519,0.607,234,196
"1","rule956","rule4313",0.522,0.492,234,288
"1","rule956","rule9975",0.636,0.544,234,162
"1","rule956","rule4765",0.531,0.54,234,233
"1","rule4302","rule7015",0.659,0.504,55,81
"1","rule5867","rule5941",0.527,0.398,267,246
"1","rule2936","rule4765",0.543,0.551,196,233
"1","rule2936","rule13608",0.672,0.469,196,187
"1","rule4313","rule4765",0.772,0.577,288,233
"1","rule4765","rule13608",0.567,0.43,233,187
"1","rule4698","rule7955",0.592,0.458,29,49
"1","rule4698","rule405",0.514,0.37,29,27
"1","rule7955","rule2723",0.514,0.423,49,57
"1","rule7955","rule9259",0.567,0.387,49,45
"1","rule2917","rule5706",0.846,0.799,13,11
"1","rule4087","rule1750",0.5,0.453,3,3
"1","rule16173","rule15469",0.629,0.802,180,276
"1","rule16173","rule14999",0.871,0.93,180,196
"1","rule15469","rule14999",0.674,0.795,276,196
"1","rule7253","rule11548",0.54,0.337,131,100
"1","rule7253","rule7130",0.533,0.348,131,99
"1","rule10220","rule6889",0.733,0.556,45,59
"1","rule11548","rule7130",0.777,0.654,100,99
"1","rule11548","rule12392",0.594,0.622,100,69
"1","rule11548","rule6495",0.609,0.602,100,77
