fiscal_year,calendar_year,month_name,month_num,state,stratum,sampling_interval,stratum_sampling_size,snap_units_in_state,units_with_complete_reviews,ineligible_units,disqualification_rate,adjusted_snap_units_in_state,failing_units,stratum_sampling_size_edited,stratum_specific_weight,pct_ineligible,ym
2017,2017,February,2,Colorado,0,1,95,222385,72,0,0,222385,0,72,3089,0,2017-02
2017,2017,February,2,Connecticut,0,1,94,236498,82,0,0,236498,0,82,2884,0,2017-02
2017,2017,February,2,Delaware,0,1,99,72525,83,2,0.0241,70777,0,81,874,2.41,2017-02
2017,2017,February,2,District of Columbia,0,1,74,70500,61,1,0.0164,69344,0,60,1156,1.6400000000000001,2017-02
2017,2017,February,2,Florida,0,1,92,1687290,74,0,0,1687290,0,74,22801,0,2017-02
2017,2017,February,2,Georgia,0,1,90,756417,76,0,0,756417,0,76,9953,0,2017-02
2017,2017,February,2,Hawaii,0,1,105,85995,70,0,0,85995,0,70,1229,0,2017-02
2017,2017,February,2,Idaho,0,1,101,76082,86,0,0,76082,0,86,885,0,2017-02
2017,2017,February,2,Illinois,0,1,102,967018,88,1,0.0114,956029,0,87,10989,1.1400000000000001,2017-02
2017,2017,February,2,Indiana,0,1,104,300195,86,4,0.0465,286232,0,82,3491,4.65,2017-02
2017,2017,February,2,Iowa,0,1,86,173701,78,0,0,173701,0,78,2227,0,2017-02
2017,2017,February,2,Kansas,0,1,90,109179,83,2,0.0241,106548,0,81,1315,2.41,2017-02
2017,2017,February,2,Kentucky,0,1,78,308453,76,2,0.0263,300336,0,74,4059,2.63,2017-02
2017,2017,February,2,Louisiana,0,1,102,428924,73,1,0.0137,423048,0,72,5876,1.37,2017-02
2017,2017,February,2,Maine,0,1,84,94662,77,4,0.0519,89744,0,73,1229,5.19,2017-02
2017,2017,February,2,Maryland,0,1,86,360325,70,0,0,360325,0,70,5148,0,2017-02
2017,2017,February,2,Massachusetts,0,1,91,443297,76,0,0,443297,0,76,5833,0,2017-02
2017,2017,February,2,Michigan,0,1,92,751152,78,2,0.0256,731892,0,76,9630,2.56,2017-02
2017,2017,February,2,Minnesota,0,1,93,222640,89,2,0.0225,217637,0,87,2502,2.25,2017-02
2017,2017,February,2,Mississippi,0,1,93,245394,81,1,0.0123,242364,0,80,3030,1.23,2017-02
2017,2017,February,2,Missouri,0,1,86,351198,78,4,0.0513,333188,0,74,4503,5.13,2017-02
2017,2017,February,2,Montana,0,1,82,58191,69,0,0,58191,0,69,843,0,2017-02
2017,2017,February,2,Nebraska,0,1,91,79458,79,2,0.0253,77446,0,77,1006,2.53,2017-02
