"state","n_rules_qualified","flagged_tuned","errors_tuned","precision_tuned","recall_tuned","dollar_recall_tuned","workload_tuned","flagged_natl_kept","errors_natl_kept","precision_natl_kept","recall_natl_kept","dollar_recall_natl_kept","workload_natl_kept","flagged_natl_all","errors_natl_all","precision_natl_all","recall_natl_all","dollar_recall_natl_all","workload_natl_all"
"Washington",6,15,4,0.267,0.051,0.063,0.019,2,0,0,0,0,0.003,19,7,0.368,0.09,0.097,0.024
"Connecticut",40,80,21,0.262,0.189,0.162,0.088,9,3,0.333,0.027,0.033,0.01,24,10,0.417,0.09,0.076,0.026
"North Carolina",26,39,6,0.154,0.054,0.056,0.037,7,2,0.286,0.018,0.025,0.007,15,2,0.133,0.018,0.025,0.014
"Louisiana",47,62,6,0.097,0.086,0.104,0.074,15,3,0.2,0.043,0.056,0.018,30,3,0.1,0.043,0.056,0.036
"Michigan",17,36,9,0.25,0.065,0.065,0.04,4,2,0.5,0.014,0.011,0.004,15,8,0.533,0.058,0.05,0.017
"Virginia",8,41,12,0.293,0.114,0.114,0.055,11,5,0.455,0.048,0.054,0.015,27,8,0.296,0.076,0.097,0.036
"Arizona",31,115,31,0.27,0.261,0.323,0.137,10,4,0.4,0.034,0.018,0.012,30,12,0.4,0.101,0.082,0.036
