"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Virginia","earned_income","2-3","percent_abawd >   0.167 & rawben_rel_max <=   0.320 & shelter_expenses_by_hh_size > 629.000 & utilities <= 516.000","percent_abawd >   0.167 & rawben_rel_max <=   0.320 & shelter_expenses_by_hh_size > 629.000 & utilities <= 516.000",TRUE,FALSE,1,0,0,0,1,0,1,0
"Virginia","earned_income","1","elderly_disabled_i <= 0.50 & unc_rawben_rel_max > 1.99 & unc_rawben_rel_max <= 2.24","elderly_disabled_i <= 0.375 & unc_rawben_rel_max > 1.791 & unc_rawben_rel_max <= 2.016",FALSE,FALSE,16,1,0.062,512,11,0.364,0,NA
"Virginia","earned_income","4+","months_since_cert_n <=   8.500 & percent_abawd >   0.155 & shelter_expenses_by_hh_size > 480.000 & unc_rawben_rel_max >   0.430","months_since_cert_n <=   8.500 & percent_abawd >   0.155 & shelter_expenses_by_hh_size > 480.000 & unc_rawben_rel_max >   0.430",TRUE,FALSE,4,2,0.5,879,4,0.5,4,0.5
"Virginia","earned_income","2-3","months_since_cert_n >   4.500 & percent_abawd >   0.167 & shelter_expenses_by_hh_size > 629.000 & utilities <= 494.000","months_since_cert_n >   4.0500 & percent_abawd >   0.1503 & shelter_expenses_by_hh_size > 566.1000 & utilities <= 543.4000",FALSE,TRUE,12,6,0.5,2127,9,0.222,4,0.25
"Virginia","earned_income","1","elderly_disabled_i <= 0.50 & unc_rawben_rel_max > 1.98 & unc_rawben_rel_max <= 2.24","elderly_disabled_i <= 0.375 & unc_rawben_rel_max > 1.782 & unc_rawben_rel_max <= 2.016",FALSE,FALSE,16,1,0.062,512,11,0.364,0,NA
"Virginia","earned_income","4+","rawben_rel_max >=   0.352 & shelter_expenses_by_hh_size >= 482.000 & total_deductions_by_hh_size >= 230.000 & total_deductions_by_hh_size < 262.000","rawben_rel_max >=   0.352 & shelter_expenses_by_hh_size >= 482.000 & total_deductions_by_hh_size >= 230.000 & total_deductions_by_hh_size < 262.000",TRUE,FALSE,2,2,1,879,1,1,1,1
"Virginia","earned_income","4+","percent_abawd >   0.146 & shelter_expenses_by_hh_size > 514.000 & unc_rawben_rel_max >   0.456","percent_abawd >   0.1825 & shelter_expenses_by_hh_size > 385.5000 & unc_rawben_rel_max >   0.4104",FALSE,TRUE,7,3,0.429,941,10,0.4,2,0.5
"Virginia","earned_income","4+","shelter_expenses_by_hh_size >= 482 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 250","shelter_expenses_by_hh_size >= 361.5 & total_deductions_by_hh_size >= 174.0 & total_deductions_by_hh_size < 250.0",FALSE,TRUE,10,4,0.4,1794,9,0.222,0,NA
"Virginia","earned_income","2-3","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 280.0 & total_deductions_by_hh_size > 441.0 & unc_rawben_rel_max >   1.6","elderly_disabled_i <=   0.45 & shelter_expenses_by_hh_size > 252.00 & total_deductions_by_hh_size > 396.90 & unc_rawben_rel_max >   1.44",FALSE,FALSE,1,0,0,0,1,0,0,NA
"Virginia","earned_income","1","medical_deductions <= 836.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 340.00","medical_deductions <= 836.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 340.00",TRUE,FALSE,5,0,0,0,1,1,1,1
"Virginia","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 340.00","months_since_cert_n >   4.125 & unc_rawben_rel_max >   2.002 & utilities <= 425.000",FALSE,FALSE,3,1,0.333,268,0,NA,1,1
"Virginia","earned_income","2-3","months_since_cert_n >=  10.000 & rawben_rel_max <   0.588 & total_deductions_by_hh_size >= 511.000 & utilities < 610.000","months_since_cert_n >=   9.0000 & rawben_rel_max <   0.5292 & total_deductions_by_hh_size >= 459.9000 & utilities < 549.0000",FALSE,FALSE,1,0,0,0,0,NA,0,NA
