"state","basis","budget","decile","n_rules","median_own_precision","median_marginal_precision"
"Arizona","holdout",10,9,3,0.384615384615385,0.333333333333333
"Arizona","holdout",10,10,3,0.291666666666667,0.666666666666667
"Arizona","train",5,1,9,0.627906976744186,0.25
"Arizona","train",5,2,10,0.62202380952381,0.125
"Arizona","train",5,3,10,0.598484848484849,0
"Arizona","train",5,4,9,0.565217391304348,0.363636363636364
"Arizona","train",5,5,10,0.5,0.25
"Arizona","train",5,6,10,0.507575757575758,0
"Arizona","train",5,7,9,0.516666666666667,0.333333333333333
"Arizona","train",5,8,10,0.496478873239437,0
"Arizona","train",5,9,10,0.493055555555556,0.0833333333333333
"Arizona","train",5,10,10,0.508531746031746,0.125
"Arizona","train",10,1,20,0.626453488372093,0.25
"Arizona","train",10,2,21,0.565217391304348,0.333333333333333
"Arizona","train",10,3,21,0.5,0
"Arizona","train",10,4,21,0.5,0
"Arizona","train",10,5,21,0.492063492063492,0.166666666666667
"Arizona","train",10,6,20,0.473755656108597,0
"Arizona","train",10,7,21,0.479166666666667,0
"Arizona","train",10,8,21,0.454545454545455,0
"Arizona","train",10,9,21,0.434782608695652,0
"Arizona","train",10,10,21,0.421052631578947,0
"Arkansas","holdout",5,1,1,1,1
"Arkansas","holdout",5,2,2,0,0
"Arkansas","holdout",5,3,2,0.291666666666667,0.0714285714285714
"Arkansas","holdout",5,4,2,0.25,0
"Arkansas","holdout",5,5,2,0.266666666666667,0.222222222222222
"Arkansas","holdout",5,6,2,0.547619047619048,0.533333333333333
"Arkansas","holdout",5,7,2,0,0
"Arkansas","holdout",5,8,2,0.5,0.5
"Arkansas","holdout",5,9,2,0,0
"Arkansas","holdout",5,10,2,0.166666666666667,0
"Arkansas","holdout",10,1,3,0,0
"Arkansas","holdout",10,2,3,0.25,0
"Arkansas","holdout",10,3,4,0.380952380952381,0.222222222222222
"Arkansas","holdout",10,4,3,0,0
"Arkansas","holdout",10,5,4,0,0
"Arkansas","holdout",10,6,3,0,0
"Arkansas","holdout",10,7,3,0.333333333333333,0.333333333333333
"Arkansas","holdout",10,8,4,0.3,0
"Arkansas","holdout",10,9,3,0,0
"Arkansas","holdout",10,10,4,0,0
"Arkansas","train",5,1,15,0.5,0.25
"Arkansas","train",5,2,16,0.375,0
"Arkansas","train",5,3,16,0.136363636363636,0
"Arkansas","train",5,4,15,0.444444444444444,0
"Arkansas","train",5,5,16,0.333333333333333,0
"Arkansas","train",5,6,16,0.2,0
"Arkansas","train",5,7,15,0.157894736842105,0
"Arkansas","train",5,8,16,0.205263157894737,0
"Arkansas","train",5,9,16,0.158385093167702,0
"Arkansas","train",5,10,16,0.205263157894737,0
"Arkansas","train",10,1,29,0.5,0
"Arkansas","train",10,2,30,0.333333333333333,0
"Arkansas","train",10,3,30,0.25,0
"Arkansas","train",10,4,30,0.195238095238095,0
"Arkansas","train",10,5,30,0.176508760545101,0
"Arkansas","train",10,6,30,0.168235294117647,0
"Arkansas","train",10,7,30,0.167670682730924,0
"Arkansas","train",10,8,30,0.169540229885057,0
"Arkansas","train",10,9,30,0.165422885572139,0
"Arkansas","train",10,10,30,0.145856507230256,0
"California","holdout",5,1,1,0,0
"California","holdout",5,2,2,0.333333333333333,0.5
"California","holdout",5,3,2,0.666666666666667,0.666666666666667
