"state","budget","basis","cap","shipped_n","shipped_k","shipped_prec","core_only_n","core_only_prec","oracle_n","oracle_k","oracle_prec","oracle_delta","honest_n","honest_k","honest_prec","honest_delta"
"Alabama",5,"train",151,151,56,0.370860927152318,150,0.373333333333333,151,79,0.52317880794702,0.152317880794702,NA,NA,NA,NA
"Alabama",5,"holdout",51,51,21,0.411764705882353,50,0.4,51,33,0.647058823529412,0.235294117647059,51,20,0.392156862745098,-0.0196078431372549
"Alabama",10,"train",303,303,92,0.303630363036304,300,0.306666666666667,303,142,0.468646864686469,0.165016501650165,NA,NA,NA,NA
"Alabama",10,"holdout",103,103,33,0.320388349514563,107,0.327102803738318,103,56,0.543689320388349,0.223300970873786,103,33,0.320388349514563,0
"Arizona",5,"train",126,126,62,0.492063492063492,125,0.496,126,86,0.682539682539683,0.190476190476191,NA,NA,NA,NA
"Arizona",5,"holdout",43,43,12,0.27906976744186,44,0.272727272727273,43,23,0.534883720930233,0.255813953488372,43,5,0.116279069767442,-0.162790697674419
"Arizona",10,"train",252,252,103,0.408730158730159,246,0.41869918699187,252,148,0.587301587301587,0.178571428571429,NA,NA,NA,NA
"Arizona",10,"holdout",86,86,28,0.325581395348837,79,0.30379746835443,86,41,0.476744186046512,0.151162790697674,86,22,0.255813953488372,-0.0697674418604651
"Arkansas",5,"train",118,118,37,0.313559322033898,118,0.313559322033898,118,52,0.440677966101695,0.127118644067797,NA,NA,NA,NA
"Arkansas",5,"holdout",42,42,9,0.214285714285714,41,0.219512195121951,42,18,0.428571428571429,0.214285714285714,42,11,0.261904761904762,0.0476190476190476
"Arkansas",10,"train",236,236,51,0.216101694915254,235,0.217021276595745,236,86,0.364406779661017,0.148305084745763,NA,NA,NA,NA
"Arkansas",10,"holdout",85,85,17,0.2,55,0.236363636363636,85,29,0.341176470588235,0.141176470588235,85,18,0.211764705882353,0.0117647058823529
"California",5,"train",116,116,48,0.413793103448276,116,0.413793103448276,116,70,0.603448275862069,0.189655172413793,NA,NA,NA,NA
"California",5,"holdout",40,40,11,0.275,16,0.3125,40,18,0.45,0.175,40,12,0.3,0.025
"California",10,"train",233,233,73,0.313304721030043,229,0.318777292576419,233,123,0.527896995708155,0.214592274678112,NA,NA,NA,NA
"California",10,"holdout",81,81,21,0.259259259259259,76,0.25,81,40,0.493827160493827,0.234567901234568,81,21,0.259259259259259,0
"Colorado",5,"train",130,130,48,0.369230769230769,126,0.380952380952381,130,76,0.584615384615385,0.215384615384615,NA,NA,NA,NA
"Colorado",5,"holdout",40,40,21,0.525,34,0.529411764705882,40,30,0.75,0.225,40,22,0.55,0.025
"Colorado",10,"train",260,260,83,0.319230769230769,260,0.319230769230769,260,132,0.507692307692308,0.188461538461538,NA,NA,NA,NA
"Colorado",10,"holdout",80,80,29,0.3625,84,0.380952380952381,80,45,0.5625,0.2,80,33,0.4125,0.05
"Connecticut",5,"train",138,138,72,0.521739130434783,138,0.521739130434783,138,84,0.608695652173913,0.0869565217391305,NA,NA,NA,NA
"Connecticut",5,"holdout",44,44,17,0.386363636363636,57,0.350877192982456,44,27,0.613636363636364,0.227272727272727,44,17,0.386363636363636,0
"Connecticut",10,"train",276,276,115,0.416666666666667,276,0.416666666666667,276,154,0.557971014492754,0.141304347826087,NA,NA,NA,NA
"Connecticut",10,"holdout",89,89,33,0.370786516853933,99,0.363636363636364,89,51,0.573033707865168,0.202247191011236,89,35,0.393258426966292,0.0224719101123595
"Delaware",5,"train",61,61,33,0.540983606557377,29,0.586206896551724,61,40,0.655737704918033,0.114754098360656,NA,NA,NA,NA
"Delaware",5,"holdout",37,37,18,0.486486486486487,42,0.547619047619048,37,24,0.648648648648649,0.162162162162162,37,15,0.405405405405405,-0.0810810810810811
"Delaware",10,"train",122,122,60,0.491803278688525,122,0.491803278688525,122,73,0.598360655737705,0.10655737704918,NA,NA,NA,NA
"Delaware",10,"holdout",74,74,30,0.405405405405405,72,0.416666666666667,74,44,0.594594594594595,0.189189189189189,74,31,0.418918918918919,0.0135135135135135
"District of Columbia",5,"train",110,110,76,0.690909090909091,104,0.701923076923077,109,86,0.788990825688073,0.0980817347789825,NA,NA,NA,NA
"District of Columbia",5,"holdout",48,47,30,0.638297872340426,56,0.589285714285714,48,35,0.729166666666667,0.0908687943262411,47,28,0.595744680851064,-0.0425531914893618
"District of Columbia",10,"train",220,220,141,0.640909090909091,220,0.640909090909091,220,162,0.736363636363636,0.0954545454545455,NA,NA,NA,NA
"District of Columbia",10,"holdout",97,97,46,0.474226804123711,85,0.541176470588235,97,64,0.65979381443299,0.185567010309278,97,59,0.608247422680412,0.134020618556701
"Florida",5,"train",134,134,58,0.432835820895522,128,0.4375,134,85,0.634328358208955,0.201492537313433,NA,NA,NA,NA
"Florida",5,"holdout",45,45,18,0.4,48,0.354166666666667,45,33,0.733333333333333,0.333333333333333,45,22,0.488888888888889,0.0888888888888889
"Florida",10,"train",269,269,105,0.390334572490706,255,0.396078431372549,269,150,0.557620817843866,0.16728624535316,NA,NA,NA,NA
"Florida",10,"holdout",90,90,32,0.355555555555556,107,0.383177570093458,90,55,0.611111111111111,0.255555555555556,90,40,0.444444444444444,0.0888888888888889
"Georgia",5,"train",145,145,96,0.662068965517241,144,0.659722222222222,145,102,0.703448275862069,0.0413793103448276,NA,NA,NA,NA
"Georgia",5,"holdout",45,45,14,0.311111111111111,45,0.311111111111111,45,20,0.444444444444444,0.133333333333333,45,14,0.311111111111111,0
"Georgia",10,"train",291,291,165,0.56701030927835,286,0.573426573426573,291,191,0.656357388316151,0.0893470790378007,NA,NA,NA,NA
"Georgia",10,"holdout",91,91,27,0.296703296703297,85,0.305882352941176,91,43,0.472527472527473,0.175824175824176,91,27,0.296703296703297,0
"Idaho",5,"train",128,128,31,0.2421875,127,0.244094488188976,128,53,0.4140625,0.171875,NA,NA,NA,NA
"Idaho",5,"holdout",46,46,13,0.282608695652174,50,0.28,46,18,0.391304347826087,0.108695652173913,46,12,0.260869565217391,-0.0217391304347826
