"state","budget","basis","cap","shipped_n","shipped_k","shipped_prec","core_only_n","core_only_prec","oracle_n","oracle_k","oracle_prec","oracle_delta","honest_n","honest_k","honest_prec","honest_delta"
"Idaho",10,"train",257,257,48,0.186770428015564,257,0.186770428015564,257,73,0.284046692607004,0.0972762645914397,NA,NA,NA,NA
"Idaho",10,"holdout",93,93,16,0.172043010752688,166,0.114457831325301,93,26,0.279569892473118,0.10752688172043,93,6,0.0645161290322581,-0.10752688172043
"Illinois",5,"train",122,122,63,0.516393442622951,119,0.529411764705882,122,84,0.688524590163934,0.172131147540984,NA,NA,NA,NA
"Illinois",5,"holdout",40,40,16,0.4,25,0.52,40,21,0.525,0.125,40,17,0.425,0.025
"Illinois",10,"train",244,244,97,0.397540983606557,236,0.402542372881356,244,144,0.590163934426229,0.192622950819672,NA,NA,NA,NA
"Illinois",10,"holdout",81,81,23,0.283950617283951,83,0.27710843373494,81,37,0.45679012345679,0.172839506172839,81,25,0.308641975308642,0.0246913580246914
"Indiana",5,"train",127,127,67,0.52755905511811,126,0.531746031746032,127,79,0.622047244094488,0.094488188976378,NA,NA,NA,NA
"Indiana",5,"holdout",43,43,15,0.348837209302326,34,0.352941176470588,43,21,0.488372093023256,0.13953488372093,43,17,0.395348837209302,0.0465116279069767
"Indiana",10,"train",255,255,111,0.435294117647059,245,0.448979591836735,255,144,0.564705882352941,0.129411764705882,NA,NA,NA,NA
"Indiana",10,"holdout",87,87,25,0.28735632183908,81,0.296296296296296,87,42,0.482758620689655,0.195402298850575,87,29,0.333333333333333,0.0459770114942529
"Iowa",5,"train",141,141,47,0.333333333333333,131,0.343511450381679,141,75,0.531914893617021,0.198581560283688,NA,NA,NA,NA
"Iowa",5,"holdout",46,46,11,0.239130434782609,25,0.36,46,21,0.456521739130435,0.217391304347826,46,12,0.260869565217391,0.0217391304347826
"Iowa",10,"train",283,283,78,0.275618374558304,283,0.275618374558304,283,122,0.431095406360424,0.15547703180212,NA,NA,NA,NA
"Iowa",10,"holdout",93,93,21,0.225806451612903,75,0.226666666666667,93,36,0.387096774193548,0.161290322580645,93,22,0.236559139784946,0.010752688172043
"Kansas",5,"train",130,130,30,0.230769230769231,130,0.230769230769231,130,59,0.453846153846154,0.223076923076923,NA,NA,NA,NA
"Kansas",5,"holdout",43,43,12,0.27906976744186,39,0.256410256410256,43,22,0.511627906976744,0.232558139534884,43,9,0.209302325581395,-0.0697674418604651
"Kansas",10,"train",260,260,54,0.207692307692308,260,0.207692307692308,260,97,0.373076923076923,0.165384615384615,NA,NA,NA,NA
"Kansas",10,"holdout",87,87,22,0.252873563218391,82,0.25609756097561,87,38,0.436781609195402,0.183908045977011,87,15,0.172413793103448,-0.0804597701149425
"Kentucky",5,"train",140,140,40,0.285714285714286,129,0.294573643410853,140,66,0.471428571428571,0.185714285714286,NA,NA,NA,NA
"Kentucky",5,"holdout",43,43,12,0.27906976744186,37,0.27027027027027,43,22,0.511627906976744,0.232558139534884,43,11,0.255813953488372,-0.0232558139534884
"Kentucky",10,"train",281,281,68,0.241992882562278,275,0.247272727272727,281,102,0.362989323843416,0.120996441281139,NA,NA,NA,NA
"Kentucky",10,"holdout",87,87,21,0.241379310344828,64,0.265625,87,34,0.390804597701149,0.149425287356322,87,20,0.229885057471264,-0.0114942528735632
"Louisiana",5,"train",126,126,30,0.238095238095238,123,0.24390243902439,126,62,0.492063492063492,0.253968253968254,NA,NA,NA,NA
"Louisiana",5,"holdout",43,43,9,0.209302325581395,37,0.216216216216216,43,21,0.488372093023256,0.27906976744186,43,10,0.232558139534884,0.0232558139534884
"Louisiana",10,"train",253,253,60,0.237154150197628,251,0.239043824701195,253,107,0.422924901185771,0.185770750988142,NA,NA,NA,NA
"Louisiana",10,"holdout",87,87,18,0.206896551724138,79,0.215189873417722,87,36,0.413793103448276,0.206896551724138,87,18,0.206896551724138,0
"Maine",5,"train",136,136,68,0.5,131,0.49618320610687,136,78,0.573529411764706,0.0735294117647058,NA,NA,NA,NA
"Maine",5,"holdout",46,46,15,0.326086956521739,42,0.333333333333333,46,19,0.41304347826087,0.0869565217391304,46,13,0.282608695652174,-0.0434782608695652
"Maine",10,"train",272,272,95,0.349264705882353,271,0.350553505535055,272,142,0.522058823529412,0.172794117647059,NA,NA,NA,NA
"Maine",10,"holdout",92,92,23,0.25,80,0.2625,92,42,0.456521739130435,0.206521739130435,92,20,0.217391304347826,-0.0326086956521739
"Maryland",5,"train",88,88,47,0.534090909090909,76,0.578947368421053,88,58,0.659090909090909,0.125,NA,NA,NA,NA
"Maryland",5,"holdout",35,34,12,0.352941176470588,31,0.387096774193548,35,15,0.428571428571429,0.0756302521008403,34,12,0.352941176470588,0
"Maryland",10,"train",177,177,82,0.463276836158192,166,0.481927710843373,177,107,0.604519774011299,0.141242937853107,NA,NA,NA,NA
"Maryland",10,"holdout",70,70,25,0.357142857142857,64,0.359375,70,31,0.442857142857143,0.0857142857142857,70,23,0.328571428571429,-0.0285714285714286
"Massachusetts",5,"train",133,133,63,0.473684210526316,132,0.477272727272727,133,85,0.639097744360902,0.165413533834587,NA,NA,NA,NA
"Massachusetts",5,"holdout",43,43,21,0.488372093023256,33,0.545454545454545,43,31,0.720930232558139,0.232558139534884,43,21,0.488372093023256,0
"Massachusetts",10,"train",266,266,92,0.345864661654135,263,0.342205323193916,266,145,0.545112781954887,0.199248120300752,NA,NA,NA,NA
"Massachusetts",10,"holdout",87,87,29,0.333333333333333,98,0.346938775510204,87,50,0.574712643678161,0.241379310344828,87,34,0.390804597701149,0.0574712643678161
"Michigan",5,"train",129,129,47,0.364341085271318,126,0.365079365079365,129,77,0.596899224806202,0.232558139534884,NA,NA,NA,NA
"Michigan",5,"holdout",43,43,12,0.27906976744186,48,0.208333333333333,43,22,0.511627906976744,0.232558139534884,43,18,0.418604651162791,0.13953488372093
"Michigan",10,"train",258,258,97,0.375968992248062,248,0.387096774193548,258,147,0.569767441860465,0.193798449612403,NA,NA,NA,NA
"Michigan",10,"holdout",86,86,24,0.27906976744186,86,0.27906976744186,86,39,0.453488372093023,0.174418604651163,86,29,0.337209302325581,0.0581395348837209
"Minnesota",5,"train",138,138,49,0.355072463768116,137,0.357664233576642,138,83,0.601449275362319,0.246376811594203,NA,NA,NA,NA
"Minnesota",5,"holdout",44,44,17,0.386363636363636,36,0.361111111111111,44,21,0.477272727272727,0.0909090909090909,44,16,0.363636363636364,-0.0227272727272727
"Minnesota",10,"train",276,276,94,0.340579710144928,274,0.339416058394161,276,146,0.528985507246377,0.188405797101449,NA,NA,NA,NA
"Minnesota",10,"holdout",89,89,25,0.280898876404494,46,0.369565217391304,89,38,0.426966292134831,0.146067415730337,89,27,0.303370786516854,0.0224719101123595
"Mississippi",5,"train",159,159,72,0.452830188679245,135,0.474074074074074,159,90,0.566037735849057,0.113207547169811,NA,NA,NA,NA
"Mississippi",5,"holdout",53,53,22,0.415094339622642,44,0.5,53,29,0.547169811320755,0.132075471698113,53,23,0.433962264150943,0.0188679245283019
"Mississippi",10,"train",319,319,115,0.360501567398119,314,0.363057324840764,319,156,0.489028213166144,0.128526645768025,NA,NA,NA,NA
"Mississippi",10,"holdout",107,107,40,0.373831775700935,105,0.371428571428571,107,56,0.523364485981308,0.149532710280374,107,38,0.355140186915888,-0.0186915887850467
"Missouri",5,"train",107,107,48,0.448598130841121,107,0.448598130841121,107,66,0.616822429906542,0.168224299065421,NA,NA,NA,NA
"Missouri",5,"holdout",37,37,13,0.351351351351351,20,0.35,37,18,0.486486486486487,0.135135135135135,37,10,0.27027027027027,-0.0810810810810811
"Missouri",10,"train",214,214,66,0.308411214953271,214,0.308411214953271,214,100,0.467289719626168,0.158878504672897,NA,NA,NA,NA
"Missouri",10,"holdout",75,75,19,0.253333333333333,51,0.274509803921569,75,30,0.4,0.146666666666667,75,17,0.226666666666667,-0.0266666666666667
"Montana",5,"train",85,85,27,0.317647058823529,85,0.317647058823529,85,48,0.564705882352941,0.247058823529412,NA,NA,NA,NA
"Montana",5,"holdout",28,28,8,0.285714285714286,17,0.235294117647059,28,11,0.392857142857143,0.107142857142857,28,6,0.214285714285714,-0.0714285714285714
"Montana",10,"train",170,170,48,0.282352941176471,170,0.282352941176471,170,80,0.470588235294118,0.188235294117647,NA,NA,NA,NA
"Montana",10,"holdout",57,57,10,0.175438596491228,41,0.170731707317073,57,24,0.421052631578947,0.245614035087719,57,12,0.210526315789474,0.0350877192982456
"Nebraska",5,"train",130,130,24,0.184615384615385,130,0.184615384615385,130,55,0.423076923076923,0.238461538461538,NA,NA,NA,NA
"Nebraska",5,"holdout",44,44,5,0.113636363636364,40,0.1,44,18,0.409090909090909,0.295454545454545,44,10,0.227272727272727,0.113636363636364
"Nebraska",10,"train",260,260,47,0.180769230769231,260,0.180769230769231,260,88,0.338461538461538,0.157692307692308,NA,NA,NA,NA
"Nebraska",10,"holdout",88,88,10,0.113636363636364,93,0.129032258064516,88,26,0.295454545454545,0.181818181818182,88,12,0.136363636363636,0.0227272727272727
"Nevada",5,"train",141,141,36,0.25531914893617,137,0.262773722627737,141,65,0.460992907801418,0.205673758865248,NA,NA,NA,NA
"Nevada",5,"holdout",45,45,12,0.266666666666667,36,0.25,45,18,0.4,0.133333333333333,45,10,0.222222222222222,-0.0444444444444445
"Nevada",10,"train",283,283,64,0.226148409893993,270,0.233333333333333,283,113,0.399293286219081,0.173144876325088,NA,NA,NA,NA
"Nevada",10,"holdout",91,91,17,0.186813186813187,72,0.236111111111111,91,36,0.395604395604396,0.208791208791209,91,20,0.21978021978022,0.032967032967033
"New Hampshire",5,"train",86,86,24,0.27906976744186,86,0.27906976744186,86,46,0.534883720930233,0.255813953488372,NA,NA,NA,NA
"New Hampshire",5,"holdout",31,31,8,0.258064516129032,39,0.230769230769231,31,17,0.548387096774194,0.290322580645161,31,10,0.32258064516129,0.0645161290322581
"New Hampshire",10,"train",172,172,40,0.232558139534884,171,0.233918128654971,172,83,0.482558139534884,0.25,NA,NA,NA,NA
"New Hampshire",10,"holdout",62,62,17,0.274193548387097,57,0.280701754385965,62,25,0.403225806451613,0.129032258064516,62,17,0.274193548387097,0
"New Jersey",5,"train",89,89,20,0.224719101123595,89,0.224719101123595,89,46,0.51685393258427,0.292134831460674,NA,NA,NA,NA
"New Jersey",5,"holdout",31,31,4,0.129032258064516,26,0.0769230769230769,31,14,0.451612903225806,0.32258064516129,31,5,0.161290322580645,0.032258064516129
"New Jersey",10,"train",178,178,34,0.191011235955056,178,0.191011235955056,178,82,0.460674157303371,0.269662921348315,NA,NA,NA,NA
"New Jersey",10,"holdout",62,62,10,0.161290322580645,60,0.15,62,26,0.419354838709677,0.258064516129032,62,13,0.209677419354839,0.0483870967741936
"New Mexico",5,"train",142,142,76,0.535211267605634,142,0.535211267605634,142,89,0.626760563380282,0.091549295774648,NA,NA,NA,NA
"New Mexico",5,"holdout",47,47,17,0.361702127659574,25,0.52,47,24,0.51063829787234,0.148936170212766,47,15,0.319148936170213,-0.0425531914893617
"New Mexico",10,"train",284,284,132,0.464788732394366,282,0.468085106382979,284,166,0.584507042253521,0.119718309859155,NA,NA,NA,NA
"New Mexico",10,"holdout",95,95,35,0.368421052631579,85,0.364705882352941,95,46,0.484210526315789,0.115789473684211,95,37,0.389473684210526,0.0210526315789474
"New York",5,"train",122,122,59,0.483606557377049,114,0.482456140350877,122,77,0.631147540983607,0.147540983606557,NA,NA,NA,NA
"New York",5,"holdout",40,40,14,0.35,29,0.413793103448276,40,27,0.675,0.325,40,20,0.5,0.15
"New York",10,"train",245,245,93,0.379591836734694,244,0.381147540983607,245,137,0.559183673469388,0.179591836734694,NA,NA,NA,NA
"New York",10,"holdout",81,81,31,0.382716049382716,60,0.383333333333333,81,46,0.567901234567901,0.185185185185185,81,32,0.395061728395062,0.0123456790123457
"North Carolina",5,"train",141,141,56,0.397163120567376,141,0.397163120567376,141,84,0.595744680851064,0.198581560283688,NA,NA,NA,NA
"North Carolina",5,"holdout",45,45,13,0.288888888888889,20,0.25,45,20,0.444444444444444,0.155555555555556,45,13,0.288888888888889,0
"North Carolina",10,"train",283,283,92,0.325088339222615,280,0.328571428571429,283,143,0.50530035335689,0.180212014134276,NA,NA,NA,NA
"North Carolina",10,"holdout",90,90,21,0.233333333333333,63,0.222222222222222,90,42,0.466666666666667,0.233333333333333,90,25,0.277777777777778,0.0444444444444445
"North Dakota",5,"train",62,62,15,0.241935483870968,62,0.241935483870968,62,32,0.516129032258065,0.274193548387097,NA,NA,NA,NA
"North Dakota",5,"holdout",21,21,5,0.238095238095238,12,0.25,21,8,0.380952380952381,0.142857142857143,21,2,0.0952380952380952,-0.142857142857143
"North Dakota",10,"train",124,124,28,0.225806451612903,120,0.225,124,60,0.483870967741935,0.258064516129032,NA,NA,NA,NA
"North Dakota",10,"holdout",43,43,8,0.186046511627907,30,0.2,43,14,0.325581395348837,0.13953488372093,43,4,0.0930232558139535,-0.0930232558139535
"Ohio",5,"train",133,133,40,0.300751879699248,133,0.300751879699248,133,69,0.518796992481203,0.218045112781955,NA,NA,NA,NA
"Ohio",5,"holdout",44,44,12,0.272727272727273,49,0.285714285714286,44,26,0.590909090909091,0.318181818181818,44,12,0.272727272727273,0
"Ohio",10,"train",266,266,66,0.24812030075188,258,0.255813953488372,266,122,0.458646616541353,0.210526315789474,NA,NA,NA,NA
"Ohio",10,"holdout",89,89,23,0.258426966292135,96,0.25,89,40,0.449438202247191,0.191011235955056,89,22,0.247191011235955,-0.0112359550561798
"Oklahoma",5,"train",138,138,58,0.420289855072464,136,0.419117647058824,138,81,0.58695652173913,0.166666666666667,NA,NA,NA,NA
"Oklahoma",5,"holdout",43,43,14,0.325581395348837,41,0.341463414634146,43,24,0.558139534883721,0.232558139534884,43,14,0.325581395348837,0
"Oklahoma",10,"train",276,276,111,0.402173913043478,274,0.405109489051095,276,144,0.521739130434783,0.119565217391304,NA,NA,NA,NA
"Oklahoma",10,"holdout",87,87,25,0.28735632183908,90,0.288888888888889,87,49,0.563218390804598,0.275862068965517,87,34,0.390804597701149,0.103448275862069
"Oregon",5,"train",114,114,64,0.56140350877193,108,0.574074074074074,114,74,0.649122807017544,0.0877192982456141,NA,NA,NA,NA
"Oregon",5,"holdout",41,41,15,0.365853658536585,41,0.365853658536585,39,15,0.384615384615385,0.0187617260787993,41,18,0.439024390243902,0.0731707317073171
"Oregon",10,"train",228,228,115,0.504385964912281,222,0.513513513513513,228,137,0.600877192982456,0.0964912280701754,NA,NA,NA,NA
"Oregon",10,"holdout",82,82,30,0.365853658536585,78,0.384615384615385,82,47,0.573170731707317,0.207317073170732,82,32,0.390243902439024,0.024390243902439
"Pennsylvania",5,"train",116,116,54,0.46551724137931,116,0.46551724137931,116,73,0.629310344827586,0.163793103448276,NA,NA,NA,NA
"Pennsylvania",5,"holdout",38,38,12,0.315789473684211,33,0.333333333333333,38,25,0.657894736842105,0.342105263157895,38,14,0.368421052631579,0.0526315789473684
"Pennsylvania",10,"train",233,233,87,0.373390557939914,228,0.37719298245614,233,124,0.532188841201717,0.158798283261803,NA,NA,NA,NA
"Pennsylvania",10,"holdout",77,77,26,0.337662337662338,74,0.351351351351351,77,45,0.584415584415584,0.246753246753247,77,27,0.350649350649351,0.012987012987013
"Rhode Island",5,"train",125,125,62,0.496,116,0.517241379310345,125,84,0.672,0.176,NA,NA,NA,NA
"Rhode Island",5,"holdout",46,45,21,0.466666666666667,31,0.419354838709677,46,25,0.543478260869565,0.0768115942028985,45,21,0.466666666666667,0
"Rhode Island",10,"train",251,251,119,0.474103585657371,249,0.477911646586345,251,156,0.621513944223108,0.147410358565737,NA,NA,NA,NA
"Rhode Island",10,"holdout",93,93,37,0.397849462365591,81,0.432098765432099,93,48,0.516129032258065,0.118279569892473,93,33,0.354838709677419,-0.043010752688172
"South Carolina",5,"train",126,126,51,0.404761904761905,97,0.43298969072165,126,71,0.563492063492063,0.158730158730159,NA,NA,NA,NA
"South Carolina",5,"holdout",45,45,10,0.222222222222222,51,0.313725490196078,45,20,0.444444444444444,0.222222222222222,45,10,0.222222222222222,0
"South Carolina",10,"train",253,253,93,0.367588932806324,251,0.366533864541833,253,133,0.525691699604743,0.158102766798419,NA,NA,NA,NA
"South Carolina",10,"holdout",90,90,24,0.266666666666667,83,0.27710843373494,90,39,0.433333333333333,0.166666666666667,90,26,0.288888888888889,0.0222222222222222
"South Dakota",5,"train",89,89,8,0.0898876404494382,87,0.0919540229885057,89,22,0.247191011235955,0.157303370786517,NA,NA,NA,NA
"South Dakota",5,"holdout",31,31,4,0.129032258064516,29,0.0689655172413793,31,9,0.290322580645161,0.161290322580645,31,5,0.161290322580645,0.032258064516129
"South Dakota",10,"train",178,178,18,0.101123595505618,178,0.101123595505618,178,40,0.224719101123595,0.123595505617978,NA,NA,NA,NA
"South Dakota",10,"holdout",62,62,9,0.145161290322581,47,0.148936170212766,62,19,0.306451612903226,0.161290322580645,62,9,0.145161290322581,0
"Tennessee",5,"train",138,138,44,0.318840579710145,138,0.318840579710145,138,82,0.594202898550725,0.27536231884058,NA,NA,NA,NA
"Tennessee",5,"holdout",46,45,11,0.244444444444444,13,0.230769230769231,46,15,0.326086956521739,0.0816425120772947,46,7,0.152173913043478,-0.0922705314009662
"Tennessee",10,"train",277,277,85,0.306859205776173,258,0.317829457364341,277,130,0.469314079422383,0.162454873646209,NA,NA,NA,NA
"Tennessee",10,"holdout",93,93,18,0.193548387096774,74,0.162162162162162,93,29,0.311827956989247,0.118279569892473,93,16,0.172043010752688,-0.021505376344086
"Texas",5,"train",120,120,40,0.333333333333333,95,0.378947368421053,120,65,0.541666666666667,0.208333333333333,NA,NA,NA,NA
"Texas",5,"holdout",42,42,12,0.285714285714286,58,0.275862068965517,42,16,0.380952380952381,0.0952380952380952,42,11,0.261904761904762,-0.0238095238095238
"Texas",10,"train",241,241,78,0.323651452282158,238,0.323529411764706,241,120,0.49792531120332,0.174273858921162,NA,NA,NA,NA
"Texas",10,"holdout",85,85,21,0.247058823529412,134,0.246268656716418,85,33,0.388235294117647,0.141176470588235,85,22,0.258823529411765,0.011764705882353
"Utah",5,"train",144,144,24,0.166666666666667,142,0.169014084507042,144,51,0.354166666666667,0.1875,NA,NA,NA,NA
"Utah",5,"holdout",49,49,5,0.102040816326531,26,0.115384615384615,49,12,0.244897959183673,0.142857142857143,49,5,0.102040816326531,0
"Utah",10,"train",288,288,47,0.163194444444444,287,0.163763066202091,288,75,0.260416666666667,0.0972222222222222,NA,NA,NA,NA
"Utah",10,"holdout",98,98,11,0.112244897959184,51,0.117647058823529,98,21,0.214285714285714,0.102040816326531,98,11,0.112244897959184,0
"Vermont",5,"train",99,99,27,0.272727272727273,97,0.268041237113402,99,46,0.464646464646465,0.191919191919192,NA,NA,NA,NA
"Vermont",5,"holdout",31,31,8,0.258064516129032,46,0.173913043478261,31,14,0.451612903225806,0.193548387096774,31,7,0.225806451612903,-0.032258064516129
"Vermont",10,"train",199,199,43,0.21608040201005,195,0.220512820512821,199,68,0.341708542713568,0.125628140703518,NA,NA,NA,NA
"Vermont",10,"holdout",63,63,12,0.19047619047619,68,0.191176470588235,63,22,0.349206349206349,0.158730158730159,63,11,0.174603174603175,-0.0158730158730159
"Virginia",5,"train",108,108,45,0.416666666666667,107,0.420560747663551,108,68,0.62962962962963,0.212962962962963,NA,NA,NA,NA
"Virginia",5,"holdout",35,35,12,0.342857142857143,45,0.355555555555556,35,20,0.571428571428571,0.228571428571429,35,13,0.371428571428571,0.0285714285714286
"Virginia",10,"train",216,216,89,0.412037037037037,211,0.417061611374408,216,119,0.550925925925926,0.138888888888889,NA,NA,NA,NA
"Virginia",10,"holdout",70,70,23,0.328571428571429,84,0.321428571428571,70,38,0.542857142857143,0.214285714285714,70,20,0.285714285714286,-0.0428571428571429
"Washington",5,"train",117,117,45,0.384615384615385,117,0.384615384615385,117,65,0.555555555555556,0.170940170940171,NA,NA,NA,NA
"Washington",5,"holdout",40,40,15,0.375,15,0.4,40,19,0.475,0.1,40,13,0.325,-0.05
"Washington",10,"train",235,235,64,0.272340425531915,234,0.269230769230769,235,112,0.476595744680851,0.204255319148936,NA,NA,NA,NA
"Washington",10,"holdout",81,81,22,0.271604938271605,114,0.140350877192982,81,30,0.37037037037037,0.0987654320987654,81,19,0.234567901234568,-0.037037037037037
"West Virginia",5,"train",105,105,32,0.304761904761905,104,0.307692307692308,105,56,0.533333333333333,0.228571428571429,NA,NA,NA,NA
"West Virginia",5,"holdout",32,32,6,0.1875,17,0.235294117647059,32,10,0.3125,0.125,32,6,0.1875,0
"West Virginia",10,"train",210,210,54,0.257142857142857,208,0.259615384615385,210,95,0.452380952380952,0.195238095238095,NA,NA,NA,NA
"West Virginia",10,"holdout",64,64,12,0.1875,56,0.178571428571429,64,21,0.328125,0.140625,64,12,0.1875,0
"Wisconsin",5,"train",148,148,27,0.182432432432432,148,0.182432432432432,148,51,0.344594594594595,0.162162162162162,NA,NA,NA,NA
"Wisconsin",5,"holdout",48,48,8,0.166666666666667,55,0.145454545454545,48,17,0.354166666666667,0.1875,48,6,0.125,-0.0416666666666667
"Wisconsin",10,"train",296,296,44,0.148648648648649,296,0.148648648648649,296,90,0.304054054054054,0.155405405405405,NA,NA,NA,NA
"Wisconsin",10,"holdout",97,97,17,0.175257731958763,108,0.185185185185185,97,30,0.309278350515464,0.134020618556701,97,12,0.123711340206186,-0.0515463917525773
"Wyoming",5,"train",40,40,6,0.15,40,0.15,40,14,0.35,0.2,NA,NA,NA,NA
"Wyoming",5,"holdout",13,13,3,0.230769230769231,5,0.4,13,6,0.461538461538462,0.230769230769231,13,4,0.307692307692308,0.0769230769230769
"Wyoming",10,"train",80,80,10,0.125,80,0.125,80,30,0.375,0.25,NA,NA,NA,NA
