"state","base_rate_train","base_rate_holdout"
"Alabama",0.109611586570112,0.134744947064485
"Arizona",0.125840918084685,0.112009237875289
"Arkansas",0.0722433460076046,0.0795321637426901
"California",0.131703131703132,0.13022113022113
"Colorado",0.107485604606526,0.12079701120797
"Connecticut",0.125677139761647,0.144605116796441
"Delaware",0.136215334420881,0.136302294197031
"District of Columbia",0.224443434802363,0.219262295081967
"Florida",0.138404452690167,0.162816281628163
"Georgia",0.201167181599725,0.189542483660131
"Idaho",0.0450485436893204,0.0502136752136752
"Illinois",0.151960784313725,0.165036674816626
"Indiana",0.130537044296354,0.144
"Iowa",0.087737843551797,0.0790598290598291
"Kansas",0.0834615384615385,0.104357798165138
"Kentucky",0.0725720384204909,0.0791284403669725
"Louisiana",0.0963665086887836,0.109965635738832
"Maine",0.123945727906124,0.123922413793103
"Maryland",0.1699604743083,0.144285714285714
"Massachusetts",0.113900337204946,0.13662456946039
"Michigan",0.150038669760247,0.130787037037037
"Minnesota",0.118093174431203,0.12247191011236
"Mississippi",0.109130706691682,0.122676579925651
"Missouri",0.091588785046729,0.0899470899470899
"Montana",0.111892208553017,0.111304347826087
"Nebraska",0.0641567422205148,0.0612939841089671
"Nevada",0.0819209039548023,0.0911086717892426
"New Hampshire",0.111754487550666,0.111290322580645
"New Jersey",0.0868834080717489,0.0942492012779553
"New Mexico",0.151142355008787,0.157455683003128
"New York",0.117047308319739,0.128834355828221
"North Carolina",0.118021201413428,0.126791620727674
"North Dakota",0.105939004815409,0.0967741935483871
"Ohio",0.0918290854572714,0.101675977653631
"Oklahoma",0.131788559015206,0.15922107674685
"Oregon",0.14729020979021,0.150668286755772
"Pennsylvania",0.122431506849315,0.14119170984456
"Rhode Island",0.178528827037773,0.180064308681672
"South Carolina",0.120961386918834,0.12707182320442
"South Dakota",0.0341928251121076,0.0461049284578696
"Tennessee",0.0959942259112234,0.0991471215351812
"Texas",0.134328358208955,0.149532710280374
"Utah",0.0489583333333333,0.0437881873727088
"Vermont",0.0581162324649299,0.063391442155309
"Virginia",0.149446494464945,0.168091168091168
"Washington",0.0946519524617997,0.0846625766871166
"West Virginia",0.083531086853346,0.0715396578538103
"Wisconsin",0.0627742153223085,0.0602655771195097
"Wyoming",0.0583126550868486,0.075187969924812
