"basis","budget","scope","n_rules","share_rules_below_base","share_capacity_below_base","share_rules_k_new_zero","share_capacity_k_new_zero","expected_share_k0_at_own_prec","median_n_new","median_state_share_rules_below_base","median_state_share_rules_k_new_zero"
"holdout",5,"holdout_deployed",879,0.54835039817975,0.386044176706827,0.546075085324232,0.374497991967871,0.540872949241875,1,0.555555555555556,0.555555555555556
"holdout",10,"holdout_deployed",1511,0.57776307081403,0.396470295799155,0.57114493712773,0.361173253790703,0.552017154132541,2,0.56,0.555555555555556
"train",5,"train_all_listed",6445,0.629169899146625,0.375119941299317,0.625601241272304,0.362476717277191,0.504179562516498,1,0.617021276595745,0.613445378151261
"train",5,"train_core_only",2296,0.560104529616725,0.320585125132182,0.559233449477352,0.316531547409235,0.485739194551518,1,0.538461538461538,0.538461538461538
"train",10,"train_all_listed",12871,0.692253904125554,0.443071889894802,0.685339134488385,0.417632625433624,0.532193561067061,1,0.681388012618297,0.680511182108626
"train",10,"train_core_only",4326,0.599630143319464,0.345803233574131,0.598012020342117,0.339611283109735,0.495100400931662,1,0.576642335766423,0.576642335766423
