"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","n_pool","config","z","z_label"
0.05,3799,35658,1,0.0839643277805822,1,1,1,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.1,3152,28454,0.797969600089741,0.100302242215506,0.953239812959252,0.951836490748548,0.951836490748548,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.15,2106,19285,0.540832351786415,0.128701063002333,0.828991315965264,0.84502937890315,0.84502937890315,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.2,981,10317,0.289331987211846,0.160996413686149,0.554776219104876,0.588396522877857,0.588396522877857,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.25,473,4729,0.132621010712884,0.195178684711355,0.308283233132933,0.338457907369375,0.338457907369375,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.3,241,2342,0.0656795109091929,0.21135781383433,0.165330661322645,0.178694537446443,0.178694537446443,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.35,116,1155,0.0323910482921084,0.251082251082251,0.0968603874415498,0.097339624688557,0.097339624688557,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.4,56,591,0.0165741208144035,0.269035532994924,0.0531062124248497,0.0567364007179606,0.0567364007179606,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.45,28,260,0.00729149139043132,0.261538461538462,0.0227120908483634,0.0288783102419786,0.0288783102419786,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.5,12,138,0.0038700992764597,0.268115942028986,0.0123580494321977,0.0159770983503275,0.0159770983503275,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.55,7,57,0.00159851926636379,0.245614035087719,0.00467601870407482,0.00633069205541925,0.00633069205541925,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.6,4,37,0.00103763531325369,0.27027027027027,0.00334001336005344,0.00523243309090425,0.00523243309090425,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.65,3,37,0.00103763531325369,0.27027027027027,0.00334001336005344,0.00523243309090425,0.00523243309090425,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.7,2,30,0.000841325929665152,0.233333333333333,0.00233800935203741,0.00403519758192688,0.00403519758192688,3826,"nrounds=100",0.8416,"z=0.84 (80%)"
0.05,3731,35658,1,0.0839643277805822,1,1,1,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.1,2996,28311,0.793959279825004,0.100738228956943,0.952571810287241,0.95149007284293,0.95149007284293,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
