"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","n_pool","config","z","z_label"
0.15,1855,17230,0.483201525604352,0.134881021474173,0.77621910487642,0.804865839197376,0.804865839197376,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.2,789,9241,0.259156430534522,0.168812899036901,0.521042084168337,0.553844191885065,0.553844191885065,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.25,356,3886,0.108979752089293,0.204837879567679,0.265865063460254,0.291065273127678,0.291065273127678,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.3,153,1581,0.0443378764933535,0.234661606578115,0.123914495657983,0.130152252572914,0.130152252572914,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.35,80,865,0.0242582309720119,0.263583815028902,0.0761523046092184,0.0799692411354132,0.0799692411354132,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.4,33,362,0.0101519995512928,0.287292817679558,0.0347361389445558,0.0407250412560885,0.0407250412560885,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.45,12,147,0.00412249705535925,0.26530612244898,0.0130260521042084,0.0159599677945551,0.0159599677945551,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.5,9,72,0.00201918223119637,0.291666666666667,0.00701402805611222,0.00767829577617597,0.00767829577617597,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.55,5,44,0.00123394469684222,0.25,0.00367401469605878,0.00556362383583598,0.00556362383583598,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.6,3,37,0.00103763531325369,0.27027027027027,0.00334001336005344,0.00523243309090425,0.00523243309090425,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.65,1,21,0.000588928150765607,0.142857142857143,0.00100200400801603,0.00197382070398971,0.00197382070398971,3793,"nrounds=100",1.2816,"z=1.28 (90%)"
0.05,3688,35658,1,0.0839643277805822,1,1,1,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.1,2877,28006,0.785405799540075,0.101478254659716,0.949231796927188,0.949226936085896,0.949226936085896,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.15,1687,16860,0.472825172471816,0.1358837485172,0.765197060788243,0.791446903842384,0.791446903842384,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.2,678,8275,0.232065735599304,0.175347432024169,0.484635938543754,0.520144581890718,0.520144581890718,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.25,272,3068,0.0860395984070896,0.214146023468057,0.219438877755511,0.233986261294271,0.233986261294271,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.3,115,1252,0.0351113354646924,0.242811501597444,0.101536406145625,0.103158303465892,0.103158303465892,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.35,50,562,0.0157608390823939,0.270462633451957,0.0507682030728123,0.054484684331442,0.054484684331442,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.4,15,169,0.00473946940378036,0.254437869822485,0.0143620574482298,0.0176996709029897,0.0176996709029897,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.45,9,72,0.00201918223119637,0.291666666666667,0.00701402805611222,0.00767829577617597,0.00767829577617597,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.5,5,44,0.00123394469684222,0.25,0.00367401469605878,0.00556362383583598,0.00556362383583598,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.55,2,30,0.000841325929665152,0.233333333333333,0.00233800935203741,0.00403519758192688,0.00403519758192688,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.6,1,21,0.000588928150765607,0.142857142857143,0.00100200400801603,0.00197382070398971,0.00197382070398971,3776,"nrounds=100",1.645,"z=1.64 (95%)"
0.05,3552,35658,1,0.0839643277805822,1,1,1,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.1,2590,26990,0.756912894722082,0.104483141904409,0.94188376753507,0.942136789391237,0.942136789391237,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.15,1365,15622,0.4381064557743,0.141723210856484,0.739478957915832,0.76534945382078,0.76534945382078,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.2,450,6383,0.179006113635089,0.187999373335422,0.400801603206413,0.44148297317926,0.44148297317926,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.25,155,1990,0.0558079533344551,0.230653266331658,0.153306613226453,0.164995803013836,0.164995803013836,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.3,58,773,0.0216781647877054,0.261319534282018,0.0674682698730795,0.0703133178650759,0.0703133178650759,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.35,17,251,0.00703909361153177,0.306772908366534,0.0257181028724115,0.0291200414178771,0.0291200414178771,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.4,9,72,0.00201918223119637,0.291666666666667,0.00701402805611222,0.00767829577617597,0.00767829577617597,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.45,3,37,0.00103763531325369,0.216216216216216,0.00267201068804275,0.00436638832685862,0.00436638832685862,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.5,1,21,0.000588928150765607,0.142857142857143,0.00100200400801603,0.00197382070398971,0.00197382070398971,3731,"nrounds=100",2.326,"z=2.33 (99%)"
0.05,31863,35658,1,0.0839643277805822,1,1,1,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.1,24715,30514,0.855740647260082,0.0950383430556466,0.968603874415498,0.967174048350042,0.967174048350042,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.15,15625,22786,0.639015087778339,0.115641183182656,0.880093520374082,0.889890497680713,0.889890497680713,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.2,6533,15327,0.429833417465926,0.137861290533046,0.705744822979292,0.73660818802498,0.73660818802498,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.25,2805,9847,0.276151214313758,0.160048745810907,0.526386105544422,0.55577042771191,0.55577042771191,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.3,1317,5631,0.157916876998149,0.182383235659741,0.343019372077488,0.361932478962726,0.361932478962726,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.35,633,3370,0.0945089460990521,0.193768545994065,0.21810287241149,0.228540647953755,0.228540647953755,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.4,298,2020,0.0566492792641203,0.204455445544554,0.137942551770207,0.14542509474149,0.14542509474149,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.45,149,1005,0.0281844186437826,0.200995024875622,0.0674682698730795,0.0709585687991671,0.0709585687991671,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.5,66,583,0.0163497672331595,0.205831903945111,0.0400801603206413,0.0410200674943897,0.0410200674943897,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.55,31,203,0.00569297212406753,0.251231527093596,0.0170340681362725,0.0186532718409828,0.0186532718409828,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.6,11,90,0.00252397778899546,0.255555555555556,0.00768203072812291,0.00889456523601147,0.00889456523601147,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.65,5,51,0.00143025408043076,0.333333333333333,0.00567802271209085,0.00725764546221095,0.00725764546221095,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.7,4,44,0.00123394469684222,0.318181818181818,0.00467601870407482,0.00606040995323358,0.00606040995323358,32094,"nrounds=1000",0.8416,"z=0.84 (80%)"
0.05,30548,35658,1,0.0839643277805822,1,1,1,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.1,22750,30213,0.847299343765775,0.0958527786052362,0.967267869071476,0.966268032289194,0.966268032289194,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.15,13252,20964,0.587918559650008,0.120826178210265,0.846025384101536,0.864185147046787,0.864185147046787,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.2,4779,13333,0.373913287340849,0.14572864321608,0.648964595858383,0.677475412893979,0.677475412893979,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.25,1868,7614,0.213528520949016,0.175466246388232,0.44622578490314,0.475959168368619,0.475959168368619,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.3,788,4032,0.113074204946996,0.190228174603175,0.256179024716099,0.265696823423941,0.265696823423941,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.35,364,2313,0.0648662291771832,0.204928664072633,0.158316633266533,0.168882535779069,0.168882535779069,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.4,160,1166,0.0326995344663189,0.221269296740995,0.0861723446893788,0.0866691918374805,0.0866691918374805,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.45,51,352,0.00987155757473779,0.241477272727273,0.0283901135604542,0.0316401365114956,0.0316401365114956,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.5,29,195,0.00546861854282349,0.251282051282051,0.0163660654642619,0.0176178249142996,0.0176178249142996,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.55,11,93,0.00260811038196197,0.258064516129032,0.00801603206412826,0.00922575598094321,0.00922575598094321,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.6,5,51,0.00143025408043076,0.333333333333333,0.00567802271209085,0.00725764546221095,0.00725764546221095,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.65,2,25,0.000701104941387627,0.2,0.00167000668002672,0.00303210837170261,0.00303210837170261,31086,"nrounds=1000",1.2816,"z=1.28 (90%)"
0.05,29492,35658,1,0.0839643277805822,1,1,1,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.1,21090,29832,0.836614504459027,0.0968087959238402,0.964595858383434,0.964138133188168,0.964138133188168,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.15,11540,20038,0.561949632621011,0.123415510529993,0.825985303941216,0.846287523054873,0.846287523054873,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.2,3636,12069,0.338465421504291,0.152042422735935,0.612892451569806,0.640094636803667,0.640094636803667,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.25,1310,6159,0.172724213360256,0.18363370677058,0.377755511022044,0.400514297352187,0.400514297352187,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.3,522,3004,0.0842447697571373,0.201065246338216,0.201736806947228,0.209268772709883,0.209268772709883,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.35,208,1424,0.0399349374614392,0.221207865168539,0.105210420841683,0.109369081630905,0.109369081630905,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.4,60,509,0.0142744966066521,0.275049115913556,0.0467601870407482,0.0493588413653434,0.0493588413653434,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.45,29,195,0.00546861854282349,0.251282051282051,0.0163660654642619,0.0176178249142996,0.0176178249142996,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.5,14,113,0.00316899433507207,0.283185840707965,0.010688042752171,0.0108531587793147,0.0108531587793147,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.55,4,44,0.00123394469684222,0.318181818181818,0.00467601870407482,0.00606040995323358,0.00606040995323358,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.6,2,25,0.000701104941387627,0.2,0.00167000668002672,0.00303210837170261,0.00303210837170261,30383,"nrounds=1000",1.645,"z=1.64 (95%)"
0.05,27441,35658,1,0.0839643277805822,1,1,1,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.1,18111,28689,0.804559986538785,0.099794346265119,0.9562458249833,0.957264973533291,0.957264973533291,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.15,8475,18217,0.510881148690336,0.130647197672504,0.794923179692719,0.816177716192372,0.816177716192372,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.2,2026,9172,0.257221380896293,0.169755778456171,0.520040080160321,0.54985848257537,0.54985848257537,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.25,610,3824,0.107241011834651,0.196652719665272,0.251169004676019,0.265807220338919,0.265807220338919,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.3,203,1581,0.0443378764933535,0.220746363061354,0.116566466265865,0.122456826240966,0.122456826240966,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.35,47,510,0.0143025408043076,0.284313725490196,0.0484301937207749,0.0513574062054487,0.0513574062054487,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.4,25,171,0.00479555779909137,0.245614035087719,0.0140280561122244,0.0144753196276198,0.0144753196276198,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.45,7,68,0.00190700544057435,0.264705882352941,0.00601202404809619,0.00673230841852613,0.00673230841852613,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
0.5,1,21,0.000588928150765607,0.142857142857143,0.00100200400801603,0.00197382070398971,0.00197382070398971,29169,"nrounds=1000",2.326,"z=2.33 (99%)"
