"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","engine","param","setting"
0.15,4707,19315,0.541673677716081,0.126999741133834,0.819305277221109,0.843584702033016,0.843584702033016,"xgboost","subsample","subsample=0.5 (base)"
0.2,1829,10901,0.305709798642661,0.157875424273002,0.574816299265197,0.606638661380304,0.606638661380304,"xgboost","subsample","subsample=0.5 (base)"
0.25,801,5447,0.152756744629536,0.187075454378557,0.340347361389446,0.373956225719816,0.373956225719816,"xgboost","subsample","subsample=0.5 (base)"
0.3,358,2704,0.0758315104604857,0.211538461538462,0.191048764195057,0.202414647005864,0.202414647005864,"xgboost","subsample","subsample=0.5 (base)"
0.35,172,1410,0.0395423186942622,0.23758865248227,0.11189044756179,0.114925091886398,0.114925091886398,"xgboost","subsample","subsample=0.5 (base)"
0.4,77,841,0.0235851702282798,0.246135552913199,0.0691382765531062,0.0730484966033915,0.0730484966033915,"xgboost","subsample","subsample=0.5 (base)"
0.45,25,233,0.00653429805373268,0.266094420600858,0.0207080828323313,0.0253398987774493,0.0253398987774493,"xgboost","subsample","subsample=0.5 (base)"
0.5,18,138,0.0038700992764597,0.297101449275362,0.0136940547762191,0.0144467687013326,0.0144467687013326,"xgboost","subsample","subsample=0.5 (base)"
0.55,8,71,0.00199113803354086,0.253521126760563,0.00601202404809619,0.00804755442282399,0.00804755442282399,"xgboost","subsample","subsample=0.5 (base)"
0.6,4,41,0.00114981210387571,0.292682926829268,0.00400801603206413,0.00629072075861715,0.00629072075861715,"xgboost","subsample","subsample=0.5 (base)"
0.65,2,25,0.000701104941387627,0.2,0.00167000668002672,0.00303210837170261,0.00303210837170261,"xgboost","subsample","subsample=0.5 (base)"
0.05,30548,35658,1,0.0839643277805822,1,1,1,"xgboost","nrounds","nrounds=1000"
0.1,22750,30213,0.847299343765775,0.0958527786052362,0.967267869071476,0.966268032289194,0.966268032289194,"xgboost","nrounds","nrounds=1000"
0.15,13252,20964,0.587918559650008,0.120826178210265,0.846025384101536,0.864185147046787,0.864185147046787,"xgboost","nrounds","nrounds=1000"
0.2,4779,13333,0.373913287340849,0.14572864321608,0.648964595858383,0.677475412893979,0.677475412893979,"xgboost","nrounds","nrounds=1000"
0.25,1868,7614,0.213528520949016,0.175466246388232,0.44622578490314,0.475959168368619,0.475959168368619,"xgboost","nrounds","nrounds=1000"
0.3,788,4032,0.113074204946996,0.190228174603175,0.256179024716099,0.265696823423941,0.265696823423941,"xgboost","nrounds","nrounds=1000"
0.35,364,2313,0.0648662291771832,0.204928664072633,0.158316633266533,0.168882535779069,0.168882535779069,"xgboost","nrounds","nrounds=1000"
0.4,160,1166,0.0326995344663189,0.221269296740995,0.0861723446893788,0.0866691918374805,0.0866691918374805,"xgboost","nrounds","nrounds=1000"
0.45,51,352,0.00987155757473779,0.241477272727273,0.0283901135604542,0.0316401365114956,0.0316401365114956,"xgboost","nrounds","nrounds=1000"
0.5,29,195,0.00546861854282349,0.251282051282051,0.0163660654642619,0.0176178249142996,0.0176178249142996,"xgboost","nrounds","nrounds=1000"
0.55,11,93,0.00260811038196197,0.258064516129032,0.00801603206412826,0.00922575598094321,0.00922575598094321,"xgboost","nrounds","nrounds=1000"
0.6,5,51,0.00143025408043076,0.333333333333333,0.00567802271209085,0.00725764546221095,0.00725764546221095,"xgboost","nrounds","nrounds=1000"
0.65,2,25,0.000701104941387627,0.2,0.00167000668002672,0.00303210837170261,0.00303210837170261,"xgboost","nrounds","nrounds=1000"
0.05,4686,35658,1,0.0839643277805822,1,1,1,"xgboost","max_depth","max_depth=3"
0.1,3628,27916,0.78288182175108,0.101160624731337,0.943219772879092,0.949992100910394,0.949992100910394,"xgboost","max_depth","max_depth=3"
0.15,2203,17680,0.49582141454933,0.130938914027149,0.773213092852371,0.802640770342059,0.802640770342059,"xgboost","max_depth","max_depth=3"
0.2,817,8467,0.237450221549161,0.168182355025393,0.47561790247161,0.515115812073996,0.515115812073996,"xgboost","max_depth","max_depth=3"
0.25,343,3397,0.0952661394357507,0.203709155136885,0.231128924515698,0.256834615904389,0.256834615904389,"xgboost","max_depth","max_depth=3"
0.3,141,1391,0.0390094789388076,0.233644859813084,0.108550434201737,0.11779350828072,0.11779350828072,"xgboost","max_depth","max_depth=3"
0.35,62,595,0.0166862976050255,0.252100840336134,0.0501002004008016,0.0524556651699637,0.0524556651699637,"xgboost","max_depth","max_depth=3"
0.4,29,254,0.00712322620449829,0.267716535433071,0.0227120908483634,0.0254579092727698,0.0254579092727698,"xgboost","max_depth","max_depth=3"
0.45,10,98,0.0027483313702395,0.295918367346939,0.00968603874415498,0.0110473050780677,0.0110473050780677,"xgboost","max_depth","max_depth=3"
0.5,7,79,0.0022154916147849,0.278481012658228,0.00734802939211757,0.0080875257196261,0.0080875257196261,"xgboost","max_depth","max_depth=3"
0.55,2,25,0.000701104941387627,0.28,0.00233800935203741,0.00295406917318421,0.00295406917318421,"xgboost","max_depth","max_depth=3"
0.6,1,12,0.000336530371866061,0.333333333333333,0.00133600534402138,0.0026133614528234,0.0026133614528234,"xgboost","max_depth","max_depth=3"
0.05,19577,35658,1,0.0839643277805822,1,1,1,"xgboost","max_depth","max_depth=5"
0.1,14709,30049,0.842700095350272,0.0965090352424374,0.968603874415498,0.966544024576637,0.966544024576637,"xgboost","max_depth","max_depth=5"
0.15,8692,20989,0.588619664591396,0.121396922197341,0.851035404141617,0.867990033823331,0.867990033823331,"xgboost","max_depth","max_depth=5"
0.2,3555,13384,0.37534354142128,0.14988045427376,0.67000668002672,0.691295964612079,0.691295964612079,"xgboost","max_depth","max_depth=5"
0.25,1567,7552,0.211789780694374,0.178495762711864,0.450233800935204,0.487194909560183,0.487194909560183,"xgboost","max_depth","max_depth=5"
0.3,692,3827,0.107325144427618,0.200940684609355,0.25684702738811,0.279540215883071,0.279540215883071,"xgboost","max_depth","max_depth=5"
0.35,299,1829,0.0512928375119188,0.221432476763259,0.135270541082164,0.148643735831603,0.148643735831603,"xgboost","max_depth","max_depth=5"
0.4,142,952,0.0266980761680408,0.238445378151261,0.0758183032732131,0.0886239785906121,0.0886239785906121,"xgboost","max_depth","max_depth=5"
0.45,55,340,0.00953502720287173,0.264705882352941,0.030060120240481,0.0334769127693066,0.0334769127693066,"xgboost","max_depth","max_depth=5"
0.5,23,143,0.00401032026473723,0.300699300699301,0.0143620574482298,0.0159466440289544,0.0159466440289544,"xgboost","max_depth","max_depth=5"
0.55,12,77,0.00215940321947389,0.233766233766234,0.00601202404809619,0.00776204515995181,0.00776204515995181,"xgboost","max_depth","max_depth=5"
0.6,5,42,0.00117785630153121,0.19047619047619,0.00267201068804275,0.00497166796414765,0.00497166796414765,"xgboost","max_depth","max_depth=5"
0.65,1,18,0.000504795557799091,0.166666666666667,0.00100200400801603,0.00197382070398971,0.00197382070398971,"xgboost","max_depth","max_depth=5"
0.05,9991,35658,1,0.0839643277805822,1,1,1,"xgboost","eta","eta=0.02"
0.1,8021,29677,0.832267653822424,0.0970785456751019,0.962257849031396,0.961425795190882,0.961425795190882,"xgboost","eta","eta=0.02"
0.15,5057,20331,0.570166582534074,0.123407604151296,0.838009352037408,0.857317697577168,0.857317697577168,"xgboost","eta","eta=0.02"
0.2,2202,11720,0.328677996522519,0.157081911262799,0.614896459585838,0.640774148849303,0.640774148849303,"xgboost","eta","eta=0.02"
0.25,1021,5608,0.157271860452072,0.190263908701855,0.356379425517702,0.387969020341583,0.387969020341583,"xgboost","eta","eta=0.02"
0.3,505,2713,0.0760839082393853,0.216365646885367,0.196058784235137,0.211404381996167,0.211404381996167,"xgboost","eta","eta=0.02"
0.35,235,1335,0.0374390038700993,0.239700374531835,0.10688042752171,0.112890362539662,0.112890362539662,"xgboost","eta","eta=0.02"
0.4,111,725,0.0203320433002412,0.262068965517241,0.0634602538410154,0.0670432851076465,0.0670432851076465,"xgboost","eta","eta=0.02"
0.45,51,303,0.00849739188961804,0.297029702970297,0.030060120240481,0.0336120538203994,0.0336120538203994,"xgboost","eta","eta=0.02"
0.5,25,143,0.00401032026473723,0.293706293706294,0.0140280561122244,0.0154003696393257,0.0154003696393257,"xgboost","eta","eta=0.02"
0.55,9,54,0.00151438667339727,0.277777777777778,0.00501002004008016,0.00717770286860673,0.00717770286860673,"xgboost","eta","eta=0.02"
0.6,4,35,0.000981546917942678,0.257142857142857,0.0030060120240481,0.0050040256806065,0.0050040256806065,"xgboost","eta","eta=0.02"
0.05,10411,35658,1,0.0839643277805822,1,1,1,"xgboost","eta","eta=0.1"
0.1,7786,28964,0.812272140894049,0.0991230493025825,0.958917835671343,0.959543337451011,0.959543337451011,"xgboost","eta","eta=0.1"
0.15,4564,19067,0.534718716697515,0.128127130644569,0.815965263861055,0.83747099701738,0.83747099701738,"xgboost","eta","eta=0.1"
0.2,1589,10287,0.288490661282181,0.160979877515311,0.55310621242485,0.582532162618463,0.582532162618463,"xgboost","eta","eta=0.1"
0.25,636,4924,0.138089629255707,0.195775792038993,0.321977287909152,0.361075951174109,0.361075951174109,"xgboost","eta","eta=0.1"
0.3,276,2102,0.0589489034718717,0.216936251189343,0.152304609218437,0.168520890712764,0.168520890712764,"xgboost","eta","eta=0.1"
0.35,122,791,0.0221829603455045,0.245259165613148,0.0647962591850367,0.0751993330503619,0.0751993330503619,"xgboost","eta","eta=0.1"
0.4,50,344,0.00964720399349375,0.26453488372093,0.0303941215764863,0.035300365261517,0.035300365261517,"xgboost","eta","eta=0.1"
0.45,21,124,0.00347748050928263,0.290322580645161,0.0120240480961924,0.0123035458347054,0.0123035458347054,"xgboost","eta","eta=0.1"
0.5,10,69,0.00193504963822985,0.260869565217391,0.00601202404809619,0.00614415933700942,0.00614415933700942,"xgboost","eta","eta=0.1"
0.55,5,40,0.0011217679062202,0.3,0.00400801603206413,0.00477752166539456,0.00477752166539456,"xgboost","eta","eta=0.1"
0.6,3,22,0.000616972348421112,0.272727272727273,0.00200400801603206,0.00275801947934531,0.00275801947934531,"xgboost","eta","eta=0.1"
0.65,2,11,0.000308486174210556,0.363636363636364,0.00133600534402138,0.00206137687793718,0.00206137687793718,"xgboost","eta","eta=0.1"
0.7,1,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,0.00206137687793718,"xgboost","eta","eta=0.1"
0.75,1,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,0.00206137687793718,"xgboost","eta","eta=0.1"
0.05,10607,35658,1,0.0839643277805822,1,1,1,"xgboost","subsample","subsample=0.25"
0.1,7886,29312,0.822031521678165,0.0985262008733624,0.964595858383434,0.964368443993551,0.964368443993551,"xgboost","subsample","subsample=0.25"
0.15,4382,18827,0.527988109260194,0.128220109417326,0.8062792251169,0.825675657670587,0.825675657670587,"xgboost","subsample","subsample=0.25"
0.2,1335,9522,0.267036850075719,0.166876706574249,0.530728122912492,0.566600745750195,0.566600745750195,"xgboost","subsample","subsample=0.25"
