"target","arm","seed","budget","n_te","n_err_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","artifact_share_flagged","n_rules_deployed","n_rules_deployed_newfeat","n_rules_deployed_slt","slack"
"Michigan","cand_slt",117,0.1,847,111,84,26,0.3095,0.1311,0.2497,0.0357,273,243,29,0
"Michigan","cand_slt",20260805,0.05,847,111,42,15,0.3571,0.1311,0.0841,0.0714,129,108,11,0
"Michigan","cand_slt",20260805,0.1,847,111,84,27,0.3214,0.1311,0.2216,0.0357,253,220,24,0
"Michigan","cand_slt",31415,0.05,847,111,42,13,0.3095,0.1311,0.067,0.0238,138,117,7,0
"Michigan","cand_slt",31415,0.1,847,111,84,22,0.2619,0.1311,0.1649,0.0119,263,224,24,0
"Massachusetts","base",117,0.05,764,118,38,22,0.5789,0.1545,0.1608,0.0263,113,0,0,0
"Massachusetts","base",117,0.1,764,118,76,32,0.4211,0.1545,0.2517,0.0263,233,0,0,0
"Massachusetts","base",20260805,0.05,764,118,38,21,0.5526,0.1545,0.1645,0.0263,115,0,0,0
"Massachusetts","base",20260805,0.1,764,118,76,32,0.4211,0.1545,0.2598,0.0263,247,0,0,0
"Massachusetts","base",31415,0.05,764,118,38,21,0.5526,0.1545,0.1585,0.0526,107,0,0,0
"Massachusetts","base",31415,0.1,764,118,76,30,0.3947,0.1545,0.2293,0.0526,232,0,0,0
"Massachusetts","cand",117,0.05,764,118,38,11,0.2895,0.1545,0.0787,0,103,89,0,0
"Massachusetts","cand",117,0.1,764,118,76,21,0.2763,0.1545,0.142,0.0395,228,195,0,0
"Massachusetts","cand",20260805,0.05,764,118,38,20,0.5263,0.1545,0.1396,0.0526,112,96,0,0
"Massachusetts","cand",20260805,0.1,764,118,76,25,0.3289,0.1545,0.1705,0.0263,234,203,0,0
"Massachusetts","cand",31415,0.05,764,118,38,10,0.2632,0.1545,0.0689,0.0263,107,87,0,0
"Massachusetts","cand",31415,0.1,764,118,76,19,0.25,0.1545,0.1288,0.0395,237,202,0,0
"Massachusetts","base_slt",117,0.05,764,118,38,20,0.5263,0.1545,0.1472,0.0263,105,23,23,0
"Massachusetts","base_slt",117,0.1,764,118,76,33,0.4342,0.1545,0.2779,0.0132,236,58,58,0
"Massachusetts","base_slt",20260805,0.05,764,118,38,21,0.5526,0.1545,0.1451,0.0526,108,23,23,0
"Massachusetts","base_slt",20260805,0.1,764,118,76,29,0.3816,0.1545,0.2122,0.0395,222,57,57,0
"Massachusetts","base_slt",31415,0.05,764,118,38,18,0.4737,0.1545,0.1471,0.0263,106,31,31,0
"Massachusetts","base_slt",31415,0.1,764,118,76,31,0.4079,0.1545,0.2375,0.0395,224,58,58,0
"Massachusetts","cand_slt",117,0.05,764,118,38,9,0.2368,0.1545,0.0542,0,107,98,12,0
"Massachusetts","cand_slt",117,0.1,764,118,76,27,0.3553,0.1545,0.1931,0.0395,240,206,28,0
"Massachusetts","cand_slt",20260805,0.05,764,118,38,9,0.2368,0.1545,0.0618,0,102,85,5,0
"Massachusetts","cand_slt",20260805,0.1,764,118,76,23,0.3026,0.1545,0.1632,0.0132,231,200,19,0
"Massachusetts","cand_slt",31415,0.05,764,118,38,11,0.2895,0.1545,0.0863,0,105,87,9,0
"Massachusetts","cand_slt",31415,0.1,764,118,76,22,0.2895,0.1545,0.1508,0.0263,240,201,26,0
"Arizona","base",117,0.05,863,97,43,14,0.3256,0.1124,0.1629,0.0465,87,0,0,0
"Arizona","base",117,0.1,863,97,86,29,0.3372,0.1124,0.302,0.0233,193,0,0,0
"Arizona","base",20260805,0.05,863,97,43,15,0.3488,0.1124,0.1824,0.0465,79,0,0,0
