"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_cut_pct","n_excluded","n_retained","clean_excluded","errors_lost","exclusion_purity","clean_per_error_lost","retained_precision","base_precision","precision_gain","recall_retained","err_dollars_lost","mean_dollars_excluded","retained_dollar_density","base_dollar_density","dollar_density_gain","dollar_recall_retained"
"1","rule11094","rawunearn < 2138 & months_since_cert_n >= 2.5 & rawunearn >= 32 & rawben_rel_max >= 0.9913",4,"EXCLUDE",-0.959,0.346,15.4,173,952,168,5,0.971,33.6,0.114,0.101,0.013,0.956,690,3.99,14.81,13.15,1.66,0.953
"1","rule13742","lf_composition %in% c(""all working age"") & shelter_expenses < 1590 & utilities >= 155 & total_deductions >= 634.3",4,"EXCLUDE",-5.212,1.868,15.1,170,955,164,6,0.965,27.3,0.113,0.101,0.012,0.947,707,4.16,14.75,13.15,1.6,0.952
"1","rule8274","shelter_to_gross_ratio >= 0.03743 & lf_composition %in% c(""all working age"", ""mixed ages"") & total_deductions >= 727.2 & shelter_expenses < 1549",4,"EXCLUDE",-0.277,0.094,13.2,149,976,144,5,0.966,28.8,0.112,0.101,0.01,0.956,573,3.85,14.57,13.15,1.42,0.961
"1","rule12919","n_income_types >= 1.5 & shelter_to_gross_ratio < 1.507 & months_since_cert_n < 12.5 & total_deductions < 967.9",4,"EXCLUDE",-3.747,1.241,12.5,141,984,139,2,0.986,69.5,0.114,0.101,0.012,0.982,250,1.77,14.78,13.15,1.63,0.983
"1","rule7211","total_deductions < 1247 & rawben_rel_max < 0.182 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n >= 2.5",4,"EXCLUDE",-2.2,0.72,12.2,137,988,133,4,0.971,33.2,0.111,0.101,0.01,0.965,473,3.45,14.49,13.15,1.34,0.968
"1","rule12969","rawunearn >= 250 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 0.05774",3,"EXCLUDE",-0.361,0.117,12,135,990,131,4,0.97,32.8,0.111,0.101,0.01,0.965,582,4.31,14.35,13.15,1.2,0.961
"1","rule13632","months_since_cert_n >= 15.5 & months_since_cert_n >= 16.5 & expedited_i %in% c(""FALSE"") & shelter_expenses >= 768",4,"EXCLUDE",-3.246,1.035,11.5,129,996,122,7,0.946,17.4,0.107,0.101,0.006,0.939,638,4.95,14.21,13.15,1.06,0.957
"1","rule6667","shelter_expenses < 1739 & rawearn >= 23 & months_since_cert_n < 5.5",3,"EXCLUDE",-0.171,0.049,9.1,102,1023,97,5,0.951,19.4,0.107,0.101,0.005,0.956,578,5.67,13.89,13.15,0.75,0.961
"1","rule6412","unc_rawben_rel_max < 1.916 & shelter_expenses >= 1236 & lf_composition %in% c(""mixed ages"", ""no working age"")",3,"EXCLUDE",-4.889,1.392,8.9,100,1025,95,5,0.95,19,0.106,0.101,0.005,0.956,589,5.89,13.85,13.15,0.71,0.96
"1","rule2464","expedited_i %in% c(""TRUE"") & shelter_to_gross_ratio >= 0.295 & months_since_cert_n < 14 & shelter_to_gross_ratio >= 1.163",4,"EXCLUDE",-10.845,2.973,8.2,92,1033,89,3,0.967,29.7,0.107,0.101,0.006,0.974,628,6.83,13.71,13.15,0.56,0.958
"1","rule6030","medical_deductions >= 3 & n_deduction_types >= 2.5 & shelter_expenses >= 700",3,"EXCLUDE",-5.555,1.523,8.2,92,1033,86,6,0.935,14.3,0.105,0.101,0.003,0.947,591,6.42,13.75,13.15,0.6,0.96
"1","rule9683","unc_rawben_rel_max < 2.348 & total_deductions < 305.5 & utilities < 622 & months_since_cert_n < 4.5",4,"EXCLUDE",-2.918,0.792,8,90,1035,84,6,0.933,14,0.104,0.101,0.003,0.947,387,4.3,13.92,13.15,0.77,0.974
"1","rule4759","rawearn < 6 & n_deduction_types >= 2.5 & rawunearn >= 727 & total_deductions >= 424",4,"EXCLUDE",-7.097,1.916,7.9,89,1036,83,6,0.933,13.8,0.104,0.101,0.003,0.947,497,5.58,13.8,13.15,0.65,0.966
"1","rule14089","shelter_to_gross_ratio < 6.582 & total_deductions < 115.6 & lf_composition %in% c(""all working age"", ""no working age"")",3,"EXCLUDE",-0.506,0.137,7.9,89,1036,85,4,0.955,21.2,0.106,0.101,0.005,0.965,274,3.08,14.01,13.15,0.86,0.981
"1","rule6802","shelter_to_gross_ratio >= 1.376 & rawearn < 9 & rawunearn >= 32.5",3,"EXCLUDE",-0.006,0.002,7.8,88,1037,87,1,0.989,87,0.109,0.101,0.008,0.991,230,2.61,14.04,13.15,0.89,0.984
"1","rule13958","total_deductions < 132 & total_deductions < 29.3 & n_income_types < 1.5",3,"EXCLUDE",-0.481,0.124,7.1,80,1045,75,5,0.938,15,0.104,0.101,0.003,0.956,371,4.64,13.8,13.15,0.65,0.975
"1","rule13406","unc_rawben_rel_max < 2.353 & months_since_cert_n >= 13.5 & rawunearn >= 1156",3,"EXCLUDE",-0.896,0.214,6,68,1057,63,5,0.926,12.6,0.103,0.101,0.002,0.956,460,6.76,13.56,13.15,0.41,0.969
"1","rule10059","lf_composition %in% c(""all working age"", ""no working age"") & total_deductions < 1115 & shelter_to_gross_ratio < 0.02768 & unc_rawben_rel_max < 1.145",4,"EXCLUDE",-1.044,0.231,5.2,58,1067,55,3,0.948,18.3,0.104,0.101,0.003,0.974,415,7.16,13.47,13.15,0.33,0.972
"2","rule9599","utilities >= 622 & shelter_expenses < 1618 & months_since_cert_n >= 1.5 & rawunearn < 1809",4,"EXCLUDE",-4.509,2.106,31.9,92,196,90,2,0.978,45,0.158,0.115,0.044,0.939,247,2.68,32.14,22.73,9.41,0.962
