"approach","mean_precision","max_recall","n_thresholds","delta_vs_boosted"
"Optimal (boosted only)",0.0762156366660387,0.826945412311266,8,0
"Optimal + RF (mtry = 1)",0.0720243866049601,0.905923344947735,10,-0.00419125006107858
