"x","precision_byhh","precision_pooled","delta"
0.02,0.269431279713278,0.113212661595482,0.156218618117796
0.04,0.252143581708389,0.110782758298384,0.141360823410006
0.06,0.254122515586559,0.108352855001286,0.145769660585273
0.08,0.256101449464728,0.105922951704188,0.15017849776054
0.1,0.25731400471267,0.10349304840709,0.15382095630558
0.12,0.242226074665444,0.101063145109992,0.141162929555452
0.14,0.228994975478744,0.098633241812894,0.13036173366585
0.16,0.219271711571341,0.096203338515796,0.123068373055545
0.18,0.205246512905573,0.093773435218698,0.111473077686875
0.2,0.193566239939812,0.0913435319216001,0.102222708018212
0.22,0.182342251037224,0.0889136286245021,0.0934286224127216
0.24,0.171118262134636,0.0864837253274041,0.0846345368072314
0.26,0.161006993963525,0.0840538220303062,0.076953171933219
0.28,0.153588959377968,0.0816239187332082,0.0719650406447594
0.3,0.147823360330427,0.0791940154361102,0.0686293448943169
0.32,0.143454968830097,0.0767641121390123,0.0666908566910846
0.34,0.139482928214919,0.075919354415276,0.0635635737996434
0.36,0.135378176362825,0.0751783742360294,0.0601998021267956
0.38,0.131273424510731,0.0744373940567828,0.0568360304539479
0.4,0.12793804225433,0.0736964138775362,0.0542416283767941
0.42,0.1265560735617,0.0729554336982896,0.0536006398634102
0.44,0.124858628289511,0.072214453519043,0.0526441747704676
0.46,0.122064248581708,0.0714734733397965,0.0505907752419118
0.48,0.118724837184296,0.0707324931605499,0.0479923440237457
0.5,0.116031849686134,0.069926919340915,0.0461049303452192
0.52,0.113514036511566,0.0689857683028474,0.0445282682087189
0.54,0.110036154091668,0.0680446172647798,0.0419915368268885
0.56,0.107482581400675,0.0671034662267121,0.040379115173963
0.58,0.10462975320896,0.0661623151886445,0.0384674380203152
0.6,0.10175085112268,0.0652211641505769,0.0365296869721035
0.62,0.0973849237361195,0.0642800131125093,0.0331049106236102
0.64,0.0938636869982557,0.0633388620744416,0.0305248249238141
0.66,0.0910130484348654,0.0626137213621724,0.028399327072693
0.68,0.0872324902182974,0.0619320412793248,0.0253004489389726
0.7,0.084457126559589,0.0612503611964772,0.0232067653631118
0.72,0.0822999198152991,0.0605585174752398,0.0217414023400594
0.74,0.0796247834470273,0.0598306133839632,0.019794170063064
0.76,0.076738129867491,0.0591027092926867,0.0176354205748043
0.78,0.0734715993748173,0.0583748052014101,0.0150967941734071
0.8,0.0698444668597405,0.0576469011101336,0.0121975657496069
0.82,0.066440719566908,0.0569189970188571,0.00952172254805095
0.84,0.0630803074753425,0.0561910929275805,0.00688921454776201
0.86,0.0595015706902529,0.055463188836304,0.00403838185394888
0.88,0.0559228339051632,0.0547352847450275,0.00118754916013573
0.9,0.0523591033562139,0.0540073806537509,-0.00164827729753705
