"x","precision_byhh","precision_pooled","delta"
0.02,0.361828968903437,0.232515200535505,0.129313768367932
0.04,0.277546337157988,0.156440487000303,0.121105850157685
0.06,0.24235122515231,0.118040655464808,0.124310569687502
0.08,0.219857205596336,0.116353362811909,0.103503842784427
0.1,0.20432532219941,0.114666070159011,0.089659252040399
0.12,0.195004231365232,0.112978777506112,0.0820254538591195
0.14,0.187395510835913,0.111291484853214,0.0761040259826993
0.16,0.180477736612575,0.109604192200316,0.0708735444122591
0.18,0.174025968303923,0.107916899547417,0.0661090687565055
0.2,0.167934262711663,0.106229606894519,0.0617046558171444
0.22,0.164095870141666,0.10454231424162,0.059553555900046
0.24,0.159822832012281,0.102855021588722,0.0569678104235595
0.26,0.155559782608696,0.101167728935823,0.0543920536728722
0.28,0.151613603778804,0.099480436282925,0.052133167495879
0.3,0.147528973204399,0.0977931436300265,0.0497358295743729
0.32,0.142959325608836,0.0961058509771281,0.0468534746317077
0.34,0.138170859638233,0.0944185583242297,0.0437523013140038
0.36,0.133731142517272,0.0927312656713312,0.0409998768459409
0.38,0.129856069987569,0.0910439730184328,0.0388120969691363
0.4,0.126312213765872,0.0893566803655343,0.0369555334003372
0.42,0.123196068257812,0.0876693877126359,0.0355266805451757
0.44,0.120225518608284,0.0859820950597375,0.0342434235485466
0.46,0.117390494961621,0.084294802406839,0.0330956925547823
0.48,0.114888034713197,0.0826075097539406,0.0322805249592561
0.5,0.112571940913442,0.0809202171010421,0.0316517238123999
0.52,0.110192360857196,0.0792329244481437,0.0309594364090527
0.54,0.107803193043526,0.0777603277085351,0.0300428653349905
0.56,0.105588703831978,0.0766954363396182,0.0288932674923595
0.58,0.103368856315584,0.0756305449707013,0.0277383113448829
0.6,0.100776307322559,0.0745656536017844,0.0262106537207751
0.62,0.098214346489703,0.0735007622328675,0.0247135842568356
0.64,0.0956213150351761,0.0724358708639505,0.0231854441712255
0.66,0.0929107189265217,0.0713709794950336,0.021539739431488
0.68,0.0900939979694843,0.0703060881261167,0.0197879098433676
0.7,0.0871787107221971,0.0692411967571998,0.0179375139649973
0.72,0.0844481486591523,0.0681763053882829,0.0162718432708693
0.74,0.0815586812328844,0.067111414019366,0.0144472672135184
0.76,0.0786206733900921,0.0657272918357874,0.0128933815543047
0.78,0.075205511952033,0.0640033767134339,0.0112021352385991
0.8,0.0705703902352392,0.0602218134571628,0.0103485767780764
0.82,0.065757779545199,0.0568783414968031,0.00887943804839586
0.84,0.0612603567623368,0.0535676853638526,0.00769267139848417
0.86,0.0573473502431322,0.0502570292309021,0.00709032101223011
0.88,0.0536779989894701,0.0475184812354929,0.00615951775397724
0.9,0.0505143125623387,0.0451302691220612,0.00538404344027753
0.92,0.0473506261352073,0.0427420570086294,0.00460856912657784
0.94,0.0438601398493735,0.0403538448951977,0.00350629495417574
