"step","n_flagged","workload","recall","dollar_recall","precision","x","approach","hh_size"
1,15864,0.390325517309254,0.718969555035129,0.781558362398835,0.0387039838628341,0.781558362398835,"Pooled (all HH)","1"
2,16417,0.403931796373299,0.73536299765808,0.798293318885239,0.0382530303953219,0.798293318885239,"Pooled (all HH)","1"
3,16489,0.405703319144748,0.736533957845433,0.798841894957841,0.0381466432166899,0.798841894957841,"Pooled (all HH)","1"
1,649,0.0159683094259774,0.197892271662763,0.212786563272493,0.26040061633282,0.212786563272493,"By household size","1"
2,1031,0.0253672219078316,0.247072599531616,0.273258609596695,0.204655674102813,0.273258609596695,"By household size","1"
3,1233,0.0303373274610634,0.269320843091335,0.297558497849717,0.186536901865369,0.297558497849717,"By household size","1"
4,1753,0.0431316585881948,0.314988290398126,0.354312417459619,0.15345122646891,0.354312417459619,"By household size","1"
5,2126,0.0523091307236178,0.352459016393443,0.39370153398124,0.141580432737535,0.39370153398124,"By household size","1"
6,2547,0.0626676180400069,0.38056206088993,0.418062375131218,0.127601099332548,0.418062375131218,"By household size","1"
7,2732,0.0672194473833132,0.388758782201405,0.429284480715181,0.121522693997072,0.429284480715181,"By household size","1"
8,3173,0.0780700243584381,0.409836065573771,0.451572923368663,0.110305704380712,0.451572923368663,"By household size","1"
9,4106,0.101026006938464,0.450819672131148,0.492472317225966,0.0937652216268875,0.492472317225966,"By household size","1"
10,5105,0.125605885392318,0.484777517564403,0.529314957163659,0.0810969637610186,0.529314957163659,"By household size","1"
11,7872,0.193686489678419,0.565573770491803,0.616613050692493,0.0613567073170732,0.616613050692493,"By household size","1"
12,18301,0.450286642226214,0.795081967213115,0.848559141241407,0.0371017977159718,0.848559141241407,"By household size","1"
13,18520,0.455675023989371,0.797423887587822,0.850360637973655,0.0367710583153348,0.850360637973655,"By household size","1"
1,25,0.00244738130200685,0.00604838709677419,0.00947751915067517,0.12,0.00947751915067517,"Pooled (all HH)","2"
2,6051,0.592364170337739,0.721774193548387,0.778817309949656,0.0591637745827136,0.778817309949656,"Pooled (all HH)","2"
3,6055,0.59275575134606,0.723790322580645,0.779852011581702,0.059289843104872,0.779852011581702,"Pooled (all HH)","2"
4,7161,0.701027900146843,0.818548387096774,0.858871914371919,0.0566959921798631,0.858871914371919,"Pooled (all HH)","2"
5,8135,0.79637787567303,0.88508064516129,0.923953777530454,0.0539643515673018,0.923953777530454,"Pooled (all HH)","2"
6,10215,1,1,1,0.048556045031816,1,"Pooled (all HH)","2"
1,8,0.000783162016642193,0.00604838709677419,0.0104948308393256,0.375,0.0104948308393256,"By household size","2"
2,26,0.00254527655408713,0.0201612903225806,0.0260675251502056,0.384615384615385,0.0260675251502056,"By household size","2"
3,29,0.00283896231032795,0.0221774193548387,0.0286238468293786,0.379310344827586,0.0286238468293786,"By household size","2"
4,108,0.0105726872246696,0.0625,0.079637245780765,0.287037037037037,0.079637245780765,"By household size","2"
5,386,0.0377875673029858,0.155241935483871,0.197567146918937,0.199481865284974,0.197567146918937,"By household size","2"
6,426,0.0417033773861968,0.169354838709677,0.212948551852464,0.197183098591549,0.212948551852464,"By household size","2"
7,600,0.0587371512481645,0.215725806451613,0.265344451303811,0.178333333333333,0.265344451303811,"By household size","2"
8,680,0.0665687714145864,0.235887096774194,0.28834265144467,0.172058823529412,0.28834265144467,"By household size","2"
9,824,0.0806656877141459,0.262096774193548,0.318757662443809,0.157766990291262,0.318757662443809,"By household size","2"
10,851,0.0833088595203133,0.268145161290323,0.326678781660566,0.156286721504113,0.326678781660566,"By household size","2"
11,890,0.087126774351444,0.278225806451613,0.333973862915076,0.155056179775281,0.333973862915076,"By household size","2"
12,1244,0.121781693587861,0.334677419354839,0.398507942856646,0.133440514469453,0.398507942856646,"By household size","2"
13,1671,0.163582966226138,0.401209677419355,0.462937683137841,0.119090365050868,0.462937683137841,"By household size","2"
14,1742,0.170533529123837,0.411290322580645,0.472719526297942,0.117106773823192,0.472719526297942,"By household size","2"
15,1801,0.176309348996574,0.419354838709677,0.480258066759993,0.115491393670183,0.480258066759993,"By household size","2"
16,2683,0.262652961331375,0.530241935483871,0.582850037823127,0.0980245993291092,0.582850037823127,"By household size","2"
17,2731,0.267351933431229,0.536290322580645,0.587814866662609,0.0974002196997437,0.587814866662609,"By household size","2"
18,2969,0.290651003426334,0.560483870967742,0.611021746124216,0.0936342202761873,0.611021746124216,"By household size","2"
19,4538,0.444248653940284,0.689516129032258,0.751289029554209,0.0753635962979286,0.751289029554209,"By household size","2"
20,4834,0.473225648556045,0.727822580645161,0.775861019572381,0.0746793545717832,0.775861019572381,"By household size","2"
21,4889,0.47860988742046,0.735887096774194,0.781547531062786,0.0746573941501329,0.781547531062786,"By household size","2"
22,5173,0.506412139011258,0.756048387096774,0.800215635298107,0.07249178426445,0.800215635298107,"By household size","2"
23,5527,0.541067058247675,0.786290322580645,0.821935674599379,0.0705626922381039,0.821935674599379,"By household size","2"
24,5543,0.542633382280959,0.788306451612903,0.823239920354059,0.0705394190871369,0.823239920354059,"By household size","2"
25,6122,0.599314733235438,0.814516129032258,0.853133233051326,0.0659915060437765,0.853133233051326,"By household size","2"
26,8267,0.809300048947626,0.931451612903226,0.940691598048848,0.0558848433530906,0.940691598048848,"By household size","2"
27,8926,0.873813020068527,0.945564516129032,0.958611934718153,0.0525431324221376,0.958611934718153,"By household size","2"
28,8929,0.874106705824767,0.945564516129032,0.958611934718153,0.0525254787770187,0.958611934718153,"By household size","2"
29,8930,0.874204601076848,0.945564516129032,0.958611934718153,0.0525195968645017,0.958611934718153,"By household size","2"
30,8932,0.874400391581008,0.945564516129032,0.958611934718153,0.0525078369905956,0.958611934718153,"By household size","2"
1,5666,0.851134144509539,0.88433734939759,0.896850511489822,0.0647723261560184,0.896850511489822,"Pooled (all HH)","3"
2,6167,0.926393270241851,0.956626506024096,0.961416752010863,0.0643748986541268,0.961416752010863,"Pooled (all HH)","3"
3,6656,0.999849782184167,1,1,0.0623497596153846,1,"Pooled (all HH)","3"
4,6657,1,1,1,0.0623403935706775,1,"Pooled (all HH)","3"
1,6,0.000901306894997747,0.00240963855421687,0.00411953557414589,0.166666666666667,0.00411953557414589,"By household size","3"
2,22,0.00330479194832507,0.0072289156626506,0.0131641025050919,0.136363636363636,0.0131641025050919,"By household size","3"
3,117,0.0175754844524561,0.0481927710843374,0.0601360137164425,0.170940170940171,0.0601360137164425,"By household size","3"
4,266,0.0399579390115668,0.106024096385542,0.130962107176967,0.165413533834586,0.130962107176967,"By household size","3"
5,284,0.04266185969656,0.108433734939759,0.137452101768639,0.158450704225352,0.137452101768639,"By household size","3"
6,809,0.121526213008863,0.228915662650602,0.293119915307872,0.117428924598269,0.293119915307872,"By household size","3"
7,817,0.122727955535527,0.231325301204819,0.297895354590751,0.11750305997552,0.297895354590751,"By household size","3"
8,830,0.124680787141355,0.233734939759036,0.304097672117188,0.116867469879518,0.304097672117188,"By household size","3"
9,984,0.14781433077963,0.272289156626506,0.349654212167589,0.114837398373984,0.349654212167589,"By household size","3"
10,1246,0.187171398527865,0.325301204819277,0.39679872961808,0.108346709470305,0.39679872961808,"By household size","3"
11,1351,0.202944269190326,0.344578313253012,0.41649885504528,0.105847520355292,0.41649885504528,"By household size","3"
12,1554,0.233438485804416,0.387951807228916,0.452953292751689,0.103603603603604,0.452953292751689,"By household size","3"
13,2496,0.374943668319063,0.549397590361446,0.611486369860649,0.0913461538461538,0.611486369860649,"By household size","3"
14,2696,0.404987231485654,0.585542168674699,0.640979022588403,0.09013353115727,0.640979022588403,"By household size","3"
15,2742,0.41189725101397,0.587951807228916,0.647158325949622,0.0889861415025529,0.647158325949622,"By household size","3"
16,2917,0.438185368784738,0.607228915662651,0.666559267228979,0.0863901268426466,0.666559267228979,"By household size","3"
17,2967,0.445696259576386,0.614457831325301,0.672163216459731,0.0859453993933266,0.672163216459731,"By household size","3"
18,3190,0.479194832507135,0.643373493975904,0.694222293821847,0.0836990595611285,0.694222293821847,"By household size","3"
19,4309,0.647288568424215,0.744578313253012,0.803378479454104,0.0717103736365746,0.803378479454104,"By household size","3"
20,5867,0.881327925491963,0.932530120481928,0.939725901292245,0.0659621612408386,0.939725901292245,"By household size","3"
21,6467,0.971458614991738,0.980722891566265,0.986364107107925,0.062934900262873,0.986364107107925,"By household size","3"
22,6480,0.973411446597567,0.983132530120482,0.987031517899267,0.062962962962963,0.987031517899267,"By household size","3"
23,6487,0.974462971308397,0.983132530120482,0.987031517899267,0.0628950208108525,0.987031517899267,"By household size","3"
1,4034,0.896643698599689,0.915032679738562,0.937096097356274,0.0694100148735746,0.937096097356274,"Pooled (all HH)","4"
2,4324,0.961102467214937,0.973856209150327,0.982025458106029,0.0689176688251619,0.982025458106029,"Pooled (all HH)","4"
3,4338,0.964214269837742,0.977124183006536,0.983941810043363,0.0689257722452743,0.983941810043363,"Pooled (all HH)","4"
4,4497,0.999555456768171,1,1,0.0680453635757171,1,"Pooled (all HH)","4"
5,4499,1,1,1,0.0680151144698822,1,"Pooled (all HH)","4"
1,9,0.00200044454323183,0.0065359477124183,0.0128689327178626,0.222222222222222,0.0128689327178626,"By household size","4"
2,63,0.0140031118026228,0.0457516339869281,0.0755070639250245,0.222222222222222,0.0755070639250245,"By household size","4"
3,65,0.0144476550344521,0.0490196078431373,0.0775073436844314,0.230769230769231,0.0775073436844314,"By household size","4"
4,116,0.0257835074460991,0.0816993464052288,0.118687928381592,0.21551724137931,0.118687928381592,"By household size","4"
5,150,0.0333407423871972,0.111111111111111,0.144215974262135,0.226666666666667,0.144215974262135,"By household size","4"
6,199,0.0442320515670149,0.140522875816993,0.179619527206602,0.21608040201005,0.179619527206602,"By household size","4"
7,208,0.0462324961102467,0.143790849673203,0.185900125891733,0.211538461538462,0.185900125891733,"By household size","4"
8,230,0.051122471660369,0.160130718954248,0.199328577423416,0.21304347826087,0.199328577423416,"By household size","4"
9,298,0.066236941542565,0.183006535947712,0.241572247866835,0.187919463087248,0.241572247866835,"By household size","4"
10,310,0.0689042009335408,0.189542483660131,0.248524269128549,0.187096774193548,0.248524269128549,"By household size","4"
