"x","approach","precision_scheme","precision_baseline","delta"
0.02,"1/2-3/4+",0.415203761755486,0.265216635338346,0.14998712641714
0.04,"1/2-3/4+",0.351159461304123,0.243310267229255,0.107849194074869
0.06,"1/2-3/4+",0.310176779741997,0.229392970489318,0.0807838092526788
0.08,"1/2-3/4+",0.282384879725086,0.216062340318367,0.0663225394067194
0.1,"1/2-3/4+",0.2653614824555,0.204465560314061,0.0608959221414382
0.12,"1/2-3/4+",0.251965103800039,0.192885339671222,0.0590797641288172
0.14,"1/2-3/4+",0.235663298565841,0.185480741626794,0.0501825569390467
0.16,"1/2-3/4+",0.222954407294833,0.179981772613352,0.0429726346814812
0.18,"1/2-3/4+",0.212287711757892,0.173949645205568,0.0383380665523236
0.2,"1/2-3/4+",0.202112154688112,0.168769230769231,0.0333429239188816
0.22,"1/2-3/4+",0.194938231431319,0.163958217519538,0.0309800139117805
0.24,"1/2-3/4+",0.187874651135562,0.159088685403581,0.0287859657319817
0.26,"1/2-3/4+",0.180892958391837,0.154204189585919,0.0266887688059183
0.28,"1/2-3/4+",0.17506386157102,0.149205844104666,0.0258580174663537
0.3,"1/2-3/4+",0.169334486985363,0.144990566907966,0.0243439200773966
0.32,"1/2-3/4+",0.164113870880532,0.141006206732966,0.023107664147566
0.34,"1/2-3/4+",0.159207226954117,0.137906763776546,0.0213004631775706
0.36,"1/2-3/4+",0.155085492494991,0.13476665843469,0.0203188340603012
0.38,"1/2-3/4+",0.150941321184056,0.132148651974223,0.0187926692098328
0.4,"1/2-3/4+",0.147410799274571,0.12952975567625,0.0178810435983206
0.42,"1/2-3/4+",0.143023743270028,0.126674857664757,0.0163488856052712
0.44,"1/2-3/4+",0.139067841719123,0.123936297156783,0.0151315445623402
0.46,"1/2-3/4+",0.135979062912327,0.121310788077355,0.0146682748349717
0.48,"1/2-3/4+",0.132066004266183,0.119110749267137,0.0129552549990467
0.5,"1/2-3/4+",0.127341099835471,0.116943062343217,0.010398037492254
0.52,"1/2-3/4+",0.122715156771829,0.114865640557096,0.00784951621473311
0.54,"1/2-3/4+",0.118408516010422,0.112588963437341,0.00581955257308012
0.56,"1/2-3/4+",0.114101875249014,0.110368476028802,0.00373339922021276
0.58,"1/2-3/4+",0.110649606136134,0.108075508962419,0.00257409717371501
0.6,"1/2-3/4+",0.107818017255109,0.105728503740486,0.00208951351462283
0.62,"1/2-3/4+",0.104912358592303,0.103377237801429,0.00153512079087394
0.64,"1/2-3/4+",0.10190028763569,0.100486965381481,0.00141332225420859
0.66,"1/2-3/4+",0.0989498308405149,0.0978499569380132,0.00109987390250174
0.68,"1/2-3/4+",0.095725872500066,0.095199428037605,0.000526444462461043
0.7,"1/2-3/4+",0.0922377974323531,0.092269153733511,-3.13563011579004e-05
0.72,"1/2-3/4+",0.0888912363526444,0.0885544283746163,0.000336807978028084
0.74,"1/2-3/4+",0.0848309774238288,0.0854945852516452,-0.000663607827816382
0.76,"1/2-3/4+",0.0806698270909873,0.0820982448448651,-0.00142841775387778
0.78,"1/2-3/4+",0.0761636434715555,0.0784326633004026,-0.00226901982884709
0.8,"1/2-3/4+",0.0718312419277788,0.0742967278842037,-0.00246548595642487
0.82,"1/2-3/4+",0.0671956360890622,0.0703717102060667,-0.00317607411700452
0.84,"1/2-3/4+",0.0626927797116699,0.0664879158508751,-0.00379513613920515
0.86,"1/2-3/4+",0.0585637219378031,0.0623365590211316,-0.00377283708332845
0.88,"1/2-3/4+",0.0546698044959511,0.057834851287123,-0.00316504679117187
0.9,"1/2-3/4+",0.0514301948940392,0.0540269392419627,-0.00259674434792341
0.92,"1/2-3/4+",0.0481972283017303,0.0502190271968023,-0.00202179889507204
0.94,"1/2-3/4+",0.0445420823514985,0.0463248267022187,-0.00178274435072024
0.02,"1/2/3-4/5+",0.315560526315789,0.265216635338346,0.0503438909774436
0.04,"1/2/3-4/5+",0.274126492702344,0.243310267229255,0.0308162254730895
0.06,"1/2/3-4/5+",0.24918642566011,0.229392970489318,0.0197934551707915
0.08,"1/2/3-4/5+",0.234725274725275,0.216062340318367,0.0186629344069082
0.1,"1/2/3-4/5+",0.224885735270017,0.204465560314061,0.0204201749559554
0.12,"1/2/3-4/5+",0.215361684933162,0.192885339671222,0.0224763452619397
0.14,"1/2/3-4/5+",0.204402605875693,0.185480741626794,0.0189218642488989
0.16,"1/2/3-4/5+",0.196814663318404,0.179981772613352,0.0168328907050526
0.18,"1/2/3-4/5+",0.189725891848038,0.173949645205568,0.0157762466424694
0.2,"1/2/3-4/5+",0.183933158412233,0.168769230769231,0.015163927643002
0.22,"1/2/3-4/5+",0.178732629238466,0.163958217519538,0.0147744117189276
0.24,"1/2/3-4/5+",0.174085571709404,0.159088685403581,0.014996886305823
0.26,"1/2/3-4/5+",0.169601452652724,0.154204189585919,0.0153972630668053
0.28,"1/2/3-4/5+",0.165734991402638,0.149205844104666,0.0165291472979723
0.3,"1/2/3-4/5+",0.162266402232053,0.144990566907966,0.0172758353240866
0.32,"1/2/3-4/5+",0.159130266464092,0.141006206732966,0.0181240597311261
0.34,"1/2/3-4/5+",0.155441460822641,0.137906763776546,0.0175346970460948
0.36,"1/2/3-4/5+",0.151842130675662,0.13476665843469,0.0170754722409719
0.38,"1/2/3-4/5+",0.148266649371883,0.132148651974223,0.0161179973976604
0.4,"1/2/3-4/5+",0.144893258043884,0.12952975567625,0.0153635023676335
0.42,"1/2/3-4/5+",0.14197275282779,0.126674857664757,0.0152978951630338
0.44,"1/2/3-4/5+",0.139220575221239,0.123936297156783,0.0152842780644561
0.46,"1/2/3-4/5+",0.1360570847766,0.121310788077355,0.0147462966992447
0.48,"1/2/3-4/5+",0.133007916300501,0.119110749267137,0.013897167033364
0.5,"1/2/3-4/5+",0.130858397565072,0.116943062343217,0.0139153352218552
0.52,"1/2/3-4/5+",0.127462809376876,0.114865640557096,0.0125971688197809
0.54,"1/2/3-4/5+",0.124162260129273,0.112588963437341,0.011573296691932
0.56,"1/2/3-4/5+",0.121126170373534,0.110368476028802,0.0107576943447323
0.58,"1/2/3-4/5+",0.11847248128012,0.108075508962419,0.0103969723177015
0.6,"1/2/3-4/5+",0.115684781382456,0.105728503740486,0.00995627764196949
0.62,"1/2/3-4/5+",0.112073568740299,0.103377237801429,0.00869633093886994
0.64,"1/2/3-4/5+",0.108549507594534,0.100486965381481,0.00806254221305347
0.66,"1/2/3-4/5+",0.105040106123741,0.0978499569380132,0.0071901491857278
0.68,"1/2/3-4/5+",0.101562973377953,0.095199428037605,0.00636354534034829
0.7,"1/2/3-4/5+",0.0981805209292734,0.092269153733511,0.00591136719576248
0.72,"1/2/3-4/5+",0.0948047124208443,0.0885544283746163,0.00625028404622802
0.74,"1/2/3-4/5+",0.091097419409936,0.0854945852516452,0.00560283415829076
0.76,"1/2/3-4/5+",0.0866478346363253,0.0820982448448651,0.00454958979146022
