"approach","mean_precision","max_recall","n_thresholds","delta_vs_boosted"
"Optimal (boosted only)",0.0816170015662501,0.808362369337979,5,0
"Optimal + RF (mtry = 1)",0.0773023986810136,0.86527293844367,5,-0.00431460288523647
