"x","approach","precision_plus_rf","precision_boosted","delta"
0.02,"Optimal + RF (mtry = 1)",0.0851611579667199,0.101813064604435,-0.0166519066377149
0.04,"Optimal + RF (mtry = 1)",0.0939759961968109,0.090366805589647,0.00360919060716387
0.06,"Optimal + RF (mtry = 1)",0.100800413529808,0.0929184922954554,0.00788192123435305
0.08,"Optimal + RF (mtry = 1)",0.098171349956392,0.0954701790012638,0.00270117095512827
0.1,"Optimal + RF (mtry = 1)",0.0955422863829757,0.0961059417797492,-0.000563655396773527
0.12,"Optimal + RF (mtry = 1)",0.0930336693374074,0.0959309995575823,-0.00289733022017487
0.14,"Optimal + RF (mtry = 1)",0.0908847190069412,0.0957560573354154,-0.00487133832847413
0.16,"Optimal + RF (mtry = 1)",0.088735768676475,0.0955811151132484,-0.0068453464367734
0.18,"Optimal + RF (mtry = 1)",0.0865868183460089,0.0954061728910815,-0.00881935454507267
0.2,"Optimal + RF (mtry = 1)",0.0850712545442957,0.0952312306689146,-0.0101599761246189
0.22,"Optimal + RF (mtry = 1)",0.0842524159242109,0.0940962983249332,-0.00984388240072226
0.24,"Optimal + RF (mtry = 1)",0.0834335773041261,0.092334884903376,-0.00890130759924992
0.26,"Optimal + RF (mtry = 1)",0.0826147386840413,0.0905734714818189,-0.00795873279777762
0.28,"Optimal + RF (mtry = 1)",0.0817959000639565,0.0888120580602618,-0.00701615799630528
0.3,"Optimal + RF (mtry = 1)",0.0809770614438717,0.0870506446387047,-0.00607358319483296
0.32,"Optimal + RF (mtry = 1)",0.0801582228237869,0.0852892312171476,-0.00513100839336064
0.34,"Optimal + RF (mtry = 1)",0.0786631855162668,0.0835278177955904,-0.00486463227932364
0.36,"Optimal + RF (mtry = 1)",0.0768525120241517,0.0817664043740333,-0.00491389234988167
0.38,"Optimal + RF (mtry = 1)",0.0750418385320365,0.0800049909524762,-0.00496315242043971
0.4,"Optimal + RF (mtry = 1)",0.0732311650399213,0.0783201415212899,-0.00508897648136858
0.42,"Optimal + RF (mtry = 1)",0.0714204915478062,0.0767647330863244,-0.00534424153851817
0.44,"Optimal + RF (mtry = 1)",0.069609818055691,0.0752093246513588,-0.00559950659566777
0.46,"Optimal + RF (mtry = 1)",0.0677991445635759,0.0736539162163933,-0.00585477165281736
0.48,"Optimal + RF (mtry = 1)",0.0659884710714607,0.0720985077814277,-0.00611003670996695
0.5,"Optimal + RF (mtry = 1)",0.0647699594938004,0.0705430993464621,-0.00577313985266174
0.52,"Optimal + RF (mtry = 1)",0.0638459841031558,0.0689876909114966,-0.00514170680834078
0.54,"Optimal + RF (mtry = 1)",0.0629220087125112,0.067432282476531,-0.00451027376401981
0.56,"Optimal + RF (mtry = 1)",0.0619980333218666,0.0658768740415654,-0.00387884071969884
0.58,"Optimal + RF (mtry = 1)",0.061074057931222,0.0645381991859564,-0.00346414125473444
0.6,"Optimal + RF (mtry = 1)",0.0601500825405774,0.0632423284586765,-0.00309224591809912
0.62,"Optimal + RF (mtry = 1)",0.0592261071499328,0.0619464577313966,-0.00272035058146382
0.64,"Optimal + RF (mtry = 1)",0.0583021317592882,0.0606505870041167,-0.00234845524482852
0.66,"Optimal + RF (mtry = 1)",0.0573781563686436,0.0593547162768368,-0.00197655990819321
0.68,"Optimal + RF (mtry = 1)",0.056454180977999,0.0580588455495569,-0.0016046645715579
0.7,"Optimal + RF (mtry = 1)",0.0555302055873544,0.056762974822277,-0.0012327692349226
0.72,"Optimal + RF (mtry = 1)",0.0546062301967098,0.0554671040949971,-0.00086087389828729
0.74,"Optimal + RF (mtry = 1)",0.0530447205948668,0.0541712333677172,-0.00112651277285047
0.76,"Optimal + RF (mtry = 1)",0.0512164339095897,0.0528753626404373,-0.00165892873084762
0.78,"Optimal + RF (mtry = 1)",0.0493881472243127,0.0515794919131574,-0.00219134468884476
0.8,"Optimal + RF (mtry = 1)",0.0475598605390356,0.0502836211858775,-0.00272376064684191
0.82,"Optimal + RF (mtry = 1)",0.0457315738537586,0.0489877504585976,-0.00325617660483905
