"rule_id","rule","n_conditions","role","coefficient","importance","workload_cut_pct","n_excluded","n_retained","clean_excluded","errors_lost","exclusion_purity","clean_per_error_lost","retained_precision","base_precision","precision_gain","recall_retained","err_dollars_lost","mean_dollars_excluded","retained_dollar_density","base_dollar_density","dollar_density_gain","dollar_recall_retained"
"rule19176","n_income_types >= 0.5 & gross_by_hh_size >= 67.62 & gross_by_hh_size < 1032",3,"EXCLUDE",-4.262,1.289,89.8,469,53,391,78,0.834,5,0.208,0.17,0.037,0.124,13801,29.43,70.28,33.57,36.71,0.213
"rule9805","n_income_types >= 0.5 & gross_by_hh_size >= 46.58 & gross_by_hh_size < 993.1",3,"EXCLUDE",-13.213,4.093,89.3,466,56,389,77,0.835,5.1,0.214,0.17,0.044,0.135,13683,29.36,68.62,33.57,35.05,0.219
"rule13883","gross_by_hh_size >= 1.875 & gross_by_hh_size < 912.5",2,"EXCLUDE",-0.108,0.035,87.7,458,64,384,74,0.838,5.2,0.234,0.17,0.064,0.169,13656,29.82,60.47,33.57,26.89,0.221
"rule382","gross_by_hh_size >= 1 & utilities >= 28.5 & shelter_to_gross_ratio >= 0.2834",3,"EXCLUDE",-6.507,2.246,86.2,450,72,377,73,0.838,5.2,0.222,0.17,0.052,0.18,13130,29.18,61.06,33.57,27.48,0.251
"rule8936","gross_by_hh_size < 1032 & n_income_types >= 0.5 & gross_by_hh_size >= 173.4",3,"EXCLUDE",-11.703,4.086,85.8,448,74,374,74,0.835,5.1,0.203,0.17,0.032,0.169,13215,29.5,58.26,33.57,24.68,0.246
"rule13383","gross_by_hh_size >= 1.875 & expedited_i %in% c(""FALSE"") & utilities >= 402",3,"EXCLUDE",-2.124,0.75,85.4,446,76,371,75,0.832,4.9,0.184,0.17,0.014,0.157,13337,29.9,55.12,33.57,21.54,0.239
"rule6068","unc_rawben_rel_max < 1.108 & gross_by_hh_size >= 165.8 & gross_by_hh_size < 1032",3,"EXCLUDE",-0.049,0.018,83,433,89,357,76,0.824,4.7,0.146,0.17,-0.024,0.146,13673,31.58,43.29,33.57,9.72,0.22
"rule12714","gross_by_hh_size >= 1.875 & elderly_disabled_i %in% c(""FALSE"") & unearned_by_hh_size < 225.1",3,"EXCLUDE",-4.826,1.983,78.5,410,112,342,68,0.834,5,0.188,0.17,0.017,0.236,12490,30.46,44.96,33.57,11.39,0.287
"rule13565","gross_by_hh_size >= 240.6 & gross_by_hh_size >= 262.1 & shelter_to_gross_ratio < 1.293",3,"EXCLUDE",-1.042,0.449,75.5,394,128,327,67,0.83,4.9,0.172,0.17,0.001,0.247,11293,28.66,48.7,33.57,15.12,0.356
"rule3116","gross_by_hh_size >= 1 & utilities >= 397 & cert_HH_size_FS_n >= 2.5",3,"EXCLUDE",-6.797,2.957,74.7,390,132,323,67,0.828,4.8,0.167,0.17,-0.004,0.247,11472,29.42,45.86,33.57,12.29,0.345
