"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Michigan","unearned_income","1","total_deductions_by_hh_size <= 780.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   1.98","total_deductions_by_hh_size <= 975.000 & unc_rawben_rel_max >   1.960 & unc_rawben_rel_max <=   2.475",FALSE,7,3,0.429,0.226,5,0.4,1,0
"Michigan","unearned_income","2-3","expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 668.0 & unc_rawben_rel_max >   1.8","expedited_i <=   0.375 & shelter_expenses_by_hh_size <= 734.800 & unc_rawben_rel_max >   1.350",FALSE,23,2,0.087,0.037,14,0,0,NA
"Michigan","unearned_income","2-3","percent_abawd <=   0.25 & unc_rawben_rel_max >   1.77 & utilities > 590.00","percent_abawd <=   0.1875 & unc_rawben_rel_max >   1.3280 & utilities > 442.5000",FALSE,45,5,0.111,0.064,22,0.136,1,1
"Michigan","unearned_income","2-3","elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.52","elderly_disabled_i > 0.375 & HH_size_n > 1.875 & unc_rawben_rel_max > 1.140",FALSE,13,1,0.077,0.023,7,0.143,1,0
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   2.00 & unc_rawben_rel_max <=   2.54 & utilities > 462.00","unc_rawben_rel_max >   1.500 & unc_rawben_rel_max <=   1.905 & utilities > 346.500",FALSE,11,2,0.182,0.078,3,0.333,0,NA
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 577.800 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   1.980",FALSE,14,2,0.143,0.061,0,NA,0,NA
"Michigan","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.97 & utilities <= 606.00","expedited_i <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.773 & utilities <= 606.000",FALSE,16,5,0.312,0.187,0,NA,0,NA
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   1.98 & unc_rawben_rel_max <=   2.30 & utilities > 462.00","unc_rawben_rel_max >   1.485 & unc_rawben_rel_max <=   1.725 & utilities > 346.500",FALSE,20,3,0.15,0.075,2,0,0,NA
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   1.98 & utilities > 590.00","unc_rawben_rel_max >   1.485 & utilities > 442.500",FALSE,21,3,0.143,0.071,3,0.333,0,NA
"Michigan","unearned_income","1","months_since_cert_n >   6.50 & percent_abawd <=   0.50 & unc_rawben_rel_max >   1.95 & utilities <= 606.00","months_since_cert_n >   5.850 & percent_abawd <=   0.450 & unc_rawben_rel_max >   1.755 & utilities <= 606.000",FALSE,11,4,0.364,0.207,0,NA,0,NA
"Michigan","unearned_income","1","months_since_cert_n >    7.50 & shelter_expenses_by_hh_size <= 1330.00 & unc_rawben_rel_max >    1.93 & utilities <=  678.00","months_since_cert_n >    8.250 & shelter_expenses_by_hh_size <= 1197.000 & unc_rawben_rel_max >    2.123 & utilities <=  745.800",FALSE,5,3,0.6,0.33,3,0,5,0
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","shelter_expenses_by_hh_size <= 577.800 & total_deductions_by_hh_size <= 568.500 & unc_rawben_rel_max >   1.737",FALSE,13,2,0.154,0.066,0,NA,0,NA
"Michigan","unearned_income","2-3","months_since_cert_n > 5.5 & unc_rawben_rel_max > 1.8","months_since_cert_n > 5.50 & unc_rawben_rel_max > 1.35",FALSE,19,1,0.053,0.016,5,0.2,1,1
"Michigan","unearned_income","1","count_divisible_by_100 <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 664.00","count_divisible_by_100 <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   2.123 & utilities <= 730.400",FALSE,7,4,0.571,0.342,5,0,4,0
"Michigan","unearned_income","1","expedited_i <=   0.50 & total_deductions_by_hh_size <= 639.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   3.19","expedited_i <=   0.450 & total_deductions_by_hh_size <= 575.100 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.871",FALSE,8,2,0.25,0.109,0,NA,0,NA
"Michigan","other_error","2-3","medical_deductions <= 747.000 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000 & unc_rawben_rel_max >   0.993","medical_deductions <= 672.300 & rawben_rel_max <=   1.096 & total_deductions_by_hh_size > 512.600 & unc_rawben_rel_max >   1.092",FALSE,5,0,0,0,4,0.25,0,NA
"Michigan","other_error","2-3","months_since_cert_n <=  36.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 468.000","months_since_cert_n <=  32.850 & rawben_rel_max >   0.993 & rawben_rel_max <=   1.096 & total_deductions_by_hh_size > 421.200",FALSE,10,0,0,0,6,0.167,0,NA
"Michigan","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000","children_i <=   0.4500 & rawben_rel_max >   0.8946 & rawben_rel_max <=   0.9960 & total_deductions_by_hh_size > 419.4000",FALSE,5,0,0,0,3,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 524.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8955 & total_deductions_by_hh_size > 393.0000",FALSE,5,1,0.2,0.062,1,0,0,NA
"Michigan","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 559.000","children_i <=   0.450 & rawben_rel_max >   0.993 & rawben_rel_max <=   1.098 & shelter_expenses_by_hh_size > 503.100",FALSE,10,3,0.3,0.154,7,0.286,0,NA
"Michigan","other_error","2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 456.000","elderly_disabled_i >   0.450 & rawben_rel_max >   0.993 & rawben_rel_max <=   1.098 & total_deductions_by_hh_size > 410.400",FALSE,9,0,0,0,7,0.143,0,NA
"Michigan","other_error","2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 559.000","elderly_disabled_i >   0.450 & rawben_rel_max >   0.993 & rawben_rel_max <=   1.098 & shelter_expenses_by_hh_size > 503.100",FALSE,11,2,0.182,0.078,8,0.125,0,NA
"Michigan","other_error","2-3","expedited_i <=   0.500 & shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.996","expedited_i <=   0.4500 & shelter_expenses_by_hh_size > 492.3000 & unc_rawben_rel_max >   0.8946 & unc_rawben_rel_max <=   1.0960",FALSE,12,3,0.25,0.127,7,0,0,NA
"Michigan","other_error","2-3","children_i <=   0.500 & shelter_expenses_by_hh_size > 499.000 & unc_rawben_rel_max >   0.992 & unc_rawben_rel_max <=   0.997","children_i <=   0.4500 & shelter_expenses_by_hh_size > 499.0000 & unc_rawben_rel_max >   0.8928 & unc_rawben_rel_max <=   1.0970",FALSE,8,2,0.25,0.109,5,0,0,NA
"Michigan","other_error","2-3","expedited_i <=   0.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 533.000 & unc_rawben_rel_max >   0.979","expedited_i <=   0.4500 & rawben_rel_max <=   1.0940 & total_deductions_by_hh_size > 479.7000 & unc_rawben_rel_max >   0.8811",FALSE,6,0,0,0,6,0.167,0,NA
"Michigan","other_error","2-3","homeless <=   0.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max >   0.979","homeless <=   0.450 & rawben_rel_max <=   1.094 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max >   1.077",FALSE,5,0,0,0,4,0.25,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max <=   0.996 & utilities > 682.000","rawben_rel_max >   0.8937 & shelter_expenses_by_hh_size > 547.0000 & unc_rawben_rel_max <=   0.9960 & utilities > 613.8000",FALSE,5,1,0.2,0.062,4,0,0,NA
"Michigan","other_error","2-3","shelter_expenses_by_hh_size > 547.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.996","shelter_expenses_by_hh_size > 683.8000 & unc_rawben_rel_max >   0.7455 & unc_rawben_rel_max <=   0.9960",FALSE,8,3,0.375,0.195,4,0,0,NA
"Michigan","other_error","2-3","elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 502.000 & unc_rawben_rel_max <=   0.996","elderly_disabled_i >   0.450 & rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 451.800 & unc_rawben_rel_max <=   1.096",FALSE,5,2,0.4,0.18,4,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 466.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8982 & total_deductions_by_hh_size > 349.5000",FALSE,6,2,0.333,0.148,3,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 345.000 & unc_rawben_rel_max >   0.993","rawben_rel_max <=   0.8955 & total_deductions_by_hh_size > 345.0000 & unc_rawben_rel_max >   0.7448",FALSE,6,2,0.333,0.148,3,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.978 & total_deductions_by_hh_size > 644.000 & unc_rawben_rel_max <=   0.998","rawben_rel_max >   0.8802 & total_deductions_by_hh_size > 483.0000 & unc_rawben_rel_max <=   1.0980",FALSE,5,0,0,0,2,0,0,NA
"Michigan","other_error","2-3","elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 543.000 & unc_rawben_rel_max >   0.993 & unc_rawben_rel_max <=   0.998","elderly_disabled_i >   0.4500 & shelter_expenses_by_hh_size > 488.7000 & unc_rawben_rel_max >   0.8937 & unc_rawben_rel_max <=   1.0980",FALSE,11,2,0.182,0.078,7,0,0,NA
"Michigan","other_error","2-3","cat_elig >   0.500 & total_deductions_by_hh_size > 475.000 & unc_rawben_rel_max >   0.993 & unc_rawben_rel_max <=   0.997","cat_elig >   0.4500 & total_deductions_by_hh_size > 475.0000 & unc_rawben_rel_max >   0.8937 & unc_rawben_rel_max <=   1.0970",FALSE,5,0,0,0,2,0,0,NA
"Michigan","other_error","2-3","months_since_cert_n <=  21.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 351.000 & unc_rawben_rel_max >   0.994","months_since_cert_n <=  19.3500 & rawben_rel_max <=   0.9950 & total_deductions_by_hh_size > 315.9000 & unc_rawben_rel_max >   0.8946",FALSE,8,1,0.125,0.038,5,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 371.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8955 & total_deductions_by_hh_size > 371.0000",FALSE,6,2,0.333,0.148,2,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.961 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 637.000","rawben_rel_max >   0.8649 & rawben_rel_max <=   0.9950 & total_deductions_by_hh_size > 477.8000",FALSE,5,0,0,0,2,0,0,NA
"Michigan","other_error","2-3","months_since_cert_n <=  10.500 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 345.000 & unc_rawben_rel_max >   0.993","months_since_cert_n <=   9.4500 & rawben_rel_max <=   0.9950 & total_deductions_by_hh_size > 310.5000 & unc_rawben_rel_max >   0.8937",FALSE,6,1,0.167,0.051,4,0,0,NA
"Michigan","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.992 & rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 301.000","children_i <=   0.450 & rawben_rel_max >   0.992 & rawben_rel_max <=   1.096 & shelter_expenses_by_hh_size > 270.900",FALSE,20,3,0.15,0.075,15,0.133,0,NA
"Michigan","other_error","2-3","children_i <=   0.500 & shelter_expenses_by_hh_size > 362.000 & unc_rawben_rel_max >   0.992 & unc_rawben_rel_max <=   0.997","children_i <=   0.4500 & shelter_expenses_by_hh_size > 362.0000 & unc_rawben_rel_max >   0.8928 & unc_rawben_rel_max <=   1.0970",FALSE,10,2,0.2,0.086,6,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & shelter_expenses_by_hh_size > 559.000 & unc_rawben_rel_max <=   1.000","rawben_rel_max >   0.993 & rawben_rel_max <=   1.094 & shelter_expenses_by_hh_size > 503.100 & unc_rawben_rel_max <=   1.100",FALSE,6,2,0.333,0.148,5,0,0,NA
"Michigan","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.997 & utilities > 472.000","children_i <=   0.450 & rawben_rel_max >   0.993 & rawben_rel_max <=   1.097 & utilities > 424.800",FALSE,20,3,0.15,0.075,15,0.133,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.995 & shelter_expenses_by_hh_size > 502.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8955 & shelter_expenses_by_hh_size > 552.2000",FALSE,6,2,0.333,0.148,2,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 553.000 & unc_rawben_rel_max >   0.993 & utilities >  28.500","rawben_rel_max <=   0.9960 & shelter_expenses_by_hh_size > 497.7000 & unc_rawben_rel_max >   0.8937 & utilities >  25.6500",FALSE,9,2,0.222,0.096,5,0,0,NA
"Michigan","other_error","2-3","children_i <=   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.998 & utilities > 420.000","children_i <=   0.4500 & rawben_rel_max >   0.8946 & rawben_rel_max <=   1.0980 & utilities > 378.0000",FALSE,27,3,0.111,0.055,19,0.105,0,NA
"Michigan","other_error","2-3","children_i <= 0.500 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.996","children_i <= 0.3750 & rawben_rel_max > 0.8946 & rawben_rel_max <= 1.0960",FALSE,34,5,0.147,0.086,22,0.136,0,NA
"Michigan","other_error","2-3","children_i <= 0.500 & HH_size_n <= 2.500 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.996","children_i <= 0.450 & HH_size_n <= 2.250 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 1.096",FALSE,5,2,0.4,0.18,1,0,0,NA
"Michigan","other_error","2-3","children_i <= 0.500 & percent_abawd <= 0.583 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.996","children_i <= 0.4500 & percent_abawd <= 0.5247 & unc_rawben_rel_max > 0.8937 & unc_rawben_rel_max <= 1.0960",FALSE,11,2,0.182,0.078,6,0,0,NA
"Michigan","other_error","2-3","rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 742.000 & unc_rawben_rel_max <=   0.998","rawben_rel_max >   0.7448 & shelter_expenses_by_hh_size > 556.5000 & unc_rawben_rel_max <=   0.8982",FALSE,5,2,0.4,0.18,2,0,0,NA
"Michigan","other_error","2-3","elderly_disabled_i > 0.500 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.996 & unc_rawben_rel_max <= 0.995","elderly_disabled_i > 0.4500 & rawben_rel_max > 0.8946 & rawben_rel_max <= 1.0960 & unc_rawben_rel_max <= 1.0940",FALSE,18,3,0.167,0.083,9,0,0,NA
"Michigan","other_error","2-3","elderly_disabled_i > 0.500 & HH_size_n <= 2.500 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.996","elderly_disabled_i > 0.450 & HH_size_n <= 2.250 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 1.096",FALSE,5,2,0.4,0.18,2,0,0,NA
