"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"North Carolina","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.5706 & unc_rawben_rel_max <= 0.6410",FALSE,7,3,0.429,0.226,3,0.667,1,1
"North Carolina","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.042",FALSE,32,5,0.156,0.091,25,0,1,0
"North Carolina","earned_income","4+","count_divisible_by_100 >   0.50 & rawben_rel_max <=   0.99 & utilities > 974.00","count_divisible_by_100 >   0.375 & rawben_rel_max <=   1.089 & utilities > 730.500",FALSE,5,1,0.2,0.062,9,0.222,0,NA
"North Carolina","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,6,2,0.333,0.148,9,0,1,0
"North Carolina","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 100.500 & unc_rawben_rel_max >   1.251 & utilities <= 876.600",FALSE,6,2,0.333,0.148,9,0,1,0
"North Carolina","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.251",FALSE,6,2,0.333,0.148,9,0,1,0
"North Carolina","earned_income","4+","rawben_rel_max >   0.837 & unc_rawben_rel_max <=   0.902 & utilities > 851.000","rawben_rel_max >   0.6278 & unc_rawben_rel_max <=   0.6765 & utilities > 638.2000",FALSE,5,3,0.6,0.33,5,0.2,0,NA
"North Carolina","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","months_since_cert_n >   4.125 & unc_rawben_rel_max >   1.365 & utilities <= 231.000",FALSE,5,2,0.4,0.18,3,0,0,NA
"North Carolina","earned_income","4+","HH_size_n >   4.5 & HH_size_n <=   8.0 & months_since_cert_n >   5.5 & utilities > 902.0","HH_size_n >   4.05 & HH_size_n <=   7.20 & months_since_cert_n >   4.95 & utilities > 811.80",FALSE,6,1,0.167,0.051,0,NA,0,NA
"North Carolina","earned_income","4+","unc_rawben_rel_max >   0.776 & unc_rawben_rel_max <=   0.961 & utilities > 974.000","unc_rawben_rel_max >   0.5820 & unc_rawben_rel_max <=   0.7208 & utilities > 730.5000",FALSE,10,5,0.5,0.312,7,0.143,0,NA
