"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Louisiana","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.5706 & unc_rawben_rel_max <= 0.7051",FALSE,8,3,0.375,0.195,2,0.5,0,NA
"Louisiana","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.042",FALSE,39,3,0.077,0.038,21,0.095,0,NA
"Louisiana","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.042",FALSE,62,5,0.081,0.046,36,0.056,0,NA
"Louisiana","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 100.500 & unc_rawben_rel_max >   1.042 & utilities <= 730.500",FALSE,21,2,0.095,0.04,12,0.167,0,NA
"Louisiana","earned_income","2-3","total_deductions_by_hh_size > 442.000 & unc_rawben_rel_max >   0.461 & unc_rawben_rel_max <=   0.778 & utilities <= 366.000","total_deductions_by_hh_size > 397.8000 & unc_rawben_rel_max >   0.4149 & unc_rawben_rel_max <=   0.8558 & utilities <= 402.6000",FALSE,6,1,0.167,0.051,0,NA,0,NA
"Louisiana","earned_income","4+","expedited_i > 0.5 & HH_size_n > 6.5 & months_since_cert_n > 5.5","expedited_i > 0.375 & HH_size_n > 4.875 & months_since_cert_n > 5.500",FALSE,5,1,0.2,0.062,2,0,0,NA
"Louisiana","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.042",FALSE,62,5,0.081,0.046,36,0.056,0,NA
"Louisiana","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","months_since_cert_n >   6.050 & unc_rawben_rel_max >   1.365 & utilities <= 231.000",FALSE,6,2,0.333,0.148,1,0,0,NA
"Louisiana","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0","months_since_cert_n >   3.150 & percent_abawd >   0.375 & total_deductions_by_hh_size > 711.800",FALSE,7,1,0.143,0.044,3,0,0,NA
"Louisiana","earned_income","4+","HH_size_n <= 4.500 & percent_abawd <= 0.775 & unc_rawben_rel_max > 1.380","HH_size_n <= 5.6250 & percent_abawd <= 0.5812 & unc_rawben_rel_max > 1.2420",FALSE,6,2,0.333,0.148,4,0.25,0,NA
"Louisiana","earned_income","4+","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 246.0 & total_deductions_by_hh_size > 190.0","HH_size_n >   4.125 & shelter_expenses_by_hh_size <= 270.600 & total_deductions_by_hh_size > 142.500",FALSE,5,1,0.2,0.062,4,0,0,NA
"Louisiana","earned_income","1","total_deductions_by_hh_size > 515.00 & unc_rawben_rel_max >   1.87 & utilities > 448.00 & utilities <= 460.00","total_deductions_by_hh_size > 463.50 & unc_rawben_rel_max >   1.87 & utilities > 403.20 & utilities <= 414.00",FALSE,7,2,0.286,0.125,9,0,0,NA
