"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Washington","earned_income","1","months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.88 & utilities > 448.00 & utilities <= 466.00","months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.88 & utilities > 448.00 & utilities <= 466.00",TRUE,8,3,0.375,0.195,2,0.5,2,0.5
"Washington","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.251",FALSE,7,1,0.143,0.044,4,0.25,0,NA
"Washington","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,7,1,0.143,0.044,4,0.25,0,NA
"Washington","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 167.500 & unc_rawben_rel_max >   1.251 & utilities <= 730.500",FALSE,5,1,0.2,0.062,0,NA,0,NA
"Washington","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.251",FALSE,7,1,0.143,0.044,4,0.25,0,NA
"Washington","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","months_since_cert_n >   4.125 & unc_rawben_rel_max >   1.365 & utilities <= 231.000",FALSE,8,1,0.125,0.038,5,0.2,2,0
"Washington","earned_income","2-3","rawben_rel_max <=    0.967 & shelter_expenses_by_hh_size > 1340.000 & utilities >  606.000","rawben_rel_max <=    1.064 & shelter_expenses_by_hh_size > 1206.000 & utilities >  454.500",FALSE,5,2,0.4,0.18,0,NA,0,NA
"Washington","earned_income","2-3","rawben_rel_max <=    0.967 & shelter_expenses_by_hh_size > 1350.000","rawben_rel_max <=    1.064 & shelter_expenses_by_hh_size > 1215.000",FALSE,5,2,0.4,0.18,0,NA,0,NA
"Washington","earned_income","4+","HH_size_n <= 4.500 & percent_abawd <= 0.775 & unc_rawben_rel_max > 1.380","HH_size_n <= 4.0500 & percent_abawd <= 0.5812 & unc_rawben_rel_max > 1.2420",FALSE,7,1,0.143,0.044,4,0.25,0,NA
"Washington","earned_income","4+","rawben_rel_max >   0.972 & shelter_expenses_by_hh_size > 463.000 & unc_rawben_rel_max >   1.200 & utilities > 508.000","rawben_rel_max >   0.8748 & shelter_expenses_by_hh_size > 509.3000 & unc_rawben_rel_max >   1.0800 & utilities > 457.2000",FALSE,5,1,0.2,0.062,0,NA,0,NA
