"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Connecticut","earned_income","4+","count_divisible_by_100 >   0.5 & utilities > 974.0","count_divisible_by_100 >   0.375 & utilities > 876.600",FALSE,5,2,0.4,0.18,5,0.2,0,NA
"Connecticut","earned_income","2-3","elderly_disabled_i <=   0.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.958 & utilities > 902.000","elderly_disabled_i <=   0.450 & months_since_cert_n >   4.950 & rawben_rel_max <=   0.958 & utilities > 811.800",FALSE,24,9,0.375,0.26,28,0.214,27,0.222
"Connecticut","earned_income","2-3","elderly_disabled_i <=   0.500 & months_since_cert_n >   9.500 & percent_abawd <=   0.167 & total_deductions_by_hh_size > 442.000","elderly_disabled_i <=   0.4500 & months_since_cert_n >   8.5500 & percent_abawd <=   0.1503 & total_deductions_by_hh_size > 442.0000",FALSE,11,5,0.455,0.281,3,0.333,1,0
"Connecticut","earned_income","4+","HH_size_n >   4.5 & HH_size_n <=   7.5 & months_since_cert_n >   7.5 & utilities > 851.0","HH_size_n >   4.05 & HH_size_n <=   7.50 & months_since_cert_n >   6.75 & utilities > 851.00",FALSE,11,6,0.545,0.36,15,0.4,13,0.462
"Connecticut","earned_income","4+","rawben_rel_max >   0.972 & shelter_expenses_by_hh_size > 463.000 & unc_rawben_rel_max >   1.200 & utilities > 508.000","rawben_rel_max >   0.8748 & shelter_expenses_by_hh_size > 463.0000 & unc_rawben_rel_max >   1.0800 & utilities > 457.2000",FALSE,5,2,0.4,0.18,4,0,3,0
"Connecticut","earned_income","4+","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 246.0 & total_deductions_by_hh_size > 190.0","HH_size_n >   4.125 & shelter_expenses_by_hh_size <= 246.000 & total_deductions_by_hh_size > 142.500",FALSE,5,0,0,0,1,0,0,NA
"Connecticut","earned_income","4+","cat_elig <=   1.500 & count_divisible_by_100 >   0.500 & rawben_rel_max <=   0.971 & utilities > 851.000","cat_elig <=   1.350 & count_divisible_by_100 >   0.450 & rawben_rel_max <=   1.068 & utilities > 765.900",FALSE,6,0,0,0,5,0.2,3,0.333
"Connecticut","earned_income","4+","count_divisible_by_100 <=    1.500 & unc_rawben_rel_max <=    0.962 & utilities >  974.000 & utilities <= 1000.000","count_divisible_by_100 <=    1.350 & unc_rawben_rel_max <=    0.962 & utilities >  876.600 & utilities <= 1000.000",FALSE,53,22,0.415,0.332,59,0.271,0,NA
"Connecticut","earned_income","2-3","elderly_disabled_i <=   0.500 & rawben_rel_max >   0.938 & shelter_expenses_by_hh_size > 639.000 & unc_rawben_rel_max <=   0.970","elderly_disabled_i <=   0.4500 & rawben_rel_max >   0.8442 & shelter_expenses_by_hh_size > 575.1000 & unc_rawben_rel_max <=   0.9700",FALSE,9,2,0.222,0.096,3,0,2,0
"Connecticut","earned_income","2-3","shelter_expenses_by_hh_size >= 942 & total_deductions_by_hh_size >= 446 & total_deductions_by_hh_size < 530 & utilities >= 723","shelter_expenses_by_hh_size >= 847.8 & total_deductions_by_hh_size >= 446.0 & total_deductions_by_hh_size < 583.0 & utilities >= 795.3",FALSE,6,3,0.5,0.268,18,0.222,7,0.429
