"state","budget","n_pool","n_state_pool","n_core","n_buffer","n_state_rules_core","n_state_rules_buffer","n_artifact_dropped_blend","n_state_pool_tagged","state_pool_held","fill_cases","fill_gap_core","fill_gap_total","cap_buf"
"Pennsylvania",0.1,64472,5583,68,144,3,3,2001,116,FALSE,688,0,0,688
"Rhode Island",0.05,71632,12730,11,24,4,5,1900,15,FALSE,377,0,0,377
"Rhode Island",0.1,71632,12730,29,57,6,15,1900,15,FALSE,754,0,0,754
"South Carolina",0.05,70856,11936,26,44,1,6,1885,0,FALSE,349,0,0,349
"South Carolina",0.1,70856,11936,46,106,4,7,1885,0,FALSE,698,0,0,698
"South Dakota",0.05,59097,62,48,64,0,0,1885,0,FALSE,249,0,0,249
"South Dakota",0.1,59097,62,75,149,0,0,1885,0,FALSE,498,0,0,498
"Tennessee",0.05,69200,10258,41,84,1,3,1900,15,FALSE,415,0,0,415
"Tennessee",0.1,69200,10258,83,187,2,4,1900,15,FALSE,831,0,0,831
"Texas",0.05,64830,5832,35,53,1,5,1893,8,FALSE,349,0,0,349
"Texas",0.1,64830,5832,54,123,5,4,1893,8,FALSE,699,0,0,699
"Utah",0.05,62556,3542,60,99,0,0,1885,0,FALSE,432,0,0,432
"Utah",0.1,62556,3542,99,216,0,0,1885,0,FALSE,864,0,0,864
"Vermont",0.05,62009,2989,37,68,0,0,1885,0,FALSE,299,0,0,299
"Vermont",0.1,62009,2989,66,111,0,0,1885,0,FALSE,598,0,0,598
"Virginia",0.05,70044,11044,36,31,0,6,1885,0,FALSE,323,0,0,323
"Virginia",0.1,70044,11044,38,114,4,8,1885,0,FALSE,646,0,0,646
"Washington",0.05,65000,6460,52,69,0,3,2337,453,FALSE,293,0,0,293
"Washington",0.1,65000,6460,92,123,1,2,2337,453,FALSE,587,0,0,587
"West Virginia",0.05,65382,6376,52,82,1,2,1885,0,FALSE,316,0,0,316
"West Virginia",0.1,65382,6376,99,160,1,3,1885,0,FALSE,632,0,0,632
"Wisconsin",0.05,66462,7685,67,108,0,0,2102,217,FALSE,444,0,0,444
"Wisconsin",0.1,66462,7685,131,214,0,0,2102,217,FALSE,888,0,0,888
"Wyoming",0.05,59035,0,33,41,0,0,1885,0,FALSE,120,0,0,120
"Wyoming",0.1,59035,0,47,105,0,0,1885,0,FALSE,241,0,0,241
