"state","budget","f_min","n_rules_core","n_rules_total","used_completion","window_redone","walk_depth","base_precision","rewalk_precision","precision_diff","base_errors","rewalk_errors","base_dollar_recall_unw","rewalk_dollar_recall_unw","dollar_recall_unw_diff","base_dollar_recall_wtd","rewalk_dollar_recall_wtd","dollar_recall_wtd_diff","base_flagged_share","rewalk_flagged_share","fill_rate"
"Alabama",5,0.25,54,131,FALSE,FALSE,2022,0.4,0.452380952380952,0.0523809523809524,20,19,0.130196892847158,0.12468549063461,-0.00551140221254842,0.128411220363787,0.122636942485284,-0.00577427787850346,0.0481231953801732,0.0404234841193455,0.80846968238691
"Alabama",5,0.4,49,123,FALSE,FALSE,2507,0.4,0.434782608695652,0.0347826086956521,20,20,0.130196892847158,0.134390351052358,0.0041934582051999,0.128411220363787,0.129639213471604,0.00122799310781666,0.0481231953801732,0.0442733397497594,0.885466794995188
"Alabama",5,0.5,48,110,FALSE,FALSE,2253,0.4,0.447368421052632,0.0473684210526316,20,17,0.130196892847158,0.110028355765007,-0.0201685370821518,0.128411220363787,0.107609029630047,-0.0208021907337405,0.0481231953801732,0.0365736284889317,0.731472569778633
"Alabama",5,0.55,47,99,FALSE,FALSE,2636,0.4,0.434782608695652,0.0347826086956521,20,20,0.130196892847158,0.125883621550381,-0.00431327129677703,0.128411220363787,0.124670904124281,-0.0037403162395063,0.0481231953801732,0.0442733397497594,0.885466794995188
"Alabama",5,0.6,47,114,FALSE,FALSE,3510,0.4,0.434782608695652,0.0347826086956521,20,20,0.130196892847158,0.125883621550381,-0.00431327129677703,0.128411220363787,0.124670904124281,-0.0037403162395063,0.0481231953801732,0.0442733397497594,0.885466794995188
"Alabama",5,0.65,44,106,FALSE,FALSE,3370,0.4,0.411764705882353,0.0117647058823529,20,21,0.130196892847158,0.135069291904629,0.00487239905747033,0.128411220363787,0.136692748599132,0.0082815282353452,0.0481231953801732,0.0490856592877767,0.981713185755534
"Alabama",5,0.7,44,105,FALSE,FALSE,3618,0.4,0.411764705882353,0.0117647058823529,20,21,0.130196892847158,0.136107672031631,0.00591077918447222,0.128411220363787,0.135965750526684,0.00755453016289676,0.0481231953801732,0.0490856592877767,0.981713185755534
"Alabama",5,0.75,46,118,FALSE,FALSE,5262,0.4,0.392156862745098,-0.00784313725490199,20,20,0.130196892847158,0.126083310036343,-0.00411358281081514,0.128411220363787,0.122799872392709,-0.00561134797107868,0.0481231953801732,0.0490856592877767,0.981713185755534
"Alabama",10,0.25,93,224,FALSE,FALSE,6043,0.327102803738318,0.32258064516129,-0.00452215857702742,35,30,0.253244937896881,0.202603937856943,-0.0506410000399377,0.247385566524338,0.206001245558661,-0.0413843209656769,0.102983638113571,0.0895091434071222,0.895091434071222
"Alabama",10,0.4,84,216,FALSE,FALSE,8780,0.327102803738318,0.301470588235294,-0.0256322155030236,35,41,0.253244937896881,0.329845441111865,0.0766005032149846,0.247385566524338,0.314702519220397,0.0673169526960594,0.102983638113571,0.130895091434071,1.30895091434071
"Alabama",10,0.5,83,238,FALSE,FALSE,10555,0.327102803738318,0.32258064516129,-0.00452215857702742,35,40,0.253244937896881,0.324174288110548,0.0709293502136667,0.247385566524338,0.308531200358027,0.0611456338336893,0.102983638113571,0.11934552454283,1.1934552454283
