"idx","var","lo","hi","width","rel_width","state","rank","rule"
3143,"total_deductions_by_hh_size",236,261,25,0.0957854406130268,"Wisconsin",107,"HH_size_n < 6 & shelter_expenses_by_hh_size >= 464 & total_deductions_by_hh_size >= 236 & total_deductions_by_hh_size < 261"
3207,"total_deductions_by_hh_size",236,261,25,0.0957854406130268,"Wyoming",40,"HH_size_n < 6 & shelter_expenses_by_hh_size >= 464 & total_deductions_by_hh_size >= 236 & total_deductions_by_hh_size < 261"
90,"earned_by_hh_size",725,751,26,0.0346205059920107,"Alabama",90,"earned_by_hh_size >= 725 & earned_by_hh_size < 751 & months_since_cert_n >= 6 & rawben_rel_max >= 0.377"
185,"earned_by_hh_size",725,751,26,0.0346205059920107,"Arkansas",59,"earned_by_hh_size >= 725 & earned_by_hh_size < 751 & months_since_cert_n >= 6 & rawben_rel_max >= 0.377"
879,"earned_by_hh_size",725,751,26,0.0346205059920107,"Kansas",84,"earned_by_hh_size >= 725 & earned_by_hh_size < 751 & months_since_cert_n >= 6 & rawben_rel_max >= 0.377"
2200,"earned_by_hh_size",725,751,26,0.0346205059920107,"Ohio",86,"earned_by_hh_size >= 725 & earned_by_hh_size < 751 & months_since_cert_n >= 6 & rawben_rel_max >= 0.377"
3152,"earned_by_hh_size",725,751,26,0.0346205059920107,"Wisconsin",116,"earned_by_hh_size >= 725 & earned_by_hh_size < 751 & months_since_cert_n >= 6 & rawben_rel_max >= 0.377"
198,"unearned_by_hh_size",19.6,54.3,34.7,0.639042357274401,"Arkansas",72,"rawben_rel_max <= 0.99 & total_deductions_by_hh_size > 159 & unearned_by_hh_size > 19.6 & unearned_by_hh_size <= 54.3"
985,"unearned_by_hh_size",19.6,54.3,34.7,0.639042357274401,"Kentucky",94,"rawben_rel_max <= 0.99 & total_deductions_by_hh_size > 159 & unearned_by_hh_size > 19.6 & unearned_by_hh_size <= 54.3"
3014,"earned_by_hh_size",0.167,36.8,36.633,0.995461956521739,"West Virginia",77,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 36.8 & shelter_expenses_by_hh_size <= 852 & unc_rawben_rel_max <= 1"
216,"earned_by_hh_size",346,387,41,0.10594315245478,"Arkansas",90,"earned_by_hh_size >= 346 & earned_by_hh_size < 387 & months_since_cert_n < 2 & utilities < 426"
624,"gross_by_hh_size",579,623,44,0.0706260032102729,"Illinois",42,"gross_by_hh_size > 579 & gross_by_hh_size <= 623 & shelter_expenses_by_hh_size > 1520 & total_deductions_by_hh_size > 0.25"
1311,"gross_by_hh_size",579,623,44,0.0706260032102729,"Minnesota",42,"gross_by_hh_size > 579 & gross_by_hh_size <= 623 & shelter_expenses_by_hh_size > 1520 & total_deductions_by_hh_size > 0.25"
1484,"gross_by_hh_size",579,623,44,0.0706260032102729,"Montana",33,"gross_by_hh_size > 579 & gross_by_hh_size <= 623 & shelter_expenses_by_hh_size > 1520 & total_deductions_by_hh_size > 0.25"
1668,"gross_by_hh_size",579,623,44,0.0706260032102729,"Nevada",32,"gross_by_hh_size > 579 & gross_by_hh_size <= 623 & shelter_expenses_by_hh_size > 1520 & total_deductions_by_hh_size > 0.25"
2532,"gross_by_hh_size",579,623,44,0.0706260032102729,"Tennessee",27,"gross_by_hh_size > 579 & gross_by_hh_size <= 623 & shelter_expenses_by_hh_size > 1520 & total_deductions_by_hh_size > 0.25"
2621,"total_deductions_by_hh_size",122,167,45,0.269461077844311,"Texas",33,"shelter_expenses_by_hh_size > 218 & shelter_expenses_by_hh_size <= 338 & total_deductions_by_hh_size > 122 & total_deductions_by_hh_size <= 167"
3013,"total_deductions_by_hh_size",227,276,49,0.177536231884058,"West Virginia",76,"months_since_cert_n >= 7 & total_deductions_by_hh_size >= 227 & total_deductions_by_hh_size < 276 & unc_rawben_rel_max < 1.07"
108,"earned_by_hh_size",580,630,50,0.0793650793650794,"Arizona",17,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
133,"earned_by_hh_size",580,630,50,0.0793650793650794,"Arkansas",7,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
230,"earned_by_hh_size",580,630,50,0.0793650793650794,"California",14,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
292,"earned_by_hh_size",580,630,50,0.0793650793650794,"Colorado",15,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
370,"earned_by_hh_size",580,630,50,0.0793650793650794,"Connecticut",15,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
694,"earned_by_hh_size",580,630,50,0.0793650793650794,"Iowa",14,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
814,"earned_by_hh_size",580,630,50,0.0793650793650794,"Kansas",19,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & unc_rawben_rel_max >= 1.32"
1087,"earned_by_hh_size",580,630,50,0.0793650793650794,"Maine",12,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
1156,"earned_by_hh_size",580,630,50,0.0793650793650794,"Maryland",20,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
1177,"earned_by_hh_size",580,630,50,0.0793650793650794,"Massachusetts",16,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
1221,"earned_by_hh_size",580,630,50,0.0793650793650794,"Michigan",13,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 999 & unc_rawben_rel_max >= 1.32"
1354,"earned_by_hh_size",580,630,50,0.0793650793650794,"Mississippi",16,"earned_by_hh_size >= 580 & earned_by_hh_size < 630 & unc_rawben_rel_max >= 1.32"
