"state","rank","rule","hh","drift"
"Alabama",2,"elderly_disabled_i >= 1 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1 & utilities > 477","2-3",TRUE
"Alabama",4,"rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1",TRUE
"Alabama",7,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.04 & unearned_by_hh_size >= 384 & utilities < 391","1",TRUE
"Alabama",8,"total_deductions_by_hh_size > 523 & unc_rawben_rel_max > 0.975 & unc_rawben_rel_max <= 1 & utilities > 27.5","2-3",FALSE
"Alabama",11,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.03 & unearned_by_hh_size >= 222 & utilities < 452","1",TRUE
"Alabama",13,"children_i <= 0 & medical_deductions > 138 & total_deductions_by_hh_size > 542 & utilities <= 504","2-3",TRUE
"Alabama",16,"elderly_disabled_i >= 1 & rawben_rel_max >= 0.773 & shelter_expenses_by_hh_size >= 634 & utilities < 27","1",FALSE
"Alabama",22,"earned_by_hh_size >= 528 & unc_rawben_rel_max >= 1.32 & utilities < 462","1",TRUE
"Alabama",24,"gross_by_hh_size > 964 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities <= 29.5","1",FALSE
"Alabama",26,"gross_by_hh_size > 1200 & unc_rawben_rel_max > 0.384 & utilities <= 16","1",FALSE
"Alabama",28,"months_since_cert_n >= 17 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.02 & utilities < 797","1",TRUE
"Alabama",36,"rawben_rel_max >= 0.993 & unc_rawben_rel_max < 1.03 & unearned_by_hh_size >= 222 & utilities < 612","1",TRUE
"Alabama",41,"gross_by_hh_size > 451 & percent_abawd <= 0.5 & rawben_rel_max > 0.993 & utilities <= 8","1",FALSE
"Alabama",44,"shelter_expenses_by_hh_size >= 876 & unearned_by_hh_size >= 546 & utilities < 452","2-3",TRUE
"Alabama",50,"months_since_cert_n > 11.5 & months_since_cert_n <= 17.5 & unearned_by_hh_size <= 220 & utilities > 471","4+",TRUE
"Alabama",61,"rawben_rel_max >= 0.256 & unearned_by_hh_size >= 1040 & utilities >= 306 & utilities < 679","2-3",TRUE
"Alabama",63,"earned_by_hh_size >= 430 & unc_rawben_rel_max >= 1.32 & utilities < 553","1",TRUE
"Alabama",65,"percent_abawd >= 0.667 & rawben_rel_max < 0.711 & unearned_by_hh_size >= 0.5 & utilities < 860","2-3",TRUE
"Alabama",66,"earned_by_hh_size >= 303 & unc_rawben_rel_max >= 1.16 & utilities < 680","2-3",TRUE
"Alabama",69,"elderly_disabled_i >= 1 & months_since_cert_n <= 2.5 & shelter_expenses_by_hh_size > 952 & utilities <= 8","1",FALSE
"Alabama",77,"bbce_state_i >= 1 & months_since_cert_n >= 10 & total_deductions_by_hh_size >= 554 & utilities < 860","2-3",TRUE
"Alabama",80,"gross_by_hh_size > 704 & shelter_expenses_by_hh_size > 976 & total_deductions_by_hh_size > 340 & utilities <= 916","2-3",TRUE
"Alabama",83,"rawben_rel_max >= 1 & unc_rawben_rel_max < 1.01 & utilities < 360","1",TRUE
"Alabama",86,"children_i >= 1 & gross_by_hh_size >= 217 & unc_rawben_rel_max >= 1.1 & utilities < 347","2-3",TRUE
"Alabama",87,"expedited_i <= 0 & rawben_rel_max > 0.997 & unc_rawben_rel_max <= 1 & utilities > 370","2-3",TRUE
