"state","fy","n","mx","md","mode_share","n_distinct","tiered"
"Montana","2022",373,669,600,0.914209115281501,6,TRUE
"Montana","2023",372,669,669,0.93010752688172,5,TRUE
"Montana","2024",374,723,723,0.911764705882353,6,TRUE
"Nebraska","2017",681,469,457,0.832599118942731,5,TRUE
"Nebraska","2018",670,596,469,0.853731343283582,8,TRUE
"Nebraska","2019",735,532,481,0.827210884353741,8,TRUE
"Nebraska","2022",714,553,511,0.812324929971989,5,TRUE
"Nebraska","2023",675,580,553,0.828148148148148,9,TRUE
"Nebraska","2024",705,633,580,0.868085106382979,5,TRUE
"Nevada","2017",534,440,276,0.850187265917603,17,FALSE
"Nevada","2018",488,276,266,0.866803278688525,7,TRUE
"Nevada","2019",513,285,285,0.842105263157895,7,TRUE
"Nevada","2022",531,370,284,0.824858757062147,7,TRUE
"Nevada","2023",526,412,370,0.863117870722434,7,TRUE
"Nevada","2024",491,497,412,0.835030549898167,7,TRUE
"New Hampshire","2017",491,689,659,0.637474541751528,13,FALSE
"New Hampshire","2018",456,689,689,0.649122807017544,11,FALSE
"New Hampshire","2019",459,724,724,0.662309368191721,8,TRUE
"New Hampshire","2022",391,965,757,0.662404092071611,9,TRUE
"New Hampshire","2023",478,965,965,0.765690376569038,10,TRUE
"New Hampshire","2024",483,966,956,0.813664596273292,7,TRUE
"New Jersey","2017",515,514,501,0.866019417475728,5,TRUE
"New Jersey","2018",493,542,514,0.900608519269777,6,TRUE
"New Jersey","2019",530,542,542,0.909433962264151,6,TRUE
"New Jersey","2022",457,583,583,0.975929978118162,5,TRUE
"New Jersey","2023",506,730,730,0.980237154150198,4,TRUE
"New Jersey","2024",556,850,850,0.994604316546763,3,TRUE
"New Mexico","2017",627,463,325,0.861244019138756,8,TRUE
"New Mexico","2018",629,344,320,0.850556438791733,5,TRUE
"New Mexico","2019",570,344,344,0.82280701754386,5,TRUE
"New Mexico","2022",670,388,385,0.92089552238806,6,TRUE
"New Mexico","2023",657,388,388,0.917808219178082,4,TRUE
"New Mexico","2024",646,417,417,0.888544891640867,4,TRUE
"New York","2017",589,791,758,0.480475382003396,9,TRUE
"New York","2018",583,800,791,0.433962264150943,13,FALSE
"New York","2019",582,800,800,0.475945017182131,10,TRUE
"New York","2022",595,852,852,0.484033613445378,7,TRUE
"New York","2023",557,1002,1002,0.55834829443447,8,TRUE
