"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",1,"rawearn >= 593 & unc_rawben_rel_max < 0.9737 & rawben_rel_max < 0.3295 & expedited_i %in% c(""TRUE"")",25,0.2102,0.6,0.0237,0.0189,0.0237,15,"earned_overissuance"
"1",2,"rawgross < 4 & count_divisible_by_100 >= 0.5 & shelter_expenses < 79.5",37,0.3111,0.6216,0.0336,0.029,0.0336,23,"earned_overissuance"
"1",3,"rawunearn < 27.5 & rawben_rel_max < 0.9584 & expedited_i %in% c(""TRUE"") & shelter_expenses < 877",65,0.5464,0.6154,0.0551,0.0504,0.0551,40,"earned_overissuance"
"1",4,"rawunearn < 497.5 & unc_rawben_rel_max >= 1.848 & shelter_expenses < 606",84,0.7062,0.6071,0.0698,0.0643,0.0698,51,"earned_overissuance"
"1",5,"total_deductions < 799.5 & count_divisible_by_100 < 1.5 & unc_rawben_rel_max >= 1.471 & shelter_expenses < 303.5",102,0.8575,0.5882,0.0822,0.0757,0.0822,60,"earned_overissuance"
"1",6,"rawearn >= 676.5 & rawben_rel_max < 0.5178 & expedited_i %in% c(""TRUE"")",109,0.9164,0.5872,0.0869,0.0807,0.0869,64,"earned_overissuance"
"1",7,"unc_rawben_rel_max >= 1.986 & shelter_expenses >= 1407",141,1.1854,0.5603,0.1063,0.0996,0.1063,79,"earned_overissuance"
"1",8,"rawunearn < 494.5 & unc_rawben_rel_max < 0.9668 & shelter_expenses >= 293.5 & rawgross < 974",202,1.6982,0.5446,0.1369,0.1387,0.1369,110,"earned_overissuance"
"1",9,"unc_rawben_rel_max >= 1.229 & utilities < 346 & months_since_cert_n >= 7.5",273,2.2951,0.5018,0.1773,0.1728,0.1773,137,"earned_overissuance"
"1",10,"rawunearn < 757.5 & rawgross < 759.5 & shelter_expenses >= 1208 & months_since_cert_n >= 3.5",411,3.4552,0.455,0.2522,0.2358,0.2522,187,"earned_overissuance"
"1",11,"rawunearn < 492.5 & unc_rawben_rel_max < 0.7526 & months_since_cert_n >= 8.5",494,4.153,0.4494,0.2917,0.2799,0.2917,222,"earned_overissuance"
"1",12,"rawunearn >= 620.5 & shelter_expenses >= 1658 & rawben_rel_max < 0.9526 & rawunearn < 1786",525,4.4136,0.4476,0.3066,0.2963,0.3066,235,"earned_overissuance"
"1",13,"count_divisible_by_100 < 1.5 & total_deductions >= 834.3 & shelter_expenses < 1120 & shelter_expenses >= 1084",553,4.649,0.443,0.3198,0.309,0.3198,245,"earned_overissuance"
