"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"4+","rule749","rawearn >= 1048 & months_since_cert_n >= 6.5 & utilities >= 902",3,"INCLUDE",-0.045,0.004,0.8,89,27,62,0.303,0.035,0.034,4.55,0.067,"earned_overissuance"
"4+","rule869","shelter_expenses >= 1302 & rawben_rel_max >= 0.7989 & rawgross >= 1116 & rawgross < 1194",4,"INCLUDE",-0.669,0.04,0.4,41,12,29,0.293,0.015,0.025,4.39,0.067,"earned_overissuance"
"4+","rule1056","shelter_expenses >= 975.5 & rawgross < 10 & months_since_cert_n < 0.5",3,"INCLUDE",-0.469,0.028,0.4,41,12,29,0.293,0.015,0.013,4.39,0.067,"earned_overissuance"
"4+","rule939","shelter_expenses >= 1252 & unc_rawben_rel_max >= 1.159 & months_since_cert_n < 0.5",3,"INCLUDE",-0.027,0.002,0.3,38,11,27,0.289,0.014,0.014,4.34,0.067,"earned_overissuance"
"4+","rule1064","rawearn >= 151.5 & utilities < 304.5 & utilities >= 286.5 & married < 0.5",4,"INCLUDE",-0.907,0.079,0.8,90,25,65,0.278,0.032,0.017,4.17,0.067,"earned_overissuance"
"4+","rule699","rawearn >= 797.5 & total_deductions < 179.7",2,"INCLUDE",-0.807,0.045,0.3,36,10,26,0.278,0.013,0.018,4.17,0.067,"earned_overissuance"
"4+","rule644","rawearn >= 242 & total_deductions < 76.4",2,"INCLUDE",-1.075,0.047,0.2,22,6,16,0.273,0.008,0.011,4.09,0.067,"earned_overissuance"
"4+","rule914","total_deductions >= 1826 & months_since_cert_n >= 4.5",2,"INCLUDE",-0.454,0.027,0.4,41,11,30,0.268,0.014,0.015,4.02,0.067,"earned_overissuance"
"4+","rule430","shelter_expenses >= 1302 & rawben_rel_max >= 0.5961 & rawben_rel_max < 0.6088",3,"INCLUDE",-0.508,0.029,0.3,38,10,28,0.263,0.013,0.011,3.95,0.067,"earned_overissuance"
"4+","rule827","months_since_cert_n >= 10.5 & rawearn >= 1280 & rawearn < 2066",3,"INCLUDE",-0.146,0.012,0.7,80,21,59,0.262,0.027,0.027,3.94,0.067,"earned_overissuance"
"4+","rule1040","unc_rawben_rel_max < 1.38 & rawgross >= 1122 & rawgross < 1154",3,"INCLUDE",-0.757,0.053,0.5,58,15,43,0.259,0.019,0.032,3.88,0.067,"earned_overissuance"
"4+","rule397","shelter_expenses >= 1278 & unc_rawben_rel_max >= 1.267 & utilities >= 517.5",3,"INCLUDE",-0.092,0.006,0.4,47,12,35,0.255,0.015,0.018,3.83,0.067,"earned_overissuance"
"4+","rule515","rawearn >= 121 & rawgross < 1892 & rawben_rel_max < 0.9931 & shelter_expenses >= 1687",4,"INCLUDE",-0.581,0.068,1.4,163,41,122,0.252,0.053,0.071,3.77,0.067,"earned_overissuance"
"4+","rule556","total_deductions >= 668.9 & rawgross < 210 & shelter_expenses >= 1652",3,"INCLUDE",-0.192,0.014,0.6,65,16,49,0.246,0.021,0.022,3.69,0.067,"earned_overissuance"
"4+","rule328","shelter_expenses >= 1698 & utilities >= 851 & rawearn < 3420 & rawearn >= 1389",4,"INCLUDE",-0.656,0.075,1.3,155,38,117,0.245,0.049,0.045,3.68,0.067,"earned_overissuance"
