"hh_size","recall_floor","precision","recall_obj","n_flagged","workload_pct","errors_caught","n_rules","net","error_tag"
"1",0.2,0.455,0.2522,411,3.4552,187,10,"rawearn >= 593 & unc_rawben_rel_max < 0.9737 & rawben_rel_max < 0.3295 & expedited_i %in% c(""TRUE"")  OR  rawgross < 4 & count_divisible_by_100 >= 0.5 & shelter_expenses < 79.5  OR  rawunearn < 27.5 & rawben_rel_max < 0.9584 & expedited_i %in% c(""TRUE"") & shelter_expenses < 877  OR  rawunearn < 497.5 & unc_rawben_rel_max >= 1.848 & shelter_expenses < 606  OR  total_deductions < 799.5 & count_divisible_by_100 < 1.5 & unc_rawben_rel_max >= 1.471 & shelter_expenses < 303.5  OR  rawearn >= 676.5 & rawben_rel_max < 0.5178 & expedited_i %in% c(""TRUE"")  OR  unc_rawben_rel_max >= 1.986 & shelter_expenses >= 1407  OR  rawunearn < 494.5 & unc_rawben_rel_max < 0.9668 & shelter_expenses >= 293.5 & rawgross < 974  OR  unc_rawben_rel_max >= 1.229 & utilities < 346 & months_since_cert_n >= 7.5  OR  rawunearn < 757.5 & rawgross < 759.5 & shelter_expenses >= 1208 & months_since_cert_n >= 3.5","earned_overissuance"
"1",0.3,0.4476,0.3066,525,4.4136,235,12,"rawearn >= 593 & unc_rawben_rel_max < 0.9737 & rawben_rel_max < 0.3295 & expedited_i %in% c(""TRUE"")  OR  rawgross < 4 & count_divisible_by_100 >= 0.5 & shelter_expenses < 79.5  OR  rawunearn < 27.5 & rawben_rel_max < 0.9584 & expedited_i %in% c(""TRUE"") & shelter_expenses < 877  OR  rawunearn < 497.5 & unc_rawben_rel_max >= 1.848 & shelter_expenses < 606  OR  total_deductions < 799.5 & count_divisible_by_100 < 1.5 & unc_rawben_rel_max >= 1.471 & shelter_expenses < 303.5  OR  rawearn >= 676.5 & rawben_rel_max < 0.5178 & expedited_i %in% c(""TRUE"")  OR  unc_rawben_rel_max >= 1.986 & shelter_expenses >= 1407  OR  rawunearn < 494.5 & unc_rawben_rel_max < 0.9668 & shelter_expenses >= 293.5 & rawgross < 974  OR  unc_rawben_rel_max >= 1.229 & utilities < 346 & months_since_cert_n >= 7.5  OR  rawunearn < 757.5 & rawgross < 759.5 & shelter_expenses >= 1208 & months_since_cert_n >= 3.5  OR  rawunearn < 492.5 & unc_rawben_rel_max < 0.7526 & months_since_cert_n >= 8.5  OR  rawunearn >= 620.5 & shelter_expenses >= 1658 & rawben_rel_max < 0.9526 & rawunearn < 1786","earned_overissuance"
"1",0.4,0.4034,0.4051,756,6.3556,305,15,"rawearn >= 593 & unc_rawben_rel_max < 0.9737 & rawben_rel_max < 0.3295 & expedited_i %in% c(""TRUE"")  OR  rawgross < 4 & count_divisible_by_100 >= 0.5 & shelter_expenses < 79.5  OR  rawunearn < 27.5 & rawben_rel_max < 0.9584 & expedited_i %in% c(""TRUE"") & shelter_expenses < 877  OR  rawunearn < 497.5 & unc_rawben_rel_max >= 1.848 & shelter_expenses < 606  OR  total_deductions < 799.5 & count_divisible_by_100 < 1.5 & unc_rawben_rel_max >= 1.471 & shelter_expenses < 303.5  OR  rawearn >= 676.5 & rawben_rel_max < 0.5178 & expedited_i %in% c(""TRUE"")  OR  unc_rawben_rel_max >= 1.986 & shelter_expenses >= 1407  OR  rawunearn < 494.5 & unc_rawben_rel_max < 0.9668 & shelter_expenses >= 293.5 & rawgross < 974  OR  unc_rawben_rel_max >= 1.229 & utilities < 346 & months_since_cert_n >= 7.5  OR  rawunearn < 757.5 & rawgross < 759.5 & shelter_expenses >= 1208 & months_since_cert_n >= 3.5  OR  rawunearn < 492.5 & unc_rawben_rel_max < 0.7526 & months_since_cert_n >= 8.5  OR  rawunearn >= 620.5 & shelter_expenses >= 1658 & rawben_rel_max < 0.9526 & rawunearn < 1786  OR  count_divisible_by_100 < 1.5 & total_deductions >= 834.3 & shelter_expenses < 1120 & shelter_expenses >= 1084  OR  rawunearn < 365.5 & total_deductions < 106.2 & utilities >= 9.5 & shelter_expenses < 40.5  OR  unc_rawben_rel_max >= 1.769 & months_since_cert_n >= 3.5 & utilities < 708.5","earned_overissuance"
"1",0.5,0.3892,0.5028,1033,8.6843,402,18,"rawearn >= 593 & unc_rawben_rel_max < 0.9737 & rawben_rel_max < 0.3295 & expedited_i %in% c(""TRUE"")  OR  rawgross < 4 & count_divisible_by_100 >= 0.5 & shelter_expenses < 79.5  OR  rawunearn < 27.5 & rawben_rel_max < 0.9584 & expedited_i %in% c(""TRUE"") & shelter_expenses < 877  OR  rawunearn < 497.5 & unc_rawben_rel_max >= 1.848 & shelter_expenses < 606  OR  total_deductions < 799.5 & count_divisible_by_100 < 1.5 & unc_rawben_rel_max >= 1.471 & shelter_expenses < 303.5  OR  rawearn >= 676.5 & rawben_rel_max < 0.5178 & expedited_i %in% c(""TRUE"")  OR  unc_rawben_rel_max >= 1.986 & shelter_expenses >= 1407  OR  rawunearn < 494.5 & unc_rawben_rel_max < 0.9668 & shelter_expenses >= 293.5 & rawgross < 974  OR  unc_rawben_rel_max >= 1.229 & utilities < 346 & months_since_cert_n >= 7.5  OR  rawunearn < 757.5 & rawgross < 759.5 & shelter_expenses >= 1208 & months_since_cert_n >= 3.5  OR  rawunearn < 492.5 & unc_rawben_rel_max < 0.7526 & months_since_cert_n >= 8.5  OR  rawunearn >= 620.5 & shelter_expenses >= 1658 & rawben_rel_max < 0.9526 & rawunearn < 1786  OR  count_divisible_by_100 < 1.5 & total_deductions >= 834.3 & shelter_expenses < 1120 & shelter_expenses >= 1084  OR  rawunearn < 365.5 & total_deductions < 106.2 & utilities >= 9.5 & shelter_expenses < 40.5  OR  unc_rawben_rel_max >= 1.769 & months_since_cert_n >= 3.5 & utilities < 708.5  OR  rawearn >= 3 & unc_rawben_rel_max < 0.972 & rawben_rel_max >= 0.7776  OR  rawunearn < 27.5 & unc_rawben_rel_max < 0.9769 & unc_rawben_rel_max >= 0.4365 & rawearn >= 672.5  OR  rawunearn < 27.5 & rawben_rel_max < 0.8141 & expedited_i %in% c(""FALSE"") & unc_rawben_rel_max >= 0.351","earned_overissuance"
"2-3",0.2,0.3102,0.2162,548,3.7355,170,10,"shelter_expenses >= 1346 & rawunearn < 288.5 & months_since_cert_n >= 9.5 & shelter_expenses < 1456  OR  rawunearn < 942 & shelter_expenses >= 1562 & shelter_expenses < 1606 & rawearn < 210  OR  rawearn < 3 & count_divisible_by_100 >= 1.5  OR  rawearn >= 711.5 & shelter_expenses >= 1842 & rawgross < 1968 & rawben_rel_max < 0.9204  OR  unc_rawben_rel_max < 1.335 & shelter_expenses >= 2503 & rawearn < 293.5  OR  unc_rawben_rel_max >= 1.487 & months_since_cert_n >= 8.5  OR  total_deductions >= 269.1 & rawgross < 0.5 & unc_rawben_rel_max < 1.233  OR  rawearn >= 1050 & unc_rawben_rel_max >= 0.7612 & shelter_expenses >= 1574 & rawben_rel_max < 0.8335  OR  rawunearn < 842.5 & shelter_expenses >= 1068 & shelter_expenses < 1088 & rawunearn >= 253  OR  unc_rawben_rel_max >= 1.335 & utilities < 339.5","earned_overissuance"
"2-3",0.3,0.2948,0.3032,899,6.1282,265,18,"shelter_expenses >= 1346 & rawunearn < 288.5 & months_since_cert_n >= 9.5 & shelter_expenses < 1456  OR  rawunearn < 942 & shelter_expenses >= 1562 & shelter_expenses < 1606 & rawearn < 210  OR  rawearn < 3 & count_divisible_by_100 >= 1.5  OR  rawearn >= 711.5 & shelter_expenses >= 1842 & rawgross < 1968 & rawben_rel_max < 0.9204  OR  unc_rawben_rel_max < 1.335 & shelter_expenses >= 2503 & rawearn < 293.5  OR  unc_rawben_rel_max >= 1.487 & months_since_cert_n >= 8.5  OR  total_deductions >= 269.1 & rawgross < 0.5 & unc_rawben_rel_max < 1.233  OR  rawearn >= 1050 & unc_rawben_rel_max >= 0.7612 & shelter_expenses >= 1574 & rawben_rel_max < 0.8335  OR  rawunearn < 842.5 & shelter_expenses >= 1068 & shelter_expenses < 1088 & rawunearn >= 253  OR  unc_rawben_rel_max >= 1.335 & utilities < 339.5  OR  rawearn >= 3 & unc_rawben_rel_max < 0.9795 & rawearn < 198 & months_since_cert_n >= 3.5  OR  rawearn >= 32.5 & unc_rawben_rel_max < 0.9909 & rawearn < 189.5 & elderly_disabled_i %in% c(""TRUE"")  OR  shelter_expenses >= 1878 & rawben_rel_max >= 0.6414 & unc_rawben_rel_max < 0.6839  OR  rawunearn < 834.5 & rawunearn >= 829.5  OR  shelter_expenses >= 1540 & rawgross < 1868 & rawearn >= 1088  OR  rawearn < 810.5 & unc_rawben_rel_max >= 1.507 & elderly_disabled_i %in% c(""FALSE"")  OR  rawearn >= 1026 & rawben_rel_max >= 0.2885 & utilities >= 902 & total_deductions < 1048  OR  rawunearn < 1.5 & unc_rawben_rel_max < 1.638 & rawben_rel_max < 0.956 & rawearn < 743","earned_overissuance"
"2-3",0.4,0.2354,0.4251,1610,10.9748,379,23,"shelter_expenses >= 1346 & rawunearn < 288.5 & months_since_cert_n >= 9.5 & shelter_expenses < 1456  OR  rawunearn < 942 & shelter_expenses >= 1562 & shelter_expenses < 1606 & rawearn < 210  OR  rawearn < 3 & count_divisible_by_100 >= 1.5  OR  rawearn >= 711.5 & shelter_expenses >= 1842 & rawgross < 1968 & rawben_rel_max < 0.9204  OR  unc_rawben_rel_max < 1.335 & shelter_expenses >= 2503 & rawearn < 293.5  OR  unc_rawben_rel_max >= 1.487 & months_since_cert_n >= 8.5  OR  total_deductions >= 269.1 & rawgross < 0.5 & unc_rawben_rel_max < 1.233  OR  rawearn >= 1050 & unc_rawben_rel_max >= 0.7612 & shelter_expenses >= 1574 & rawben_rel_max < 0.8335  OR  rawunearn < 842.5 & shelter_expenses >= 1068 & shelter_expenses < 1088 & rawunearn >= 253  OR  unc_rawben_rel_max >= 1.335 & utilities < 339.5  OR  rawearn >= 3 & unc_rawben_rel_max < 0.9795 & rawearn < 198 & months_since_cert_n >= 3.5  OR  rawearn >= 32.5 & unc_rawben_rel_max < 0.9909 & rawearn < 189.5 & elderly_disabled_i %in% c(""TRUE"")  OR  shelter_expenses >= 1878 & rawben_rel_max >= 0.6414 & unc_rawben_rel_max < 0.6839  OR  rawunearn < 834.5 & rawunearn >= 829.5  OR  shelter_expenses >= 1540 & rawgross < 1868 & rawearn >= 1088  OR  rawearn < 810.5 & unc_rawben_rel_max >= 1.507 & elderly_disabled_i %in% c(""FALSE"")  OR  rawearn >= 1026 & rawben_rel_max >= 0.2885 & utilities >= 902 & total_deductions < 1048  OR  rawunearn < 1.5 & unc_rawben_rel_max < 1.638 & rawben_rel_max < 0.956 & rawearn < 743  OR  rawearn >= 1026 & utilities >= 645.5 & rawben_rel_max >= 0.7437  OR  shelter_expenses >= 2336 & rawben_rel_max >= 0.8097  OR  shelter_expenses < 1836 & unc_rawben_rel_max >= 1.47 & utilities < 485  OR  rawearn >= 1122 & rawearn < 2124 & shelter_expenses >= 1949  OR  rawearn >= 0.5 & unc_rawben_rel_max < 0.9686 & rawgross < 1100","earned_overissuance"
"2-3",0.5,0.1837,0.5449,2689,18.3299,494,28,"shelter_expenses >= 1346 & rawunearn < 288.5 & months_since_cert_n >= 9.5 & shelter_expenses < 1456  OR  rawunearn < 942 & shelter_expenses >= 1562 & shelter_expenses < 1606 & rawearn < 210  OR  rawearn < 3 & count_divisible_by_100 >= 1.5  OR  rawearn >= 711.5 & shelter_expenses >= 1842 & rawgross < 1968 & rawben_rel_max < 0.9204  OR  unc_rawben_rel_max < 1.335 & shelter_expenses >= 2503 & rawearn < 293.5  OR  unc_rawben_rel_max >= 1.487 & months_since_cert_n >= 8.5  OR  total_deductions >= 269.1 & rawgross < 0.5 & unc_rawben_rel_max < 1.233  OR  rawearn >= 1050 & unc_rawben_rel_max >= 0.7612 & shelter_expenses >= 1574 & rawben_rel_max < 0.8335  OR  rawunearn < 842.5 & shelter_expenses >= 1068 & shelter_expenses < 1088 & rawunearn >= 253  OR  unc_rawben_rel_max >= 1.335 & utilities < 339.5  OR  rawearn >= 3 & unc_rawben_rel_max < 0.9795 & rawearn < 198 & months_since_cert_n >= 3.5  OR  rawearn >= 32.5 & unc_rawben_rel_max < 0.9909 & rawearn < 189.5 & elderly_disabled_i %in% c(""TRUE"")  OR  shelter_expenses >= 1878 & rawben_rel_max >= 0.6414 & unc_rawben_rel_max < 0.6839  OR  rawunearn < 834.5 & rawunearn >= 829.5  OR  shelter_expenses >= 1540 & rawgross < 1868 & rawearn >= 1088  OR  rawearn < 810.5 & unc_rawben_rel_max >= 1.507 & elderly_disabled_i %in% c(""FALSE"")  OR  rawearn >= 1026 & rawben_rel_max >= 0.2885 & utilities >= 902 & total_deductions < 1048  OR  rawunearn < 1.5 & unc_rawben_rel_max < 1.638 & rawben_rel_max < 0.956 & rawearn < 743  OR  rawearn >= 1026 & utilities >= 645.5 & rawben_rel_max >= 0.7437  OR  shelter_expenses >= 2336 & rawben_rel_max >= 0.8097  OR  shelter_expenses < 1836 & unc_rawben_rel_max >= 1.47 & utilities < 485  OR  rawearn >= 1122 & rawearn < 2124 & shelter_expenses >= 1949  OR  rawearn >= 0.5 & unc_rawben_rel_max < 0.9686 & rawgross < 1100  OR  rawearn >= 963.5 & shelter_expenses < 1902 & rawearn < 1148 & rawben_rel_max < 0.5265  OR  total_deductions >= 671.6 & unc_rawben_rel_max >= 1.483  OR  rawunearn < 942 & shelter_expenses >= 1562 & shelter_expenses < 1606  OR  total_deductions >= 320.1 & shelter_expenses < 14.5  OR  rawunearn < 987.5 & utilities >= 282.5 & rawgross < 0.5","earned_overissuance"
"4+",0.2,0.3253,0.2113,415,3.5516,135,13,"rawearn >= 1054 & rawgross < 1173 & rawben_rel_max < 0.8216  OR  rawearn >= 1018 & utilities >= 851 & months_since_cert_n >= 8.5 & rawearn < 2364  OR  shelter_expenses >= 1252 & unc_rawben_rel_max >= 0.7847 & rawearn >= 1110 & total_deductions < 860.4  OR  total_deductions >= 446.3 & total_deductions < 447.1  OR  rawearn >= 641 & rawearn < 723.5 & rawben_rel_max < 0.8643  OR  shelter_expenses >= 1302 & rawben_rel_max >= 0.7989 & rawgross >= 1116 & rawgross < 1194  OR  rawearn >= 797.5 & total_deductions < 179.7  OR  rawearn >= 242 & total_deductions < 76.4  OR  rawearn >= 1044 & rawben_rel_max >= 0.7618 & months_since_cert_n >= 6.5 & shelter_expenses >= 1585  OR  rawearn >= 1016 & rawgross < 1912 & months_since_cert_n >= 10.5  OR  rawearn >= 1018 & rawben_rel_max >= 0.7619 & rawben_rel_max < 0.7643  OR  shelter_expenses >= 1278 & unc_rawben_rel_max >= 1.267 & utilities >= 517.5  OR  shelter_expenses >= 1252 & unc_rawben_rel_max >= 1.159 & months_since_cert_n < 0.5","earned_overissuance"
"4+",0.3,0.2765,0.3148,756,6.4698,209,21,"rawearn >= 1054 & rawgross < 1173 & rawben_rel_max < 0.8216  OR  rawearn >= 1018 & utilities >= 851 & months_since_cert_n >= 8.5 & rawearn < 2364  OR  shelter_expenses >= 1252 & unc_rawben_rel_max >= 0.7847 & rawearn >= 1110 & total_deductions < 860.4  OR  total_deductions >= 446.3 & total_deductions < 447.1  OR  rawearn >= 641 & rawearn < 723.5 & rawben_rel_max < 0.8643  OR  shelter_expenses >= 1302 & rawben_rel_max >= 0.7989 & rawgross >= 1116 & rawgross < 1194  OR  rawearn >= 797.5 & total_deductions < 179.7  OR  rawearn >= 242 & total_deductions < 76.4  OR  rawearn >= 1044 & rawben_rel_max >= 0.7618 & months_since_cert_n >= 6.5 & shelter_expenses >= 1585  OR  rawearn >= 1016 & rawgross < 1912 & months_since_cert_n >= 10.5  OR  rawearn >= 1018 & rawben_rel_max >= 0.7619 & rawben_rel_max < 0.7643  OR  shelter_expenses >= 1278 & unc_rawben_rel_max >= 1.267 & utilities >= 517.5  OR  shelter_expenses >= 1252 & unc_rawben_rel_max >= 1.159 & months_since_cert_n < 0.5  OR  unc_rawben_rel_max < 1.38 & rawgross >= 1122 & rawgross < 1154  OR  rawearn >= 801.5 & months_since_cert_n >= 10.5 & utilities >= 851  OR  total_deductions >= 668.9 & rawgross < 210 & shelter_expenses >= 1652  OR  rawearn >= 243 & rawben_rel_max < 0.6066 & rawgross >= 3146 & rawgross < 3158  OR  shelter_expenses >= 1302 & rawben_rel_max >= 0.5961 & rawben_rel_max < 0.6088  OR  unc_rawben_rel_max < 1.26 & rawearn >= 1048 & rawearn < 1073  OR  total_deductions >= 1732 & cat_elig >= 1.5  OR  rawearn >= 121 & rawgross < 1892 & rawben_rel_max < 0.9931 & shelter_expenses >= 1687","earned_overissuance"
