hh_size,rule_id,rule,n_conditions,workload_pct,n_flagged,errors_caught,clean_flagged,precision,recall,dollar_recall,error_tag
1,rule5792,"rawgross < 746.5 & rawben_rel_max >= 0.9039 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 12.5",4,6.6,557,271,286,0.487,0.482,0.559,unearned_overissuance
1,rule5607,"rawunearn < 722.5 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n < 21.5 & rawgross < 32.5",4,5.8,488,237,251,0.486,0.422,0.487,unearned_overissuance
1,rule5183,unc_rawben_rel_max >= 1.872 & months_since_cert_n >= 2.5,2,3.7,313,140,173,0.447,0.249,0.27,unearned_overissuance
1,rule9483,"rawgross < 812.5 & elderly_disabled_i %in% c(""TRUE"") & utilities < 448.5 & total_deductions >= 27",4,5,418,186,232,0.445,0.331,0.349,unearned_overissuance
1,rule4592,"rawunearn < 813.5 & elderly_disabled_i %in% c(""TRUE"") & utilities < 380.5 & total_deductions >= 30",4,4.2,357,157,200,0.44,0.279,0.29,unearned_overissuance
1,rule12006,total_deductions >= 2.5 & rawgross < 24.5 & unc_rawben_rel_max < 1.716 & percent_abawd < 0.5,4,1.9,156,68,88,0.436,0.121,0.154,unearned_overissuance
1,rule7726,"elderly_disabled_i %in% c(""TRUE"") & rawgross < 12.5 & shelter_expenses >= 959.5 & total_deductions < 1285",4,0.6,52,22,30,0.423,0.039,0.04,unearned_overissuance
1,rule11990,rawgross < 24.5 & unc_rawben_rel_max >= 1.214 & utilities < 426 & shelter_expenses < 958.5,4,4.1,342,138,204,0.404,0.246,0.278,unearned_overissuance
1,rule5504,"count_divisible_by_100 < 0.5 & rawunearn < 721.5 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n >= 9.5",4,4.2,358,143,215,0.399,0.254,0.276,unearned_overissuance
1,rule8088,"months_since_cert_n >= 4.5 & rawgross < 682 & elderly_disabled_i %in% c(""TRUE"")",3,7,592,235,357,0.397,0.418,0.464,unearned_overissuance
1,rule7202,"rawunearn < 803.5 & elderly_disabled_i %in% c(""TRUE"") & utilities < 508 & total_deductions >= 30.5",4,6.4,537,209,328,0.389,0.372,0.393,unearned_overissuance
1,rule9187,"rawunearn < 806.5 & elderly_disabled_i %in% c(""TRUE"") & shelter_expenses < 605.5 & utilities >= 279",4,2.5,211,74,137,0.351,0.132,0.139,unearned_overissuance
1,rule6656,"count_divisible_by_100 < 0.5 & rawgross < 746.5 & elderly_disabled_i %in% c(""TRUE"")",3,10.9,921,308,613,0.334,0.548,0.609,unearned_overissuance
1,rule4399,"rawgross < 748 & elderly_disabled_i %in% c(""TRUE"") & shelter_expenses < 604.5 & cat_elig < 1.5",4,5.8,491,161,330,0.328,0.286,0.316,unearned_overissuance
