hh_size,rule_id,rule,n_conditions,workload_pct,n_flagged,errors_caught,clean_flagged,precision,recall,dollar_recall,error_tag
1,rule1767,unc_rawben_rel_max >= 1.769 & months_since_cert_n >= 3.5 & utilities < 708.5,3,2.5,293,105,188,0.358,0.132,0.154,earned_overissuance
1,rule5012,count_divisible_by_100 < 1.5 & total_deductions >= 834.3 & shelter_expenses < 1120 & shelter_expenses >= 1084,4,0.2,28,10,18,0.357,0.013,0.013,earned_overissuance
1,rule3606,"rawgross < 3 & expedited_i %in% c(""FALSE"") & unc_rawben_rel_max >= 1.218 & utilities < 51",4,1.1,130,46,84,0.354,0.058,0.066,earned_overissuance
1,rule2408,rawunearn < 27.5 & total_deductions >= 29.5 & months_since_cert_n >= 5.5 & utilities < 300.5,4,1.7,205,72,133,0.351,0.091,0.098,earned_overissuance
1,rule839,rawunearn >= 2 & rawearn >= 1.5 & rawearn < 74,3,0.5,61,21,40,0.344,0.026,0.019,earned_overissuance
1,rule244,rawearn >= 574.5 & rawben_rel_max >= 0.08093 & rawben_rel_max < 0.806,3,3.6,426,146,280,0.343,0.184,0.145,earned_overissuance
1,rule142,rawunearn < 584.5 & unc_rawben_rel_max >= 0.8117 & shelter_expenses >= 1292 & rawearn < 3.5,4,1.5,184,63,121,0.342,0.079,0.091,earned_overissuance
1,rule1083,rawearn < 859 & utilities < 598.5 & unc_rawben_rel_max >= 1.872,3,2.1,252,86,166,0.341,0.108,0.121,earned_overissuance
1,rule1587,rawunearn < 492.5 & unc_rawben_rel_max < 0.8117 & rawben_rel_max >= 0.2972 & rawearn < 1380,4,2.1,249,82,167,0.329,0.103,0.079,earned_overissuance
1,rule1967,rawunearn < 754.5 & shelter_expenses >= 1214 & utilities >= 835.5,3,0.9,113,37,76,0.327,0.047,0.049,earned_overissuance
1,rule976,rawunearn < 778 & total_deductions < 501.5 & rawearn >= 435 & shelter_expenses < 50,4,1.1,132,43,89,0.326,0.054,0.056,earned_overissuance
1,rule4069,shelter_expenses < 2164 & unc_rawben_rel_max >= 2.028,2,0.8,101,32,69,0.317,0.04,0.043,earned_overissuance
1,rule1181,rawunearn >= 754.5 & rawearn >= 1 & total_deductions >= 529,3,0.9,105,33,72,0.314,0.042,0.03,earned_overissuance
1,rule865,"elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.9608 & total_deductions < 1010 & unc_rawben_rel_max >= 0.2655",4,4.1,489,153,336,0.313,0.193,0.151,earned_overissuance
1,rule5113,rawgross < 0.5 & shelter_expenses >= 17 & utilities < 78,3,1.7,208,65,143,0.312,0.082,0.091,earned_overissuance
1,rule3769,shelter_expenses >= 1788 & months_since_cert_n >= 7.5,2,0.8,90,28,62,0.311,0.035,0.038,earned_overissuance
1,rule1615,rawunearn < 3 & unc_rawben_rel_max < 0.823,2,4.5,533,166,367,0.311,0.209,0.18,earned_overissuance
1,rule1730,rawunearn < 496.5 & unc_rawben_rel_max < 0.9777 & rawben_rel_max >= 0.8719,3,0.9,104,32,72,0.308,0.04,0.04,earned_overissuance
1,rule4767,rawearn >= 428.5 & utilities < 13.5,2,1.7,208,61,147,0.293,0.077,0.08,earned_overissuance
1,rule1251,rawunearn < 492.5 & unc_rawben_rel_max >= 1.776 & utilities < 645.5,3,3.7,445,128,317,0.288,0.161,0.184,earned_overissuance
1,rule486,unc_rawben_rel_max >= 1.82 & utilities >= 386.5 & shelter_expenses >= 1050,3,2.3,270,77,193,0.285,0.097,0.111,earned_overissuance
1,rule493,rawunearn < 475.5 & rawben_rel_max >= 0.97 & unc_rawben_rel_max >= 1.646 & utilities < 465.5,4,3,354,101,253,0.285,0.127,0.146,earned_overissuance
1,rule4575,shelter_expenses >= 1196 & rawunearn < 482.5,2,3.7,435,120,315,0.276,0.151,0.161,earned_overissuance
1,rule4732,rawgross < 26 & total_deductions >= 12 & total_deductions < 303.5,3,1,124,34,90,0.274,0.043,0.043,earned_overissuance
1,rule2648,rawunearn < 772 & shelter_expenses < 1982 & unc_rawben_rel_max >= 1.57 & months_since_cert_n >= 4.5,4,4,474,130,344,0.274,0.164,0.192,earned_overissuance
1,rule2407,rawunearn < 27.5 & total_deductions >= 29.5 & months_since_cert_n >= 5.5 & utilities >= 300.5,4,3.9,467,127,340,0.272,0.16,0.167,earned_overissuance
1,rule3076,unc_rawben_rel_max < 1.911 & shelter_expenses >= 1786,2,1.5,177,48,129,0.271,0.061,0.068,earned_overissuance
1,rule4003,"elderly_disabled_i %in% c(""FALSE"") & rawgross >= 1543",2,1.8,211,57,154,0.27,0.072,0.074,earned_overissuance
1,rule4936,total_deductions >= 1120 & total_deductions < 1137,2,0.3,30,8,22,0.267,0.01,0.011,earned_overissuance
1,rule3092,unc_rawben_rel_max >= 1.248 & months_since_cert_n >= 4.5 & total_deductions < 679.8,3,4.2,494,131,363,0.265,0.165,0.197,earned_overissuance
1,rule3617,percent_abawd < 0.5 & rawearn >= 4 & unc_rawben_rel_max < 0.9738,3,5.8,694,180,514,0.259,0.227,0.187,earned_overissuance
1,rule1728,rawunearn < 496.5 & unc_rawben_rel_max < 0.9777 & rawben_rel_max < 0.8719 & total_deductions < 928,4,4.7,559,143,416,0.256,0.18,0.154,earned_overissuance
1,rule3916,percent_abawd >= 0.5 & total_deductions >= 375.2,2,4.5,538,137,401,0.255,0.173,0.182,earned_overissuance
1,rule1467,rawunearn < 488 & unc_rawben_rel_max >= 1.648 & months_since_cert_n >= 2.5,3,5.1,609,155,454,0.255,0.195,0.231,earned_overissuance
1,rule76,rawunearn < 15.5 & total_deductions >= 59.5 & months_since_cert_n < 4.5 & rawben_rel_max < 0.9217,4,3,352,89,263,0.253,0.112,0.093,earned_overissuance
1,rule217,rawunearn < 365.5 & total_deductions >= 106.2 & months_since_cert_n >= 3.5,3,9.6,1143,288,855,0.252,0.363,0.39,earned_overissuance
1,rule4352,total_deductions >= 516.5 & rawunearn < 719 & months_since_cert_n >= 9.5 & utilities >= 584.5,4,1.3,157,38,119,0.242,0.048,0.051,earned_overissuance
1,rule2747,rawunearn < 26.5 & total_deductions >= 28.5 & months_since_cert_n >= 4.5 & rawearn >= 7.5,4,3.5,421,102,319,0.242,0.129,0.119,earned_overissuance
1,rule5218,count_divisible_by_100 >= 0.5 & rawunearn >= 687 & utilities < 364.5 & utilities >= 172.5,4,0.2,29,7,22,0.241,0.009,0.008,earned_overissuance
1,rule5270,total_deductions >= 945.5 & total_deductions < 959.5,2,0.4,46,11,35,0.239,0.014,0.013,earned_overissuance
1,rule210,rawunearn < 365.5 & total_deductions < 106.2 & utilities >= 9.5,3,1,115,27,88,0.235,0.034,0.034,earned_overissuance
1,rule95,rawunearn < 778 & total_deductions < 836.1 & unc_rawben_rel_max < 1.767 & rawgross >= 776.5,4,4,476,110,366,0.231,0.139,0.118,earned_overissuance
1,rule4325,rawben_rel_max >= 0.5804 & rawgross >= 1028 & rawunearn < 1070,3,2.5,301,69,232,0.229,0.087,0.074,earned_overissuance
1,rule3624,rawgross < 27.5 & count_divisible_by_100 < 0.5 & shelter_expenses >= 17,3,7.7,913,209,704,0.229,0.264,0.298,earned_overissuance
1,rule4351,total_deductions >= 516.5 & rawunearn < 719 & months_since_cert_n >= 9.5 & utilities < 584.5,4,1.2,137,31,106,0.226,0.039,0.042,earned_overissuance
1,rule886,rawunearn < 26.5 & unc_rawben_rel_max >= 1.868 & shelter_expenses >= 615,3,5.1,604,136,468,0.225,0.172,0.196,earned_overissuance
1,rule3277,rawunearn >= 488 & rawearn >= 2.5 & rawunearn < 996.5,3,1.2,138,30,108,0.217,0.038,0.027,earned_overissuance
1,rule5285,shelter_expenses >= 1012 & utilities < 363.5 & shelter_expenses < 1100,3,0.4,51,11,40,0.216,0.014,0.013,earned_overissuance
1,rule4812,unc_rawben_rel_max >= 0.6534 & rawben_rel_max < 0.6976 & rawunearn >= 963.5 & total_deductions < 556,4,0.2,24,5,19,0.208,0.006,0.006,earned_overissuance
1,rule1114,"elderly_disabled_i %in% c(""FALSE"") & unc_rawben_rel_max >= 1.825 & utilities >= 416",3,3.5,413,86,327,0.208,0.108,0.123,earned_overissuance
1,rule3565,unc_rawben_rel_max < 1.219 & rawearn >= 26.5 & rawunearn >= 710.5,3,1.6,193,39,154,0.202,0.049,0.033,earned_overissuance
1,rule3402,unc_rawben_rel_max >= 1.653 & shelter_expenses < 1927,2,7.6,908,183,725,0.202,0.231,0.26,earned_overissuance
1,rule4871,total_deductions >= 1016 & months_since_cert_n >= 18.5 & months_since_cert_n < 24.5,3,0.4,50,10,40,0.2,0.013,0.013,earned_overissuance
2-3,rule309,shelter_expenses >= 1346 & rawunearn < 288.5 & months_since_cert_n >= 9.5 & shelter_expenses < 1456,4,0.2,24,12,12,0.5,0.012,0.013,earned_overissuance
2-3,rule1180,rawearn < 3 & count_divisible_by_100 >= 1.5,2,0.1,22,10,12,0.455,0.01,0.009,earned_overissuance
2-3,rule677,shelter_expenses >= 1878 & rawben_rel_max >= 0.6414 & unc_rawben_rel_max < 0.6839,3,0.2,23,10,13,0.435,0.01,0.01,earned_overissuance
2-3,rule363,rawearn >= 711.5 & shelter_expenses >= 1842 & rawgross < 1968 & rawben_rel_max < 0.9204,4,0.6,90,37,53,0.411,0.038,0.037,earned_overissuance
2-3,rule65,rawearn >= 1050 & unc_rawben_rel_max >= 0.7612 & shelter_expenses >= 1574 & rawben_rel_max < 0.8335,4,0.4,52,21,31,0.404,0.021,0.02,earned_overissuance
2-3,rule281,rawearn >= 1026 & rawben_rel_max >= 0.2885 & utilities >= 902 & total_deductions < 1048,4,0.5,78,30,48,0.385,0.031,0.023,earned_overissuance
2-3,rule1670,rawearn >= 1122 & rawearn < 2124 & shelter_expenses >= 1949,3,0.7,105,39,66,0.371,0.04,0.038,earned_overissuance
2-3,rule1348,"rawearn >= 32.5 & unc_rawben_rel_max < 0.9909 & rawearn < 189.5 & elderly_disabled_i %in% c(""TRUE"")",4,0.3,39,14,25,0.359,0.014,0.009,earned_overissuance
2-3,rule234,rawearn >= 711.5 & utilities >= 902 & rawben_rel_max >= 0.642,3,0.7,98,35,63,0.357,0.036,0.032,earned_overissuance
2-3,rule492,"rawearn < 810.5 & unc_rawben_rel_max >= 1.507 & elderly_disabled_i %in% c(""FALSE"")",3,0.3,45,16,29,0.356,0.016,0.017,earned_overissuance
2-3,rule1993,unc_rawben_rel_max < 1.335 & shelter_expenses >= 2503 & rawearn < 293.5,3,0.3,37,13,24,0.351,0.013,0.017,earned_overissuance
2-3,rule1400,rawunearn < 942 & shelter_expenses >= 1562 & shelter_expenses < 1606 & rawearn < 210,4,0.2,35,12,23,0.343,0.012,0.018,earned_overissuance
2-3,rule1932,shelter_expenses >= 1540 & rawgross < 1868 & rawearn >= 1088,3,1.2,183,60,123,0.328,0.061,0.061,earned_overissuance
2-3,rule592,rawearn >= 3 & unc_rawben_rel_max < 0.9795 & rawearn < 198 & months_since_cert_n >= 3.5,4,0.3,46,15,31,0.326,0.015,0.013,earned_overissuance
2-3,rule75,rawunearn < 842.5 & shelter_expenses >= 1068 & shelter_expenses < 1088 & rawunearn >= 253,4,0.2,25,8,17,0.32,0.008,0.009,earned_overissuance
2-3,rule1627,rawearn >= 733 & rawgross < 2314 & utilities >= 902,3,0.9,125,40,85,0.32,0.041,0.035,earned_overissuance
