"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Connecticut","earned_income","2-3","count_divisible_by_100 <=    0.5 & shelter_expenses_by_hh_size > 1340.0 & total_deductions_by_hh_size <= 1040.0 & utilities >  851.0","count_divisible_by_100 <=    0.45 & shelter_expenses_by_hh_size > 1206.00 & total_deductions_by_hh_size <=  936.00 & utilities >  851.00",FALSE,FALSE,4,1,0.25,367,5,0.4,1,1
"Connecticut","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0",TRUE,FALSE,2,0,0,0,1,0,1,0
"Connecticut","earned_income","4+","months_since_cert_n >   4.50 & shelter_expenses_by_hh_size > 479.00 & unc_rawben_rel_max <=   1.41 & utilities > 974.00","months_since_cert_n >   4.050 & shelter_expenses_by_hh_size > 431.100 & unc_rawben_rel_max <=   1.269 & utilities > 876.600",FALSE,TRUE,16,8,0.5,2352,17,0.235,0,NA
"Connecticut","earned_income","4+","HH_size_n >   4.5 & HH_size_n <=   8.0 & months_since_cert_n >   5.5 & utilities > 902.0","HH_size_n >   4.05 & HH_size_n <=   7.20 & months_since_cert_n >   4.95 & utilities > 811.80",FALSE,TRUE,16,7,0.438,1999,19,0.316,18,0.333
"Connecticut","earned_income","4+","unc_rawben_rel_max >   0.776 & unc_rawben_rel_max <=   0.961 & utilities > 974.000","unc_rawben_rel_max >   0.5820 & unc_rawben_rel_max <=   0.8649 & utilities > 730.5000",FALSE,TRUE,43,12,0.279,2789,24,0.25,0,NA
"Connecticut","earned_income","1","rawben_rel_max >    0.801 & shelter_expenses_by_hh_size > 2000.000 & total_deductions_by_hh_size <=  712.000 & unc_rawben_rel_max <=    1.630","rawben_rel_max >    0.7209 & shelter_expenses_by_hh_size > 1800.0000 & total_deductions_by_hh_size <=  783.2000 & unc_rawben_rel_max <=    1.4670",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Connecticut","earned_income","2-3","cat_elig >    1.5 & count_divisible_by_100 <=    0.5 & HH_size_n <=    2.5 & shelter_expenses_by_hh_size > 1340.0","cat_elig >    1.35 & count_divisible_by_100 <=    0.45 & HH_size_n <=    2.25 & shelter_expenses_by_hh_size > 1206.00",FALSE,FALSE,2,0,0,0,0,NA,0,NA
"Connecticut","earned_income","2-3","months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 295.0 & total_deductions_by_hh_size > 442.0","months_since_cert_n >   2.625 & shelter_expenses_by_hh_size <= 324.500 & total_deductions_by_hh_size > 331.500",FALSE,FALSE,2,1,0.5,326,0,NA,0,NA
"Connecticut","earned_income","2-3","rawben_rel_max <=    0.967 & shelter_expenses_by_hh_size > 1340.000 & utilities >  606.000","rawben_rel_max <=    0.967 & shelter_expenses_by_hh_size > 1005.000 & utilities >  454.500",FALSE,FALSE,11,3,0.273,255,22,0.182,2,0.5
"Connecticut","earned_income","2-3","rawben_rel_max <=    0.967 & shelter_expenses_by_hh_size > 1350.000","rawben_rel_max <=    0.967 & shelter_expenses_by_hh_size > 1012.000",FALSE,FALSE,11,3,0.273,255,21,0.19,2,0.5
"Connecticut","earned_income","4+","HH_size_n <= 4.500 & percent_abawd <= 0.775 & unc_rawben_rel_max > 1.380","HH_size_n <= 4.0500 & percent_abawd <= 0.5812 & unc_rawben_rel_max > 1.2420",FALSE,FALSE,9,3,0.333,327,4,0.25,0,NA
"Connecticut","earned_income","4+","count_divisible_by_100 >   0.5 & utilities > 974.0","count_divisible_by_100 >   0.375 & utilities > 876.600",FALSE,FALSE,5,2,0.4,310,5,0.2,0,NA
"Connecticut","earned_income","2-3","elderly_disabled_i <=   0.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.958 & utilities > 902.000","elderly_disabled_i <=   0.450 & months_since_cert_n >   4.950 & rawben_rel_max <=   0.958 & utilities > 811.800",FALSE,TRUE,24,9,0.375,1127,28,0.214,27,0.222
"Connecticut","earned_income","2-3","elderly_disabled_i <=   0.500 & months_since_cert_n >   9.500 & percent_abawd <=   0.167 & total_deductions_by_hh_size > 442.000","elderly_disabled_i <=   0.4500 & months_since_cert_n >   8.5500 & percent_abawd <=   0.1503 & total_deductions_by_hh_size > 397.8000",FALSE,TRUE,14,5,0.357,732,5,0.2,1,0
"Connecticut","earned_income","4+","HH_size_n >   4.5 & HH_size_n <=   7.5 & months_since_cert_n >   7.5 & utilities > 851.0","HH_size_n >   4.05 & HH_size_n <=   7.50 & months_since_cert_n >   6.75 & utilities > 765.90",FALSE,TRUE,26,9,0.346,2927,15,0.4,13,0.462
"Connecticut","earned_income","4+","rawben_rel_max >   0.972 & shelter_expenses_by_hh_size > 463.000 & unc_rawben_rel_max >   1.200 & utilities > 508.000","rawben_rel_max >   0.8748 & shelter_expenses_by_hh_size > 509.3000 & unc_rawben_rel_max >   1.2000 & utilities > 457.2000",FALSE,FALSE,1,1,1,94,1,0,3,0
"Connecticut","earned_income","1","rawben_rel_max <=    0.643 & shelter_expenses_by_hh_size > 1410.000 & total_deductions_by_hh_size >  847.000 & unc_rawben_rel_max <=   -0.462","rawben_rel_max <=    0.643 & shelter_expenses_by_hh_size > 1410.000 & total_deductions_by_hh_size >  847.000 & unc_rawben_rel_max <=   -0.462",TRUE,FALSE,3,1,0.333,268,0,NA,0,NA
"Connecticut","earned_income","4+","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 246.0 & total_deductions_by_hh_size > 190.0","HH_size_n >   4.125 & shelter_expenses_by_hh_size <= 184.500 & total_deductions_by_hh_size > 142.500",FALSE,FALSE,2,0,0,0,0,NA,0,NA
"Connecticut","earned_income","4+","cat_elig <=   1.500 & count_divisible_by_100 >   0.500 & rawben_rel_max <=   0.971 & utilities > 851.000","cat_elig <=   1.3500 & count_divisible_by_100 >   0.4500 & rawben_rel_max <=   0.8739 & utilities > 765.9000",FALSE,FALSE,3,0,0,0,2,0.5,3,0.333
"Connecticut","earned_income","4+","count_divisible_by_100 <=    1.500 & unc_rawben_rel_max <=    0.962 & utilities >  974.000 & utilities <= 1000.000","count_divisible_by_100 <=    1.350 & unc_rawben_rel_max <=    0.962 & utilities >  876.600 & utilities <= 1000.000",FALSE,TRUE,53,22,0.415,4605,59,0.271,0,NA
"Connecticut","earned_income","2-3","elderly_disabled_i <=   0.500 & rawben_rel_max >   0.938 & shelter_expenses_by_hh_size > 639.000 & unc_rawben_rel_max <=   0.970","elderly_disabled_i <=   0.4500 & rawben_rel_max >   0.8442 & shelter_expenses_by_hh_size > 639.0000 & unc_rawben_rel_max <=   0.9700",FALSE,FALSE,4,1,0.25,64,3,0,2,0
"Connecticut","earned_income","2-3","shelter_expenses_by_hh_size >= 942 & total_deductions_by_hh_size >= 446 & total_deductions_by_hh_size < 530 & utilities >= 723","shelter_expenses_by_hh_size >= 847.8 & total_deductions_by_hh_size >= 401.4 & total_deductions_by_hh_size < 583.0 & utilities >= 795.3",FALSE,TRUE,9,4,0.444,586,24,0.208,7,0.429
"Connecticut","earned_income","4+","months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 262.0 & total_deductions_by_hh_size <= 269.0 & utilities > 902.0","months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 262.0 & total_deductions_by_hh_size <= 269.0 & utilities > 902.0",TRUE,TRUE,9,6,0.667,2022,24,0.292,24,0.292
"Connecticut","earned_income","4+","HH_size_n >   4.5 & months_since_cert_n >   5.5 & utilities > 902.0","HH_size_n >   3.375 & months_since_cert_n >   5.500 & utilities > 676.500",FALSE,TRUE,71,20,0.282,5072,40,0.2,18,0.333
"Connecticut","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0 & unc_rawben_rel_max <=   2.5","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0 & unc_rawben_rel_max <=   2.5",TRUE,FALSE,2,0,0,0,1,0,1,0
"Connecticut","earned_income","2-3","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 703.0 & total_deductions_by_hh_size > 331.0 & utilities <= 366.0","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 703.0 & total_deductions_by_hh_size > 331.0 & utilities <= 366.0",TRUE,FALSE,1,1,1,425,0,NA,0,NA
"Connecticut","earned_income","4+","months_since_cert_n >   6.500 & rawben_rel_max <=   0.952 & utilities > 902.000","months_since_cert_n >   4.875 & rawben_rel_max <=   0.952 & utilities > 676.500",FALSE,TRUE,56,20,0.357,5096,33,0.242,22,0.273
"Connecticut","earned_income","1","elderly_disabled_i <=   0.500 & months_since_cert_n >   8.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size > 671.000","elderly_disabled_i <=   0.450 & months_since_cert_n >   9.350 & rawben_rel_max <=   1.074 & total_deductions_by_hh_size > 671.000",FALSE,FALSE,20,1,0.05,211,2,0.5,1,0
"Connecticut","earned_income","4+","rawben_rel_max >=   0.784 & rawben_rel_max <   0.944 & shelter_expenses_by_hh_size >= 325.000 & shelter_expenses_by_hh_size < 370.000","rawben_rel_max >=   0.7056 & rawben_rel_max <   0.9440 & shelter_expenses_by_hh_size >= 292.5000 & shelter_expenses_by_hh_size < 370.0000",FALSE,TRUE,7,3,0.429,1360,4,0.5,1,0
"Connecticut","unearned_income","1","children_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 312.00","children_i <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.737 & utilities <= 280.800",FALSE,FALSE,1,0,0,0,2,0.5,0,NA
"Connecticut","unearned_income","1","total_deductions_by_hh_size <= 1590.00 & unc_rawben_rel_max >    2.67 & utilities >  598.00","total_deductions_by_hh_size <= 1749.000 & unc_rawben_rel_max >    2.403 & utilities >  448.500",FALSE,TRUE,5,3,0.6,536,2,1,0,NA
"Connecticut","unearned_income","1","medical_deductions <= 148.00 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 340.00","medical_deductions <= 133.200 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.755 & utilities <= 306.000",FALSE,FALSE,1,0,0,0,2,0.5,0,NA
"Connecticut","unearned_income","1","count_divisible_by_100 <=   0.50 & medical_deductions > 132.00 & unc_rawben_rel_max >   2.98","count_divisible_by_100 <=  0.375 & medical_deductions > 99.000 & unc_rawben_rel_max >  2.235",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Connecticut","unearned_income","1","medical_deductions >  112.0 & total_deductions_by_hh_size > 1780.0 & unc_rawben_rel_max >    2.9","medical_deductions >   84.000 & total_deductions_by_hh_size > 1335.000 & unc_rawben_rel_max >    2.175",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Connecticut","unearned_income","1","months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 302.00","months_since_cert_n >   4.875 & unc_rawben_rel_max >   1.462 & utilities <= 226.500",FALSE,FALSE,2,0,0,0,2,0.5,0,NA
"Connecticut","unearned_income","1","months_since_cert_n >   6.50 & months_since_cert_n <=  24.50 & unc_rawben_rel_max >   1.95 & utilities <= 288.00","months_since_cert_n >   5.850 & months_since_cert_n <=  22.050 & unc_rawben_rel_max >   1.755 & utilities <= 259.200",FALSE,FALSE,1,0,0,0,2,0.5,0,NA
"Connecticut","unearned_income","2-3","shelter_expenses_by_hh_size <= 1100.00 & unc_rawben_rel_max >    1.78 & utilities >  628.00","shelter_expenses_by_hh_size <= 825.000 & unc_rawben_rel_max >   1.602 & utilities > 471.000",FALSE,FALSE,3,1,0.333,439,0,NA,0,NA
"Connecticut","unearned_income","1","count_divisible_by_100 <=   0.50 & shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","count_divisible_by_100 <=   0.450 & shelter_expenses_by_hh_size <= 706.200 & total_deductions_by_hh_size <= 682.200 & unc_rawben_rel_max >   1.737",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Connecticut","unearned_income","1","medical_deductions > 130.00 & unc_rawben_rel_max >   2.75","medical_deductions > 97.500 & unc_rawben_rel_max >  2.062",FALSE,FALSE,1,0,0,0,0,NA,0,NA
