"state","arm","budget","n_admitted","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","n_rules_deployed","n_rules_deployed_p","fill_cases","fill_gap_core","fill_gap_total","cap_buf"
"Iowa","benp",0.1,2510,936,93,16,0.172,0.0791,0.2312,10,6,570,0,0,570
"Kansas","persize",0.05,1417,872,41,6,0.1463,0.1044,0.0571,3,0,258,0,1,259
"Kansas","persize",0.1,1417,872,87,15,0.1724,0.1044,0.2269,8,0,518,0,0,518
"Kansas","benp",0.05,1520,872,42,8,0.1905,0.1044,0.0863,4,3,259,0,0,259
"Kansas","benp",0.1,1520,872,87,17,0.1954,0.1044,0.2275,7,7,518,0,0,518
"Kentucky","persize",0.05,4058,841,41,10,0.2439,0.082,0.2012,4,0,279,0,0,279
"Kentucky","persize",0.1,4058,841,84,22,0.2619,0.082,0.4279,9,0,559,0,0,559
"Kentucky","benp",0.05,4277,841,40,15,0.375,0.082,0.3304,5,3,279,0,0,279
"Kentucky","benp",0.1,4277,841,84,18,0.2143,0.082,0.3236,8,4,559,0,0,559
"Louisiana","persize",0.05,4589,873,41,11,0.2683,0.11,0.1254,4,0,248,0,0,248
"Louisiana","persize",0.1,4589,873,87,17,0.1954,0.11,0.1576,8,0,497,1,0,497
"Louisiana","benp",0.05,4864,873,41,11,0.2683,0.11,0.1354,8,5,248,2,0,248
"Louisiana","benp",0.1,4864,873,87,20,0.2299,0.11,0.2338,9,6,497,0,0,497
"Maine","persize",0.05,7658,928,45,14,0.3111,0.1239,0.2288,5,0,269,0,0,269
"Maine","persize",0.1,7658,928,92,24,0.2609,0.1239,0.3043,8,0,539,0,0,539
"Maine","benp",0.05,7760,928,45,13,0.2889,0.1239,0.2153,5,3,269,0,0,269
"Maine","benp",0.1,7760,928,92,21,0.2283,0.1239,0.272,8,5,539,0,0,539
"Maryland","persize",0.05,6320,677,33,13,0.3939,0.1433,0.1553,3,0,156,0,0,156
"Maryland","persize",0.1,6320,677,65,23,0.3538,0.1433,0.2323,5,0,312,0,0,312
"Maryland","benp",0.05,6423,677,33,11,0.3333,0.1433,0.1393,2,1,156,0,0,156
"Maryland","benp",0.1,6423,677,57,20,0.3509,0.1433,0.226,8,6,312,0,0,312
"Massachusetts","persize",0.05,7135,764,36,9,0.25,0.1545,0.1017,2,0,237,0,0,237
"Massachusetts","persize",0.1,7135,764,74,20,0.2703,0.1545,0.1976,6,0,474,0,0,474
"Massachusetts","benp",0.05,7718,764,31,11,0.3548,0.1545,0.0881,2,2,237,0,0,237
"Massachusetts","benp",0.1,7718,764,75,24,0.32,0.1545,0.2131,4,4,474,0,0,474
"Michigan","persize",0.05,4353,847,34,11,0.3235,0.1311,0.1278,4,0,254,0,0,254
"Michigan","persize",0.1,4353,847,83,20,0.241,0.1311,0.2313,8,0,508,0,0,508
"Michigan","benp",0.05,4563,847,40,11,0.275,0.1311,0.0676,3,2,254,0,0,254
"Michigan","benp",0.1,4563,847,84,27,0.3214,0.1311,0.2481,9,5,508,0,0,508
"Minnesota","persize",0.05,5331,799,32,10,0.3125,0.1339,0.0963,5,0,256,1,0,256
"Minnesota","persize",0.1,5331,799,76,25,0.3289,0.1339,0.2494,11,0,512,0,0,512
"Minnesota","benp",0.05,5425,799,29,7,0.2414,0.1339,0.0508,4,4,256,0,0,256
"Minnesota","benp",0.1,5425,799,79,28,0.3544,0.1339,0.2617,8,8,512,0,0,512
"Mississippi","persize",0.05,8214,902,40,16,0.4,0.1408,0.1261,3,0,272,0,0,272
"Mississippi","persize",0.1,8214,902,90,38,0.4222,0.1408,0.273,7,0,545,0,0,545
"Mississippi","benp",0.05,8136,902,44,23,0.5227,0.1408,0.1872,5,3,272,1,0,272
"Mississippi","benp",0.1,8136,902,89,33,0.3708,0.1408,0.2795,10,6,545,0,0,545
