"state","n_admitted_persize","n_admitted_benp","precision_persize","precision_benp","dollar_recall_persize","dollar_recall_benp","budget","d_prec","d_doll"
"Maine",7658,7760,0.2609,0.2283,0.3043,0.272,0.1,-0.0326,-0.0323
"Maryland",6320,6423,0.3538,0.3509,0.2323,0.226,0.1,-0.00290000000000001,-0.0063
"Massachusetts",7135,7718,0.2703,0.32,0.1976,0.2131,0.1,0.0497,0.0155
"Michigan",4353,4563,0.241,0.3214,0.2313,0.2481,0.1,0.0804,0.0168
"Minnesota",5331,5425,0.3289,0.3544,0.2494,0.2617,0.1,0.0255,0.0123
"Mississippi",8214,8136,0.4222,0.3708,0.273,0.2795,0.1,-0.0514,0.00650000000000001
"Missouri",2529,2467,0.2133,0.2533,0.3411,0.378,0.1,0.04,0.0369
"Montana",1194,1096,0.1754,0.1607,0.1209,0.1652,0.1,-0.0147,0.0443
"Nebraska",998,1079,0.1512,0.1494,0.2679,0.3747,0.1,-0.0018,0.1068
"Nevada",8791,9513,0.2222,0.2198,0.2431,0.2567,0.1,-0.00240000000000001,0.0136
"New Hampshire",3890,3368,0.1774,0.1525,0.2123,0.2049,0.1,-0.0249,-0.00739999999999999
"New Jersey",3955,4392,0.2295,0.1774,0.174,0.2552,0.1,-0.0521,0.0812
"New Mexico",11241,12015,0.3579,0.3187,0.2075,0.1974,0.1,-0.0392,-0.0101
"New York",5474,5244,0.2727,0.2687,0.2292,0.1589,0.1,-0.004,-0.0703
"North Carolina",5986,6274,0.2976,0.2759,0.2374,0.2763,0.1,-0.0217,0.0389
"North Dakota",1781,2263,0.0952,0.0952,0.0786,0.0729,0.1,0,-0.0057
"Ohio",3344,3113,0.1325,0.1705,0.0721,0.1971,0.1,0.038,0.125
"Oklahoma",10851,11164,0.3448,0.3103,0.2271,0.1945,0.1,-0.0345,-0.0326
"Oregon",9825,10184,0.3457,0.3415,0.2416,0.2816,0.1,-0.00419999999999998,0.04
"Pennsylvania",2334,2726,0.3333,0.3026,0.2391,0.2896,0.1,-0.0307,0.0505
"Rhode Island",10803,11300,0.3146,0.3846,0.1967,0.2121,0.1,0.07,0.0154
"South Carolina",5901,5882,0.3049,0.3171,0.2919,0.2853,0.1,0.0122,-0.00659999999999999
"South Dakota",5,52,0.129,0.0678,0.1094,0.1094,0.1,-0.0612,0
"Tennessee",6875,6367,0.1505,0.1935,0.1815,0.2405,0.1,0.043,0.059
"Texas",3250,3281,0.2651,0.2561,0.1872,0.1606,0.1,-0.00900000000000001,-0.0266
"Utah",2110,2356,0.102,0.0722,0.3085,0.2822,0.1,-0.0298,-0.0263
"Vermont",968,855,0.2381,0.2381,0.39,0.4338,0.1,0,0.0438
"Virginia",7674,7524,0.3235,0.3134,0.2628,0.2411,0.1,-0.0101,-0.0217
"Washington",4337,4674,0.2879,0.2769,0.2692,0.2952,0.1,-0.011,0.026
"West Virginia",4415,4178,0.1562,0.1875,0.1694,0.2105,0.1,0.0313,0.0411
"Wisconsin",5091,5224,0.1546,0.1596,0.2227,0.2885,0.1,0.005,0.0658
"Wyoming",0,0,NA,NA,NA,NA,0.1,NA,NA
