"state","budget","rule_rank","var","op","threshold","n_new_at_rank"
"West Virginia",0.05,1,"rawunearn_p","<=",0.143,4
"West Virginia",0.1,1,"rawgrinc_p",">",0.06,4
"West Virginia",0.1,1,"rawunearn_p","<=",0.143,4
"West Virginia",0.1,3,"rawgrinc_p","<",0.804,17
"Wisconsin",0.05,1,"rawearn_p",">",0.223,7
"Wisconsin",0.05,1,"rawgrinc_p","<=",0.467,7
"Wisconsin",0.05,2,"rawunearn_p","<=",0.292,13
"Wisconsin",0.05,3,"rawrent_p","<=",0.475,12
"Wisconsin",0.05,4,"rawgrinc_p",">",0.377,11
"Wisconsin",0.05,5,"rawearn_p",">",0.223,1
"Wisconsin",0.05,5,"rawrent_p","<=",0.939,1
"Wisconsin",0.05,6,"rawdepded_p","<=",0.762,2
"Wisconsin",0.1,1,"rawearn_p",">",0.223,7
"Wisconsin",0.1,1,"rawgrinc_p","<=",0.467,7
"Wisconsin",0.1,2,"rawunearn_p","<=",0.292,13
"Wisconsin",0.1,3,"rawrent_p","<=",0.475,12
"Wisconsin",0.1,4,"rawgrinc_p",">",0.377,11
"Wisconsin",0.1,7,"rawunearn_p",">",0.0792,4
"Wisconsin",0.1,9,"rawcsded_p","<=",0.0833,9
"Wisconsin",0.1,9,"rawgrinc_p","<=",0.497,9
"Wisconsin",0.1,10,"rawearn_p",">",0.223,1
"Wisconsin",0.1,10,"rawrent_p","<=",0.939,1
"Wisconsin",0.1,11,"rawdepded_p","<=",0.762,1
