"state","budget","var","n_rules_using_var","share_flagged_gt90","share_caseload_gt90","share_errors_gt90","share_flagged_gt99","share_caseload_gt99","share_errors_gt99","share_flagged_p0","share_caseload_p0","share_benponly_err_gt90","share_shared_err_gt90"
"Colorado",0.1,"rawgrinc_p",2,0.0769,0.1158,0.1237,0,0.0212,0.0515,0,0.2316,0,0.0625
"Colorado",0.1,"rawearn_p",2,0,0.0486,0.0928,0,0.0112,0.0515,0.3571,0.6887,0,0.0625
"Colorado",0.1,"rawunearn_p",1,0.0714,0.066,0.0722,0,0.0137,0.0103,0,0.4471,0,0
"Colorado",0.1,"rawmedded_p",1,0,0.005,0.0309,0,0.0037,0.0309,1,0.9315,0,0
"Colorado",0.1,"rawdepded_p",0,NA,0.0025,0.0103,NA,0.0012,0.0103,NA,0.9863,0,0.0625
"Colorado",0.1,"rawcsded_p",0,NA,0.0012,0.0103,NA,0.0012,0.0103,NA,0.9826,0,0
"Colorado",0.1,"rawrent_p",0,NA,0.0984,0.1753,NA,0.0137,0.0412,NA,0.3375,0.3333,0.0625
"Connecticut",0.05,"rawgrinc_p",1,0,0.1046,0.1462,0,0.0222,0.0615,0,0.1791,0.1429,0
"Connecticut",0.05,"rawearn_p",0,NA,0.0445,0.1,NA,0.0078,0.0385,NA,0.7553,0.0952,0
"Connecticut",0.05,"rawunearn_p",0,NA,0.079,0.0846,NA,0.0122,0.0154,NA,0.3393,0.0476,0
"Connecticut",0.05,"rawmedded_p",0,NA,0.0067,0.0154,NA,0.0011,0.0077,NA,0.9789,0,0
"Connecticut",0.05,"rawdepded_p",0,NA,0.0044,0.0077,NA,0.0022,0,NA,0.9689,0,0
"Connecticut",0.05,"rawcsded_p",0,NA,0.0056,0,NA,0.0011,0,NA,0.9722,0,0
"Connecticut",0.05,"rawrent_p",1,0.25,0.0868,0.1846,0.1,0.0078,0.0308,0,0.2747,0.1905,0
"Connecticut",0.1,"rawgrinc_p",2,0,0.1046,0.1462,0,0.0222,0.0615,0,0.1791,0,0.0385
"Connecticut",0.1,"rawearn_p",0,NA,0.0445,0.1,NA,0.0078,0.0385,NA,0.7553,0,0.0385
"Connecticut",0.1,"rawunearn_p",2,0.2667,0.079,0.0846,0,0.0122,0.0154,0,0.3393,0.3,0.0385
"Connecticut",0.1,"rawmedded_p",0,NA,0.0067,0.0154,NA,0.0011,0.0077,NA,0.9789,0,0
"Connecticut",0.1,"rawdepded_p",0,NA,0.0044,0.0077,NA,0.0022,0,NA,0.9689,0,0.0385
"Connecticut",0.1,"rawcsded_p",0,NA,0.0056,0,NA,0.0011,0,NA,0.9722,0,0
"Connecticut",0.1,"rawrent_p",2,0.0435,0.0868,0.1846,0,0.0078,0.0308,0,0.2747,0,0.3077
"Delaware",0.05,"rawgrinc_p",1,0,0.0972,0.1782,0,0.0108,0.0396,0,0.1862,0,NA
"Delaware",0.05,"rawearn_p",0,NA,0.0405,0.099,NA,0.0094,0.0396,NA,0.6977,0,NA
"Delaware",0.05,"rawunearn_p",1,0,0.054,0.0495,0,0.0054,0.0198,0,0.4049,0,NA
"Delaware",0.05,"rawmedded_p",0,NA,0.0108,0.0198,NA,0.0013,0,NA,0.9474,0,NA
"Delaware",0.05,"rawdepded_p",0,NA,0.0121,0.0495,NA,0.0067,0.0396,NA,0.9474,0,NA
"Delaware",0.05,"rawcsded_p",0,NA,0.0013,0.0099,NA,0.0013,0.0099,NA,0.9852,0,NA
"Delaware",0.05,"rawrent_p",1,0,0.0715,0.1782,0,0.0162,0.0594,0.1471,0.4116,0,NA
"Delaware",0.1,"rawgrinc_p",2,0.0175,0.0972,0.1782,0,0.0108,0.0396,0,0.1862,NA,0.1429
"Delaware",0.1,"rawearn_p",1,0,0.0405,0.099,0,0.0094,0.0396,0.5962,0.6977,NA,0
"Delaware",0.1,"rawunearn_p",2,0.0213,0.054,0.0495,0.0213,0.0054,0.0198,0,0.4049,NA,0.1429
"Delaware",0.1,"rawmedded_p",0,NA,0.0108,0.0198,NA,0.0013,0,NA,0.9474,NA,0
"Delaware",0.1,"rawdepded_p",0,NA,0.0121,0.0495,NA,0.0067,0.0396,NA,0.9474,NA,0
"Delaware",0.1,"rawcsded_p",0,NA,0.0013,0.0099,NA,0.0013,0.0099,NA,0.9852,NA,0
"Delaware",0.1,"rawrent_p",1,0,0.0715,0.1782,0,0.0162,0.0594,0.1471,0.4116,NA,0.1429
"District of Columbia",0.05,"rawgrinc_p",1,0,0.0799,0.0841,0,0.0123,0.0187,0,0.3391,0,0.1
"District of Columbia",0.05,"rawearn_p",2,0.0323,0.0164,0.0187,0,0.0051,0.014,0,0.8678,0,0
"District of Columbia",0.05,"rawunearn_p",0,NA,0.0748,0.0701,NA,0.0102,0.0047,NA,0.4324,0,0.15
"District of Columbia",0.05,"rawmedded_p",0,NA,0.0051,0.0093,NA,0.001,0,NA,0.9713,0,0
"District of Columbia",0.05,"rawdepded_p",0,NA,0.001,0.0047,NA,0.001,0.0047,NA,0.9949,0,0.05
"District of Columbia",0.05,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.998,0,0
"District of Columbia",0.05,"rawrent_p",0,NA,0.04,0.0514,NA,0.0051,0.0047,NA,0.6363,0.0909,0.1
"District of Columbia",0.1,"rawgrinc_p",2,0,0.0799,0.0841,0,0.0123,0.0187,0,0.3391,0,0.0652
"District of Columbia",0.1,"rawearn_p",2,0,0.0164,0.0187,0,0.0051,0.014,0,0.8678,0,0
"District of Columbia",0.1,"rawunearn_p",1,0,0.0748,0.0701,0,0.0102,0.0047,0.8108,0.4324,0.1,0.0435
"District of Columbia",0.1,"rawmedded_p",1,0,0.0051,0.0093,0,0.001,0,1,0.9713,0,0
"District of Columbia",0.1,"rawdepded_p",0,NA,0.001,0.0047,NA,0.001,0.0047,NA,0.9949,0,0.0217
"District of Columbia",0.1,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.998,0,0
"District of Columbia",0.1,"rawrent_p",0,NA,0.04,0.0514,NA,0.0051,0.0047,NA,0.6363,0.1,0.0652
"Florida",0.05,"rawgrinc_p",0,NA,0.1058,0.1224,NA,0.0167,0.0204,NA,0.1581,0,0.2143
"Florida",0.05,"rawearn_p",0,NA,0.0334,0.0612,NA,0.0067,0.0204,NA,0.7372,0,0.1429
"Florida",0.05,"rawunearn_p",0,NA,0.0835,0.1361,NA,0.0122,0.0136,NA,0.3352,0.1667,0.1429
"Florida",0.05,"rawmedded_p",0,NA,0.0022,0.0136,NA,0,0,NA,0.9566,0,0
"Florida",0.05,"rawdepded_p",0,NA,0.0056,0.0204,NA,0.0022,0.0136,NA,0.9644,0,0
"Florida",0.05,"rawcsded_p",0,NA,0.0011,0.0068,NA,0.0011,0.0068,NA,0.9955,0,0
"Florida",0.05,"rawrent_p",0,NA,0.1158,0.2177,NA,0.0178,0.0408,NA,0.2684,0,0.2857
"Florida",0.1,"rawgrinc_p",0,NA,0.1058,0.1224,NA,0.0167,0.0204,NA,0.1581,0.0625,0.2
"Florida",0.1,"rawearn_p",1,0,0.0334,0.0612,0,0.0067,0.0204,0.8889,0.7372,0,0.1
"Florida",0.1,"rawunearn_p",0,NA,0.0835,0.1361,NA,0.0122,0.0136,NA,0.3352,0.1875,0.25
"Florida",0.1,"rawmedded_p",0,NA,0.0022,0.0136,NA,0,0,NA,0.9566,0.0625,0
"Florida",0.1,"rawdepded_p",0,NA,0.0056,0.0204,NA,0.0022,0.0136,NA,0.9644,0,0
"Florida",0.1,"rawcsded_p",0,NA,0.0011,0.0068,NA,0.0011,0.0068,NA,0.9955,0,0
"Florida",0.1,"rawrent_p",1,0.3478,0.1158,0.2177,0.087,0.0178,0.0408,0,0.2684,0.0625,0.35
"Georgia",0.05,"rawgrinc_p",0,NA,0.11,0.1552,NA,0.012,0.0402,NA,0.1721,0.1667,0.2857
"Georgia",0.05,"rawearn_p",2,0.3478,0.0403,0.1092,0.0435,0.0054,0.0172,0,0.7277,0.1667,0.2143
